Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Activity Type (Leptospirosis)	PHVS_ActivityType_Leptospirosis	2.16.840.1.114222.4.11.8011	1	Activity type that may be associated with Leptospirosis
	Published	12/11/2020	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
129002005	Bathing (observable entity)	Bathing		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201209	SCT
C2712408	Bike riding	Biking		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20201209	UML
10496000	Camping (qualifier value)	Camping		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201209	SCT
300642000	Does ride a motorbike (finding)	Motorbiking		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201209	SCT
286187008	Does tidy house (finding)	House cleaning		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201209	SCT
286050003	Does wash laundry (finding)	Washing laundry		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201209	SCT
1137718000	Freshwater fishing (qualifier value)	Freshwater fishing		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201209	SCT
C0868963	Gardening	Gardening		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20201209	UML
451261000124107	Hiking (qualifier value)	Hiking		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201209	SCT
451251000124105	Hunting (qualifier value)	Hunting		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201209	SCT
224152001	Keeps pets (finding)	Pet ownership		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201209	SCT
PHC2310	Livestock ownership	Livestock ownership		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201204	CDCPHINVS
C0028798	Occupational Exposure	Occupational		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20201209	UML
OTH	other	Other activity (specifiy)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC2309	Outdoor competition	Outdoor competition		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201204	CDCPHINVS
PHC2307	Performs home maintenance	Performs home maintenance		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201204	CDCPHINVS
PHC2306	Playing sports outside	Playing sports outside		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201204	CDCPHINVS
102397009	Pleasure boating (qualifier value)	Boating		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201209	SCT
20461001	Swimming (qualifier value)	Swimming		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201209	SCT
PHC2287	Touching animals	Touching animals		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201204	CDCPHINVS
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC2308	Washing dishes	Washing dishes		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201204	CDCPHINVS
C0178889	water drinking behavior	Drinking water		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20201209	UML
C2986650	Yard work	Yardwork		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20201209	UML
