Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Animal Type (Brucellosis)	PHVS_AnimalType_Brucellosis	2.16.840.1.114222.4.11.7971	1	Animal type that may carry Brucellosis	Published	11/19/2020	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
125097000	Capra hircus (organism)	Goat		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
48289008	Cervus elaphus (organism)	Elk		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
106969009	Family Canidae (organism)	Dog		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
107003000	Family Cervidae (organism)	Deer		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
106996007	Family Suidae (organism)	Pig		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
442982002	Genus Bison (organism)	Bison		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
388168008	Genus Bos (organism)	Cattle		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
OTH	other	Other animal type (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
125099002	Ovis aries (organism)	Sheep		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
