Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Animal Type (Leptospirosis)	PHVS_AnimalType_Leptospirosis	2.16.840.1.114222.4.11.7967	2	Animal type that may carry Leptospirosis
	Published	01/05/2023	V2: Removed wild pig, mongoose, skunk, raccoon and deer from value set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
125097000	Capra hircus (organism)	Goat		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
35354009	Equus caballus (organism)	Horse		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
106969009	Family Canidae (organism)	Dog		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
106996007	Family Suidae (organism)	Domestic pig		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
388168008	Genus Bos (organism)	Cow		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
82968002	Mouse (organism)	Mice		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
OTH	other	Other animal type (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
125099002	Ovis aries (organism)	Sheep		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
371565004	Rattus norvegicus (organism)	Rats		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
