Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Clinical Manifestations (Anthrax)	PHVS_ClinicalManifestations_Anthrax	2.16.840.1.114222.4.11.8008	1	Clinical manifestation of anthrax	Published	12/10/2020	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
43364001	Abdominal discomfort (finding)	Abdominal discomfort		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
419284004	Altered mental status (finding)	Altered mental status		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
389026000	Ascites (disorder)	Ascites		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
29857009	Chest pain (finding)	Chest Pain		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
43724002	Chill (finding)	Chill		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
371632003	Coma (disorder)	Coma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
125667009	Contusion (disorder)	Bruising		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
49727002	Cough (finding)	Cough		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
62315008	Diarrhea (finding)	Diarrhea		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
40739000	Dysphagia (disorder)	Dysphagia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
267036007	Dyspnea (finding)	Dyspnea		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
79654002	Edema (morphologic abnormality)	Edema		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
247441003	Erythema (finding)	Erythema		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
52613005	Excessive sweating (finding)	Diaphoresis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
36948007	Fasciitis (disorder)	Fasciitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
84229001	Fatigue (finding)	Fatigue		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
386661006	Fever (finding)	Fever		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
25064002	Headache (finding)	Headache		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
C2957106	Headaches, severe	Severe headaches		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20201208	UML
95545007	Hemorrhagic diarrhea (disorder)	Bloody diarrhea		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
418363000	Itching of skin (finding)	Pruritus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
30746006	Lymphadenopathy (disorder)	Lymphadenopathy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
367391008	Malaise (finding)	Malaise		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
7180009	Meningitis (disorder)	Meningitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
422587007	Nausea (finding)	Nausea		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
OTH	other	other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
162397003	Pain in throat (finding)	Sore throat		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
409668002	Photophobia (finding)	Photophobia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
271760008	Pustule (disorder)	Pustules		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
91175000	Seizure (finding)	Convulsions		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
409590008	Skin eschar (disorder)	Eschar		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
60728008	Swollen abdomen (finding)	Abdominal swelling		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
827008005	Vesicle of skin (finding)	Vesicles		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
422400008	Vomiting (disorder)	Vomiting		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
