Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Clinical Manifestations (Leptospirosis)	PHVS_ClinicalManifestations_Leptospirosis	2.16.840.1.114222.4.11.7968	2	Clinical manifestation of leptospirosis	Published	03/16/2023	V2: Added chills, malaise/fatigue and other hemorrhage and removed selected concepts

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
21522001	Abdominal pain (finding)	Abdominal pain		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
197270009	Acute hepatic failure (disorder)	Acute liver insufficiency or failure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
236424009	Acute renal impairment (disorder)	Acute renal impairment or insufficiency		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
301770000	Aseptic meningitis (disorder)	Aseptic meningitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
131148009	Bleeding (finding)	Other hemorrhage		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
43724002	Chill (finding)	Chills		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
1003611001	Conjunctival suffusion (finding)	Conjunctival suffusion		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
62315008	Diarrhea (finding)	Diarrhea		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
267036007	Dyspnea (finding)	Shortness of breath or dyspnea		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
707724006	Elevated liver enzymes level (finding)	Acutely elevated liver enzymes		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
386661006	Fever (finding)	Fever measured or patient reported		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
25064002	Headache (finding)	Headache		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
66857006	Hemoptysis (finding)	Coughing blood		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
18165001	Jaundice (finding)	Jaundice		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
247471006	Maculopapular eruption (disorder)	Maculopapular eruption		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
271795006	Malaise and fatigue (finding)	Malaise/fatigue		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
68962001	Muscle pain (finding)	Myalgia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
422587007	Nausea (finding)	Nausea		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
OTH	other	Other clinical manifestation (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
300954003	Pain in calf (finding)	Calf pain		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
423716004	Petechiae of skin (disorder)	Petechial rash		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
78144005	Pulmonary hemorrhage (disorder)	Pulmonary hemorrhage		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
409622000	Respiratory failure (disorder)	Respiratory failure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
302215000	Thrombocytopenic disorder (disorder)	Thrombocytopenia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
422400008	Vomiting (disorder)	Vomiting		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
