Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Exposure Source (Brucellosis)	PHVS_ExposureSource_Brucellosis	2.16.840.1.114222.4.11.8017	4	Exposure Source of Brucellosis	Published	12/14/2023	v4: Added body fluids and body tissues values

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PHC2288	Animal contact	Animal contact		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20230410	CDCPHINVS
32457005	Body fluid (substance)	Body fluids		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20230301	SCT
413675001	Body tissue material (substance)	Body tissues		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20230301	SCT
PHC2341	Lab isolate or specimen	Lab isolate or specimen		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20230410	CDCPHINVS
260413007	None (qualifier value)	None		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20230301	SCT
OTH	other	Other exposure source (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC2324	Undercooked meat	Undercooked meat		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20230410	CDCPHINVS
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC2303	Unpasteurized Dairy Product	Unpasteurized Dairy Product		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20230410	CDCPHINVS
787859002	Vaccine product (medicinal product)	Vaccine product		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20230301	SCT
