Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Gene Name (CP-CRE)	PHVS_GeneName_CP-CRE	2.16.840.1.114222.4.11.7825	4	Gene Name	Published	04/10/2023	V4: Deprecated selected PHIN VADS concepts and replaced with LOINC tests

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
101124-6	Bacterial carbapenem resistance blaIMI+blaNMC genes [Presence] by Molecular method	IMI_NMC		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
101125-3	Bacterial carbapenem resistance blaOXA-235-like gene [Presence] by Molecular method	OXA-235		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
85823-3	Carbapenem resistance blaGES gene [Presence] by Molecular method	GES		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
85833-2	Carbapenem resistance blaGIM gene [Presence] by Molecular method	GIM		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
101123-8	Carbapenem resistance blaIMI gene [Presence] by Molecular method	IMI		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
85498-4	Carbapenem resistance blaIMP gene [Presence] by Molecular method	IMP		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
49617-4	Carbapenem resistance blaKPC gene [Presence] by Molecular method	KPC		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
73982-1	Carbapenem resistance blaNDM gene [Presence] by Molecular method	NDM		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
85825-8	Carbapenem resistance blaOXA-23-like gene [Presence] by Molecular method	OXA-23		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
85826-6	Carbapenem resistance blaOXA-24-like gene [Presence] by Molecular method	OXA-24		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
85503-1	Carbapenem resistance blaOXA-48 gene [Presence] by Molecular method	OXA-48		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
86714-3	Carbapenem resistance blaOXA-51-like gene [Presence] by Molecular method	OXA-51		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
85828-2	Carbapenem resistance blaOXA-58-like gene [Presence] by Molecular method	OXA-58		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
101127-9	Carbapenem resistance blaSIM gene [Presence] by Molecular method	SIM		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
85829-0	Carbapenem resistance blaSPM gene [Presence] by Molecular method	SPM		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
85501-5	Carbapenem resistance blaVIM gene [Presence] by Molecular method	VIM		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.74	LN
PLR559	IMP	DEPRECATED Imipenemase metallo-beta-lactamase gene		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.37	PLR
PLR560	KPC	DEPRECATED Klebsiella pneumoniae Carbapenemase gene		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.37	PLR
PLR561	NDM	DEPRECATED New Delhi metallo-beta-lactamase gene		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.37	PLR
385660001	Not Done	Not Done		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
OTH	Other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PLR4181	OXA	OXA-type Carbapenemase Gene		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.37	PLR
PLR562	OXA-48	DEPRECATED Oxacillinase-48-type carbapenemase gene		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.37	PLR
PLR563	VIM	DEPRECATED Verona integron-encoded metallo-beta-lactamase gene		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.37	PLR
