Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Gene Name (TB)	PHVS_GeneName_TB	2.16.840.1.114222.4.11.7763	2	Gene Name	Published	05/13/2021	Added 5 new genes

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PHC1892	ahpC-oxyR	ahpC-oxyR		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC2330	atpE	atpE		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1898	eis	eis		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1896	embB	embB		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1902	ethA	ethA		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1893	fabG1	fabG1(mabA)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1900	gyrA	gyrA		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1901	gyrB	gyrB		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1891	inhA	inhA		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1890	katG	katG		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
OTH	Other	Other (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC2328	pepQ	pepQ		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1895	pncA	pncA		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC2327	rplC	rplC		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1894	rpoB	rpoB		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1903	rpsL	rpsL		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC2329	rrl	rrl		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1897	rrs	rrs		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC2326	Rv0678	Rv0678		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
PHC1899	tlyA	tlyA		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20210511	CDCPHINVS
