Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Industry CDC Census 2012	PHVS_Industry_CDC_Census2012	2.16.840.1.114222.4.11.8027	1	2012 Industry coding system used by CDC (NIOSH & NCHS) for coding industry text. Industry describes an economic/business sector comprised of businesses/ enterprises concerned with the output of a specified category of products or services (e.g., the construction industry or the agriculture industry). This industry code system includes 2012 U.S. Census Bureau industry codes and additional codes developed by CDC for military and unpaid workers. The 2012 Census industry categories are based on the 2012 North American Industry Classification System (NAICS). The PH_Occupation_CDC_Census2012 code system should be used in conjunction with this industry code system when coding both industry and occupation. For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at: http://www.cdc.gov/niosh/topics/coding/	Published	03/19/2021	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
7280	Accounting, Tax Preparation, Bookkeeping, and Payroll Services	Accounting, Tax Preparation, Bookkeeping, and Payroll Services		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
9570	Administration of Economic Programs and Space Research	Administration of Economic Programs and Space Research		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
9490	Administration of Environmental Quality and Housing Programs	Administration of Environmental Quality and Housing Programs		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
9480	Administration of Human Resource Programs	Administration of Human Resource Programs		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
7470	Advertising, Public Relations, and Related Services	Advertising, Public Relations, and Related Services		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
3590	Aerospace Products and Parts Manufacturing	Aerospace Products and Parts Manufacturing		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
2180	Agricultural Chemical Manufacturing	Agricultural Chemical Manufacturing		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
3070	Agricultural Implement Manufacturing	Agricultural Implement Manufacturing		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
6070	Air Transportation	Air Transportation		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
3580	Aircraft and Parts Manufacturing	Aircraft and Parts Manufacturing		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
4560	Alcoholic Beverages Merchant Wholesalers	Alcoholic Beverages Merchant Wholesalers		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
2680	Aluminum Production and Processing	Aluminum Production and Processing		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
1070	Animal Food, Grain and Oilseed Milling	Animal Food, Grain and Oilseed Milling		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
0180	Animal Production and Aquaculture	Animal Production and Aquaculture		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
1180	Animal Slaughtering and Processing	Animal Slaughtering and Processing		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
1690	Apparel Accessories and Other Apparel Manufacturing	Apparel Accessories and Other Apparel Manufacturing		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
4390	Apparel, Piece Goods, and Notions Merchant Wholesalers	Apparel, Piece Goods, and Notions Merchant Wholesalers		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
7290	Architectural, Engineering, and Related Services	Architectural, Engineering, and Related Services		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
9790	Armed Forces, Branch Not Specified	Armed Forces, Branch Not Specified		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
4670	Automobile Dealers	Automobile Dealers		2.16.840.1.114222.4.5.331	Industry CDC Census 2012	PH_Industry_CDC_Census2012	20210308	CDCINDUSTRY2012
