Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Industry CDC Census 2018	PHVS_Industry_CDC_Census2018	2.16.840.1.114222.4.11.8066	1		Published	07/21/2022	V1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
7280	Accounting, tax preparation, bookkeeping, and payroll services	Accounting, Tax Preparation, Bookkeeping, and Payroll Services		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
9570	Administration of economic programs and space research	Administration of Economic Programs and Space Research		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
9490	Administration of environmental quality and housing programs	Administration of Environmental Quality and Housing Programs		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
9480	Administration of human resource programs 	Administration of Human Resource Programs		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
7470	Advertising, public relations, and related services	Advertising, Public Relations, and Related Services		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
3590	Aerospace products and parts manufacturing	Aerospace Products and Parts Manufacturing		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
6992	Agencies, brokerages, and other insurance related activities	Agencies, Brokerages, and Other Insurance Related Activities		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
2180	Agricultural chemical manufacturing 	Agricultural Chemical Manufacturing		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
3070	Agricultural implement manufacturing	Agricultural Implement Manufacturing		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
6070	Air transportation	Air Transportation		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
3580	Aircraft and parts manufacturing	Aircraft and Parts Manufacturing		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
4560	Alcoholic beverages merchant wholesalers	Alcoholic Beverages Merchant Wholesalers		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
2680	Aluminum production and processing 	Aluminum Production and Processing		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
1070	Animal food, grain and oilseed milling	Animal Food, Grain and Oilseed Milling		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
0180	Animal production and aquaculture	Animal Production and Aquaculture		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
1180	Animal slaughtering and processing	Animal Slaughtering and Processing		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
4390	Apparel, piece goods, and notions merchant wholesalers	Apparel, Piece Goods, and Notions Merchant Wholesalers		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
7290	Architectural, engineering, and related services	Architectural, Engineering, and Related Services		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
9790	Armed Forces, Branch Not Specified	Armed Forces, Branch Not Specified		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
4670	Automobile dealers	Automobile Dealers		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
7080	Automotive equipment rental and leasing	Automotive Equipment Rental and Leasing		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
4690	Automotive parts, accessories, and tire stores	Automotive Parts, Accessories, and Tire Stores		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
8770	Automotive repair and maintenance	Automotive Repair and Maintenance		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
1270	Bakeries and tortilla manufacturing, except retail bakeries	Bakeries and Tortilla Manufacturing, except Retail Bakeries		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
6870	Banking and related activities	Banking and Related Activities		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
8970	Barber shops	Barber Shops		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
8980	Beauty salons	Beauty Salons		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
4990	Beer, wine, and liquor stores	Beer, Wine, and Liquor Stores		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
1370	Beverage manufacturing	Beverage Manufacturing		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
5370	Book stores and news dealers	Book Stores and News Dealers		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
8580	Bowling centers	Bowling Centers		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
6670	Broadcasting (except internet)	Broadcasting (except Internet)		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
4870	Building material and supplies dealers 	Building Material and Supplies Dealers		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
6180	Bus service and urban transit	Bus Service and Urban Transit		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
7590	Business support services	Business Support Services		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
9190	Business, professional, political, and similar organizations	Business, Professional, Political, and Similar Organizations		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
7880	Business, technical, and trade schools and training	Business, Technical, and Trade Schools and Training		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
8780	Car washes	Car Washes		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
1570	Carpet and rug mills	Carpet and Rug Mills		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
2570	Cement, concrete, lime, and gypsum product manufacturing	Cement, Concrete, Lime, and Gypsum Product Manufacturing		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
8470	Child day care services	Child Day Care Services		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
9170	Civic, social, advocacy organizations, and grantmaking and giving services	Civic, Social, Advocacy Organizations, and Grantmaking and Giving Services		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
2480	Clay building material and refractories manufacturing	Clay Building Material and Refractories Manufacturing		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
5170	Clothing stores	Clothing Stores		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
0380	Coal mining	Coal Mining		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
2890	Coating, engraving, heat treating, and allied activities	Coating, Engraving, Heat Treating, and Allied Activities		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
7870	Colleges, universities, and professional schools, including junior colleges	Colleges, Universities, and Professional Schools, including Junior Colleges		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
8870	Commercial and industrial machinery and equipment repair and maintenance	Commercial and Industrial Machinery and Equipment Repair and Maintenance		2.16.840.1.114222.4.5.336	Industry CDC Census 2018	PH_Industry_CDC_Census2018	20220712	CDCINDUSTRY2018
