Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Job Supervisory Level or Pay Grade (ODH)	PHVS_JobSupervisoryLevelorPayGrade_ODH	2.16.840.1.114222.4.11.7613	4	An indicator of responsibilities of a person's job for directing work and personnel management. Pay grade is used to represent supervisory or personnel management responsibilities for U.S. military service, because it conveys similar meaning across branches of service. This value set resides within the Occupational Data for Health (ODH) Code System where concepts are primarily derived from Systemized Nomenclature of Medicine – Clinical Terms (SNOMED-CT). SNOMED-CT Terms and Conditions: https://www.snomed.org/terms-and-conditions	Published	05/22/2025	Code System: SNOMED-CT Code System OID: 2.16.840.1.113883.6.96

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
159326004	Managerial Occupation	Manager		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
106541005	Non-Supervisor	Non-Supervisor		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
236321002	Supervisor	Supervisor		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455641000124108	United States Military Commissioned Officer O1	United States Military Grade O-1		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455731000124107	United States Military Commissioned Officer O10	United States Military Grade O-10		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455651000124105	United States Military Commissioned Officer O2	United States Military Grade O-2		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455661000124107	United States Military Commissioned Officer O3	United States Military Grade O-3		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455671000124100	United States Military Commissioned Officer O4	United States Military Grade O-4		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455681000124102	United States Military Commissioned Officer O5	United States Military Grade O-5		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455691000124104	United States Military Commissioned Officer O6	United States Military Grade O-6		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455701000124104	United States Military Commissioned Officer O7	United States Military Grade O-7		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455711000124101	United States Military Commissioned Officer O8	United States Military Grade O-8		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455721000124109	United States Military Commissioned Officer O9	United States Military Grade O-9		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455971000124107	United States Military Enlisted E1	United States Military Grade E-1		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455981000124105	United States Military Enlisted E2	United States Military Grade E-2		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455991000124108	United States Military Enlisted E3	United States Military Grade E-3		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
456011000124107	United States Military Enlisted E4	United States Military Grade E-4		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
456021000124104	United States Military Enlisted E5	United States Military Grade E-5		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
456031000124101	United States Military Enlisted E6	United States Military Grade E-6		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
456041000124106	United States Military Enlisted E7	United States Military Grade E-7		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
456051000124108	United States Military Enlisted E8	United States Military Grade E-8		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
456061000124105	United States Military Enlisted E9	United States Military Grade E-9		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455571000124104	United States Military Warrant Officer W1	United States Military Grade W-1		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455581000124101	United States Military Warrant Officer W2	United States Military Grade W-2		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455591000124103	United States Military Warrant Officer W3	United States Military Grade W-3		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455601000124106	United States Military Warrant Officer W4	United States Military Grade W-4		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
455611000124109	United States Military Warrant Officer W5	United States Military Grade W-5		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
