Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Observation Method	PHVS_LabTestMethods_CDC	2.16.840.1.114222.4.11.1003	3	Laboratory test method identifiers	Published	05/21/2025	Added OTH. Based on HL7 V3 - 2019-03-20 update

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
0119	3 Self-Sustaining Sequence Replication	3 Self-Sustaining Sequence Replication		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0143	Acid fast stain	Acid fast stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0144	Acid fast stain, fluorochrome	Acid fast stain, fluorochrome		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0145	Acid fast stain, Kinyoun's cold carbolfuchsin	Acid fast stain, Kinyoun's cold carbolfuchsin		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0146	Acid fast stain, Ziehl-Neelsen	Acid fast stain, Ziehl-Neelsen		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0147	Acid phosphatase stain	Acid phosphatase stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0148	Acridine orange stain	Acridine orange stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0149	Active brilliant orange KH stain	Active brilliant orange KH stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0050	Aerobic Culture	Aerobic Culture		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0039	Affinity chromatography	Affinity chromatography		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0065	Agaorse gel electrophoresis	Agaorse gel electrophoresis		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0062	Agar diffusion	Agar diffusion		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0063	Agar Gel Immunodiffusion	Agar Gel Immunodiffusion		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0278	Agar screen	Agar screen		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0014	Agglutination	Agglutination		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0150	Alazarin red S stain	Alazarin red S stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0151	Alcian blue stain	Alcian blue stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0152	Alcian blue with Periodic acid Schiff stain	Alcian blue with Periodic acid Schiff stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
ALGM	algorithm	algorithm		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
_AllergyTestObservationMethod	allergy test observation	allergy test observation		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0051	Anaerobic Culture	Anaerobic Culture		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0026	Animal Inoculation	Animal Inoculation		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0240	Antibiotic sensitivity, disk	Antibiotic sensitivity, disk		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0257	Anti-complement immunofluorescence (ACIF)	Anti-complement immunofluorescence (ACIF)		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0075	API 20 Strep	API 20 Strep		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0076	API 20A	API 20A		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0077	API 20C AUX	API 20C AUX		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0078	API 20E	API 20E		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0079	API 20NE	API 20NE		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0080	API 50 CH	API 50 CH		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0081	API An-IDENT	API An-IDENT		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0082	API Coryne	API Coryne		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0083	API Rapid 20E	API Rapid 20E		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0084	API Staph	API Staph		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0085	API ZYM	API ZYM		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0154	Argentaffin silver stain	Argentaffin silver stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0153	Argentaffin stain	Argentaffin stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0263	Atomic absorption spectrophotometry (AAS)	Atomic absorption spectrophotometry (AAS)		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0047	Automated count	Automated count		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
AVERAGE	average	average		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0155	Azure-eosin stain	Azure-eosin stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0241	BACTEC susceptibility test	BACTEC susceptibility test		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0086	Bacterial identification	Bacterial identification		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0156	Basic Fuschin stain	Basic Fuschin stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
BYCL	bayesian calculation	bayesian calculation		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0157	Bennhold stain	Bennhold stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0158	Bennhold's Congo red stain	Bennhold's Congo red stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0159	Bielschowsky stain	Bielschowsky stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0160	Bielschowsky's silver stain	Bielschowsky's silver stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0025	Bioassay	Bioassay		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0031	Bioassay, qualitative	Bioassay, qualitative		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0032	Bioassay, quantitative	Bioassay, quantitative		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0161	Bleach stain	Bleach stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0162	Bodian stain	Bodian stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0120	Branched Chain DNA	Branched Chain DNA		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0163	Brown-Brenn stain	Brown-Brenn stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0015	Buffered acidified plate agglutination	Buffered acidified plate agglutination		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0164	Butyrate-esterase stain	Butyrate-esterase stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0165	Calcofluor white fluorescent stain	Calcofluor white fluorescent stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0166	Carbol-fuchsin stain	Carbol-fuchsin stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0016	Card agglutination	Card agglutination		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0167	Carmine stain	Carmine stain		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0033	Chemical method	Chemical method		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0052	Chicken embryo culture	Chicken embryo culture		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
0038	Chromatography	Chromatography		2.16.840.1.113883.5.84	ObservationMethod	PH_ObservationMethod_HL7_V3	20190320	OBSMETHOD
