Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Result Qualitative	PHVS_LabTestResultQualitative_CDC	2.16.840.1.114222.4.11.3049	2	Codes specifying non-microorganism qualitative lab test results including coded comments. Subset of lab test related Modifier or Qualifier concepts from SNOMED CT.	Published	08/22/2024	V2: Updated to reflect SNOMED 20240301 version update

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
369769005	< 4 mitoses/high power field (finding)	< 4 mitoses/high power field (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
369787008	0-5 mitoses per 10 high power fields (score = 1) (finding)	0-5 mitoses per 10 high power fields (score = 1) (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
396447006	1 or more mitotic figure per mm2 (finding)	1 or more mitotic figure per mm2 (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
396519009	10 or more mitotic figures per 10 high power field (finding)	10 or more mitotic figures per 10 high power field (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
369785000	10-20 mitoses per 10 high power fields (score = 2) (finding)	10-20 mitoses per 10 high power fields (score = 2) (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
131058006	11-deoxy, 17-hydroxycorticosterone level above reference range (finding)	11-deoxy, 17-hydroxycorticosterone level above reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
131059003	11-deoxy, 17-hydroxycorticosterone level below reference range (finding)	11-deoxy, 17-hydroxycorticosterone level below reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
131055009	11-deoxycorticosterone level above reference range (finding)	11-deoxycorticosterone level above reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
131056005	11-deoxycorticosterone level below reference range (finding)	11-deoxycorticosterone level below reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
131046006	17-ketogenic steroids level above reference range (finding)	17-ketogenic steroids level above reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
124803004	17-ketogenic steroids level below reference range (finding)	17-ketogenic steroids level below reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
131049004	17-ketosteroids level above reference range (finding)	17-ketosteroids level above reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
131050004	17-ketosteroids level below reference range (finding)	17-ketosteroids level below reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
167372005	24 hour urine volume below reference range (finding)	24 hour urine volume below reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
167371003	24 hour urine volume excessive (finding)	24 hour urine volume excessive (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
167373000	24 hour urine volume outside reference range (finding)	24 hour urine volume outside reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
167370002	24 hour urine volume within reference range (finding)	24 hour urine volume within reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
131098008	3,3'-diiodothyronine level above reference range (finding)	3,3'-diiodothyronine level above reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
131099000	3,3'-diiodothyronine level below reference range (finding)	3,3'-diiodothyronine level below reference range (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
369788003	6-10 mitoses per 10 high power fields (score = 2) (finding)	6-10 mitoses per 10 high power fields (score = 2) (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
371150009	Able (qualifier value)	Able (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
371155004	Able to and does (qualifier value)	Able to and does (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
371157007	Able with difficulty (qualifier value)	Able with difficulty (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
263654008	Abnormal (qualifier value)	Abnormal (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
69604007	Abnormal amino acid sequence (finding)	Abnormal amino acid sequence (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
168096009	Abnormal amniotic fluid microscopy (finding)	Abnormal amniotic fluid microscopy (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
88369005	Abnormal basophil production (finding)	Abnormal basophil production (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
199734003	Abnormal biochemical finding on antenatal screening of mother (finding)	Abnormal biochemical finding on antenatal screening of mother (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
309195009	Abnormal biochemistry finding (navigational concept)	Abnormal biochemistry finding (navigational concept)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
123821009	Abnormal blood oxygen pressure (finding)	Abnormal blood oxygen pressure (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
110371003	Abnormal bone marrow iron (finding)	Abnormal bone marrow iron (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
89744004	Abnormal carbohydrate sequence (finding)	Abnormal carbohydrate sequence (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
423476009	Abnormal cardiac laboratory result (navigational concept)	Abnormal cardiac laboratory result (navigational concept)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
309081009	Abnormal cervical smear (finding)	Abnormal cervical smear (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
199738000	Abnormal chromosomal and genetic finding on antenatal screening of mother (finding)	Abnormal chromosomal and genetic finding on antenatal screening of mother (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274687004	Abnormal cytologic finding in specimen from digestive organ and abdominal cavity (navigational concept)	Abnormal cytologic finding in specimen from digestive organ and abdominal cavity (navigational concept)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274688009	Abnormal cytological finding in specimen from female genital organ (finding)	Abnormal cytological finding in specimen from female genital organ (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274685007	Abnormal cytological finding in specimen from male genital organ (finding)	Abnormal cytological finding in specimen from male genital organ (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274690005	Abnormal cytological finding in specimen from respiratory organ and thorax (navigational concept)	Abnormal cytological finding in specimen from respiratory organ and thorax (navigational concept)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
199735002	Abnormal cytological finding on antenatal screening of mother (finding)	Abnormal cytological finding on antenatal screening of mother (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274686008	Abnormal cytological findings in cerebrospinal fluid (finding)	Abnormal cytological findings in cerebrospinal fluid (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
309196005	Abnormal cytology findings (finding)	Abnormal cytology findings (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
125386007	Abnormal electron microscopy findings (finding)	Abnormal electron microscopy findings (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
57180008	Abnormal eosinophil production (finding)	Abnormal eosinophil production (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
88492006	Abnormal erythrocyte destruction (finding)	Abnormal erythrocyte destruction (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274691009	Abnormal finding on cytological and histological examination of urine (navigational concept)	Abnormal finding on cytological and histological examination of urine (navigational concept)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274704003	Abnormal findings in specimens from digestive organs and abdominal cavity (finding)	Abnormal findings in specimens from digestive organs and abdominal cavity (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274677003	Abnormal findings on microbiological examination of urine (finding)	Abnormal findings on microbiological examination of urine (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
82362006	Abnormal granulocyte destruction (finding)	Abnormal granulocyte destruction (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
33121004	Abnormal granulocyte production (finding)	Abnormal granulocyte production (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274837008	Abnormal histological finding in specimen from digestive organ and abdominal cavity (navigational concept)	Abnormal histological finding in specimen from digestive organ and abdominal cavity (navigational concept)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274833007	Abnormal histological finding in specimen from female genital organ (finding)	Abnormal histological finding in specimen from female genital organ (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274835000	Abnormal histological finding in specimen from male genital organ (finding)	Abnormal histological finding in specimen from male genital organ (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274836004	Abnormal histological finding in specimen from respiratory organ and thorax (navigational concept)	Abnormal histological finding in specimen from respiratory organ and thorax (navigational concept)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274834001	Abnormal histological findings in cerebrospinal fluid (finding)	Abnormal histological findings in cerebrospinal fluid (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
309198006	Abnormal histology findings (finding)	Abnormal histology findings (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274844004	Abnormal immunological finding in specimen from digestive organ and abdominal cavity (navigational concept)	Abnormal immunological finding in specimen from digestive organ and abdominal cavity (navigational concept)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274845003	Abnormal immunological finding in specimen from female genital organ (finding)	Abnormal immunological finding in specimen from female genital organ (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274846002	Abnormal immunological finding in specimen from male genital organ (finding)	Abnormal immunological finding in specimen from male genital organ (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274848001	Abnormal immunological finding in specimen from respiratory organ and thorax (navigational concept)	Abnormal immunological finding in specimen from respiratory organ and thorax (navigational concept)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
274843005	Abnormal immunological findings in cerebrospinal fluid (finding)	Abnormal immunological findings in cerebrospinal fluid (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
309571001	Abnormal immunology finding (navigational concept)	Abnormal immunology finding (navigational concept)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
48022009	Abnormal lymphocyte destruction (finding)	Abnormal lymphocyte destruction (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
86736003	Abnormal lymphocyte production (finding)	Abnormal lymphocyte production (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
15212002	Abnormal macromolecular binding (finding)	Abnormal macromolecular binding (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
79667004	Abnormal macromolecular sequence (finding)	Abnormal macromolecular sequence (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
103211000	Abnormal megakaryocyte production (finding)	Abnormal megakaryocyte production (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
