Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Type (COVID-19)	PHVS_LabTestType_COVID-19	2.16.840.1.114222.4.11.7948	9	Epidemiologic interpretation of the type of test(s) performed for this case. Used in COVID-19 MMG.	Published	09/14/2021	Updated to include SARS-CoV-2 N IgG SerPl Ql IA, SARS-CoV-2 S IgG SerPl Ql IA, SARS-CoV-2 IFN-g Bld-Imp

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
95423-0	FluAB + SARS-CoV-2 Resp NAA+probe	Influenza virus A + B and SARS-CoV-2 (COVID-19) identified in Respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
LAB741	IA test NOS	Immunoassay test NOS		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20211027	PHINQUESTION
LAB697	Immunohistochemistry Test Type	Immunohistochemistry test		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20211027	PHINQUESTION
LAB739	Nucleic acid amplification (PCR) test NOS	NAA (PCR) test NOS		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20211027	PHINQUESTION
LAB608	Other Test Type	Other test (specify)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20211027	PHINQUESTION
95125-1	SARS coronavirus 2 Ab.IgA+IgM	SARS coronavirus 2 IgA+IgM [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
95542-7	SARS coronavirus 2 Ab.IgG+IgM	SARS-CoV-2 (COVID-19) IgG+IgM Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
95209-3	SARS coronavirus+SARS coronavirus 2 Ag	SARS coronavirus+SARS coronavirus 2 Ag [Presence] in Respiratory specimen by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
95825-6	SARS-CoV-2 Ab DBS Ql IA	SARS-CoV-2 (COVID-19) Ab [Presence] in DBS by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
98069-8	SARS-CoV-2 Ab Sal Ql IA.rapid	SARS-CoV-2 (COVID-19) Ab [Presence] in Saliva (oral fluid) by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94762-2	SARS-CoV-2 Ab SerPl Ql IA	SARS coronavirus 2 Ab [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94661-6	SARS-CoV-2 Ab SerPl-Imp	SARS coronavirus 2 Ab [Interpretation] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94558-4	SARS-CoV-2 Ag Resp Ql IA.rapid	SARS coronavirus 2 Ag [Presence] in Respiratory specimen by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
96119-3	SARS-CoV-2 Ag Upper resp Ql IA	SARS-CoV-2 (COVID-19) Ag [Presence] in Upper respiratory specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
97097-0	SARS-CoV-2 Ag Upper resp Ql IA.rapid	SARS-CoV-2 (COVID-19) Ag [Presence] in Upper respiratory specimen by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
96763-8	SARS-CoV-2 E gene Resp Ql NAA+probe	SARS-CoV-2 (COVID-19) E gene [Presence] in Respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94758-0	SARS-CoV-2 E gene Resp Ql NAA+probe	SARS coronavirus 2 E gene [Presence] in Respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94765-5	SARS-CoV-2 E gene SerPl Ql NAA+probe	SARS coronavirus 2 E gene [Presence] in Serum or Plasma by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94315-9	SARS-CoV-2 E gene XXX Ql NAA+probe	SARS coronavirus 2 E gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94764-8	SARS-CoV-2 genome Islt-Seq	SARS coronavirus 2 whole genome [Nucleotide sequence] in Isolate by Sequencing		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
95971-8	SARS-CoV-2 IFN-g Bld Ql	SARS CoV-2 stimulated gamma interferon [Presence] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
99772-6	SARS-CoV-2 IFN-g Bld-Imp	SARS-CoV-2 stimulated gamma interferon [Interpretation] in Blood Qualitative		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94562-6	SARS-CoV-2 IgA SerPl Ql IA	SARS coronavirus 2 IgA Ab [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94768-9	SARS-CoV-2 IgA SerPlBld Ql IA.rapid	SARS coronavirus 2 IgA Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94761-4	SARS-CoV-2 IgG DBS Ql IA	SARS coronavirus 2 IgG Ab [Presence] in DBS by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94563-4	SARS-CoV-2 IgG SerPl Ql IA	SARS coronavirus 2 IgG Ab [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94507-1	SARS-CoV-2 IgG SerPlBld Ql IA.rapid	SARS coronavirus 2 IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94547-7	SARS-CoV-2 IgG+IgM SerPl Ql IA	SARS coronavirus 2 IgG+IgM Ab [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
95416-4	SARS-CoV-2 IgM DBS Ql IA	SARS-CoV-2 (COVID-19) IgM Ab [Presence] in DBS by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94564-2	SARS-CoV-2 IgM SerPl Ql IA	SARS coronavirus 2 IgM Ab [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94508-9	SARS-CoV-2 IgM SerPlBld Ql IA.rapid	SARS coronavirus 2 IgM Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
96895-8	SARS-CoV-2 lineage Spec	SARS-CoV-2 (COVID-19) lineage [Identifier] in Specimen by Molecular genetics method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
96957-6	SARS-CoV-2 M gene Upper resp Ql NAA+prob	SARS-CoV-2 (COVID-19) M gene [Presence] in Upper respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
96986-5	SARS-CoV-2 N gene Nose Ql NAA+non-probe	SARS-CoV-2 (COVID-19) N gene [Presence] in Nose by NAA with non-probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
95409-9	SARS-CoV-2 N gene Nose Ql NAA+probe	SARS-CoV-2 (COVID-19) N gene [Presence] in Nose by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94760-6	SARS-CoV-2 N gene Nph Ql NAA+probe	SARS coronavirus 2 N gene [Presence] in Nasopharynx by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94756-4	SARS-CoV-2 N gene Resp Ql NAA N1	SARS coronavirus 2 N gene [Presence] in Respiratory specimen by Nucleic acid amplification using CDC primer-probe set N1		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94757-2	SARS-CoV-2 N gene Resp Ql NAA N2	SARS coronavirus 2 N gene [Presence] in Respiratory specimen by Nucleic acid amplification using CDC primer-probe set N2		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94533-7	SARS-CoV-2 N gene Resp Ql NAA+probe	SARS coronavirus 2 N gene [Presence] in Respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
96448-6	SARS-CoV-2 N gene Sal Ql NAA N1	SARS-CoV-2 (COVID-19) N gene [Presence] in Saliva (oral fluid) by Nucleic acid amplification using CDC primer-probe set N1		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
96958-4	SARS-CoV-2 N gene Sal Ql NAA N2	SARS-CoV-2 (COVID-19) N gene [Presence] in Saliva (oral fluid) by Nucleic acid amplification using CDC primer-probe set N2		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
95425-5	SARS-CoV-2 N gene Sal Ql NAA+probe	SARS-CoV-2 (COVID-19) N gene [Presence] in Saliva (oral fluid) by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94766-3	SARS-CoV-2 N gene SerPl Ql NAA+probe	SARS coronavirus 2 N gene [Presence] in Serum or Plasma by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94307-6	SARS-CoV-2 N gene XXX Ql NAA N1	SARS coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using CDC primer-probe set N1		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94308-4	SARS-CoV-2 N gene XXX Ql NAA N2	SARS coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using CDC primer-probe set N2		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94316-7	SARS-CoV-2 N gene XXX Ql NAA+probe	SARS coronavirus 2 N gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
99596-9	SARS-CoV-2 N IgG SerPl Ql IA	SARS-CoV-2 (COVID-19) N protein IgG Ab [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
95411-5	SARS-CoV-2 NAb Ser Ql pVNT	SARS-CoV-2 (COVID-19) neutralizing antibody [Presence] in Serum by pVNT		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
95410-7	SARS-CoV-2 NAb Titr Ser pVNT	SARS-CoV-2 (COVID-19) neutralizing antibody [Titer] in Serum by pVNT		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
97098-8	SARS-CoV-2 Nsp2 Upper resp Ql NAA+probe	SARS-CoV-2 (COVID-19) Nsp2 gene [Presence] in Upper respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
98132-4	SARS-CoV-2 ORF1a Resp Ql NAA+probe	SARS-CoV-2 (COVID-19) ORF1a region [Presence] in Respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
98494-8	SARS-CoV-2 ORF1a Sal Ql NAA+probe	SARS-CoV-2 (COVID-19) ORF1a region [Presence] in Saliva (oral fluid) by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94559-2	SARS-CoV-2 ORF1ab Resp Ql NAA+probe	SARS coronavirus 2 ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
95824-9	SARS-CoV-2 ORF1ab Sal Ql NAA+probe	SARS-CoV-2 (COVID-19) ORF1ab region [Presence] in Saliva (oral fluid) by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94639-2	SARS-CoV-2 ORF1ab XXX Ql NAA+probe	SARS coronavirus 2 ORF1ab region [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
98131-6	SARS-CoV-2 ORF1b Resp Ql NAA+probe	SARS-CoV-2 (COVID-19) ORF1b region [Presence] in Respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
98493-0	SARS-CoV-2 ORF1b Sal Ql NAA+probe	SARS-CoV-2 (COVID-19) ORF1b region [Presence] in Saliva (oral fluid) by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
94534-5	SARS-CoV-2 RdRp gene Resp Ql NAA+probe	SARS coronavirus 2 RdRp gene [Presence] in Respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.72	LN
