Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Type (Lyme)	PHVS_LabTestType_Lyme	2.16.840.1.114222.4.11.7844	4	Interpretative lab test types associated with Lyme Disease. 	Published	11/14/2022	V4: Updated content August 2024 LOINC 2.78 release

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
48360-2	Borrelia afzelii IgG Ab [Presence] in Serum by Immunoblot	B afzelii IgG Ser Ql IB		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
101356-4	Borrelia afzelii+burgdorferi+garinii Ab [Interpretation] in Serum by IA.MTTT	B afz+burg+gari Ab Ser IA.MTTT-Imp		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
101404-2	Borrelia afzelii+burgdorferi+garinii Ab.IgG and IgM panel - Serum or Plasma by Immunoassay	B afz+burg+gari Ab.IgG & IgM panel SerPl IA		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
92813-5	Borrelia afzelii+burgdorferi+garinii IgG Ab [Presence] in Cerebral spinal fluid by Immunoassay	B. afzelii+B.burgdorferi+B. garinii IgG EIA in CSF		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
92814-3	Borrelia afzelii+burgdorferi+garinii IgG Ab [Presence] in Serum by Immunoassay	B. afzelii+B.burgdorferi+B. garinii IgG EIA in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
87275-4	Borrelia afzelii+burgdorferi+garinii IgG Ab [Presence] in Serum by Line blot	B. afzelii+B.burgdorferi+B. garinii IgG WB in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
92812-7	Borrelia afzelii+burgdorferi+garinii IgG Ab [Units/volume] in Cerebral spinal fluid by Immunoassay	B afz+burg+gari IgG CSF IA-aCnc		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
92810-1	Borrelia afzelii+burgdorferi+garinii IgG Ab [Units/volume] in Serum by Immunoassay	B afz+burg+gari IgG Ser IA-aCnc		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
92811-9	Borrelia afzelii+burgdorferi+garinii IgG Ab index [Units/volume] in Serum and CSF by Immunoassay	B afz+burg+gar IgG Index Ser+CSF IA-aCnc		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
87274-7	Borrelia afzelii+burgdorferi+garinii IgG and IgM panel - Serum by Line blot	B afz+burg+gari IgG+IgM Pnl Ser Ln blot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
87276-2	Borrelia afzelii+burgdorferi+garinii IgG band pattern [Interpretation] in Serum by Line blot	B afz+burg+gari IgG Ptrn Ser Ln blot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
92815-0	Borrelia afzelii+burgdorferi+garinii IgG panel - Serum and CSF	Borrelia af+burg+gari IgG Pnl Ser+CSF		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
101354-9	Borrelia afzelii+burgdorferi+garinii IgG+IgM Ab [Presence] in Serum by Immunoassay	B afz+burg+gari IgG+IgM Ser Ql IA		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
101355-6	Borrelia afzelii+burgdorferi+garinii IgM Ab [Presence] in Serum by Immunoassay	B afz+burg+gari IgM Ser Ql IA		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
87277-0	Borrelia afzelii+burgdorferi+garinii IgM Ab [Presence] in Serum by Line blot	B. afzelii+B.burgdorferi+B. garinii IgM WB in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
87278-8	Borrelia afzelii+burgdorferi+garinii IgM band pattern [Interpretation] in Serum by Line blot	B afz+burg+gari IgM Ptrn Ser Line blot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
11550-1	Borrelia burgdorferi [Presence] in Specimen by Organism specific culture	B. burgdorferi Culture in specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
53362-0	Borrelia burgdorferi 49736 IgA Ab [Units/volume] in Serum	B burgdor 49736 IgA Ser-aCnc		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
51744-1	Borrelia burgdorferi 49736 IgA Ab [Units/volume] in Serum by Immunoassay	B burgdor 49736 IgA Ser IA-aCnc		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.8	LN
