Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Type (Mumps)	PHVS_LabTestType_Mumps	2.16.840.1.114222.4.11.7336	12	Interpretative Lab tests associated with Mumps codes.
	Published	08/14/2024	V12: Updated Preferred Names for value set.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
47532-7	MuV RNA XXX Ql PCR	PCR		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.77	LN
13921-2	MuV XXX Ql Cult	Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.77	LN
85807-6	MuV Gentyp XXX	Genotype		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.77	LN
LAB633	Molecular typing	Molecular Typing		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20211027	PHINQUESTION
22418-8	MuV IgM Ser Ql	MuV IgM Ser QI		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.77	LN
LAB640	Mumps IgG Antibody (Acute)	Mumps IgG Antibody (Acute)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20211027	PHINQUESTION
LAB641	Mumps IgG Antibody (Convalescent)	Mumps IgG Antibody (Convalescent)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20211027	PHINQUESTION
6476-6	MuV IgG Ser Ql EIA	MuV IgG Ser QI EIA		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.77	LN
LAB707	Unspecified Serology	Unspecified Serology		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20211027	PHINQUESTION
LAB608	Other Test Type	Other Test Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20211027	PHINQUESTION
LAB609	Unknown Test Type	Unknown Test Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20211027	PHINQUESTION
