Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Type (STD)	PHVS_LabTestType_STD	2.16.840.1.114222.4.11.7550	9	Type of STD test performed on specimen collected to support case patient's diagnosis
	Published	12/14/2023	V9: Added content from LOINC 2.76

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
45130-2	C trach Ab Fld Ql	Chlamydia trachomatis Ab [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
45007-2	C trach Ab Ser IA-aCnc	Chlamydia trachomatis Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
30204-2	C trach Ab Ser Ql	Chlamydia trachomatis Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
45008-0	C trach Ab Ser Ql CF	Chlamydia trachomatis Ab [Presence] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
45009-8	C trach Ab Ser Ql IF	Chlamydia trachomatis Ab [Presence] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
7824-6	C trach Ab Ser-aCnc	Chlamydia trachomatis Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
44998-3	C trach Ab sp1 Ser Ql	Chlamydia trachomatis Ab [Presence] in Serum --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
44997-5	C trach Ab sp2 Ser-aCnc	Chlamydia trachomatis Ab [Units/volume] in Serum --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
22187-9	C trach Ab Titr Ser	Chlamydia trachomatis Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
5087-2	C trach Ab Titr Ser CF	Chlamydia trachomatis Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
5088-0	C trach Ab Titr Ser IF	Chlamydia trachomatis Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
34710-4	C trach Ag Anal Ql	Chlamydia trachomatis Ag [Presence] in Anal		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
91861-5	C trach Ag Aspirate Ql IF	Chlamydia trachomatis Ag [Presence] in Aspirate by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
31768-5	C trach Ag Bld Ql	Chlamydia trachomatis Ag [Presence] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
14468-3	C trach Ag Bld Ql IA	Chlamydia trachomatis Ag [Presence] in Blood by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
14507-8	C trach Ag Bld Ql IF	Chlamydia trachomatis Ag [Presence] in Blood by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
31769-3	C trach Ag Conjunct Ql	Chlamydia trachomatis Ag [Presence] in Conjunctival specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
6350-3	C trach Ag Conjunct Ql IA	Chlamydia trachomatis Ag [Presence] in Conjunctival specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
6351-1	C trach Ag Conjunct Ql IF	Chlamydia trachomatis Ag [Presence] in Conjunctival specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
31770-1	C trach Ag CSF Ql	Chlamydia trachomatis Ag [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
14469-1	C trach Ag CSF Ql IA	Chlamydia trachomatis Ag [Presence] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
14508-6	C trach Ag CSF Ql IF	Chlamydia trachomatis Ag [Presence] in Cerebral spinal fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
47234-0	C trach Ag Fld Ql	Chlamydia trachomatis Ag [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
45091-6	C trach Ag Genital Ql	Chlamydia trachomatis Ag [Presence] in Genital specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
91860-7	C trach Ag Genital Ql IF	Chlamydia trachomatis Ag [Presence] in Genital specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
34709-6	C trach Ag Nph Ql	Chlamydia trachomatis Ag [Presence] in Nasopharynx		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
45092-4	C trach Ag Nph Ql IA	Chlamydia trachomatis Ag [Presence] in Nasopharynx by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
99105-9	C trach Ag SerPl Ql IA	Chlamydia trachomatis Ag [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
31777-6	C trach Ag Spec Ql	Chlamydia trachomatis Ag [Presence] in Specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
6354-5	C trach Ag Spec Ql IA	Chlamydia trachomatis Ag [Presence] in Specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
6355-2	C trach Ag Spec Ql IF	Chlamydia trachomatis Ag [Presence] in Specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
31774-3	C trach Ag Stl Ql	Chlamydia trachomatis Ag [Presence] in Stool		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.76	LN
