Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Type (TBRD)	PHVS_LabTestType_TBRD	2.16.840.1.114222.4.11.7835	7	Epidemiologic interpretation of the type of test(s) performed for this case.	Published	02/25/2026	V7: Added 48981-5 Anaplasma sp [Presence] in Specimen by Light microscopy to value set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
101409-1	Anaplasma phagocytophilum & Babesia microti & Ehrlichia chaffeensis Ab.IgG panel:-:Pt:Ser:-:	Anaplasma phagocytophilum, Babesia microti and Ehrlichia chaffeensis IgGpanel - Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.81	LN
93370-5	Anaplasma phagocytophilum & Ehrlichia chaffeensis Ab.IgG & IgM panel:-:Pt:Ser:-:	Anaplasma phagocytophilum and Ehrlichia chaffeensis IgG and IgM panel - Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.81	LN
91899-5	Anaplasma phagocytophilum & Ehrlichia chaffeensis DNA panel:-:Pt:Bld:-:	Anaplasma phagocytophilum and Ehrlichia chaffeensis DNA panel - Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.81	LN
77165-9	Anaplasma phagocytophilum & Ehrlichia chaffeensis IgG panel:Titr:Pt:Ser:SemiQn:	Anaplasma phagocytophilum and Ehrlichia chaffeensis IgG panel [Titer] - Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.81	LN
87548-4	Anaplasma phagocytophilum & Ehrlichia sp groEL gene panel:-:Pt:Bld:Ord:Non-probe.amp.tar	Anaplasma phagocytophilum and Ehrlichia sp DNA panel - Blood Qualitative by NAA with non-probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.81	LN
55150-7	Anaplasma phagocytophilum Ab.IgG & IgM panel:-:Pt:Ser:Ord:	Anaplasma phagocytophilum IgG and IgM panel - Serum Qualitative		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.81	LN
16808-8	Anaplasma phagocytophilum Ab.IgG:ACnc:Pt:Ser:Qn:	Anaplasma phagocytophilum IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.81	LN
29844-8	Anaplasma phagocytophilum Ab.IgG:PrThr:Pt:CSF:Ord:	Anaplasma phagocytophilum IgG Ab [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.81	LN
29806-7	Anaplasma phagocytophilum Ab.IgG:PrThr:Pt:CSF:Ord:IB	Anaplasma phagocytophilum IgG Ab [Presence] in Cerebral spinal fluid by Immunoblot		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.81	LN
29856-2	Anaplasma phagocytophilum Ab.IgG:PrThr:Pt:Ser:Ord:	Anaplasma phagocytophilum IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.81	LN
