Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test (PHLIP)	PHVS_LabTest_PHLIP	2.16.840.1.114222.4.11.8087	1	Active concepts from Lab Test PHLIP code system	Published	04/11/2025	Active concepts from Lab Test PHLIP code system

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PLT3067	14-3-3 Ag [Mass/volume] in Cerebral spinal fluid by Immuno Assay	14-3-3 Ag CSF-mCnc IA		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.40	PLT
PLT2328	2019 novel Corona Virus N1 RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection	2019 nCoV N1 RNA Ct XXX Qn NAA+probe		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.40	PLT
PLT2324	2019 novel Corona Virus N1 RNA [Presence] in Unspecified specimen by NAA with probe detection	2019 nCoV N1 RNA XXX Ql NAA+probe		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.40	PLT
PLT2329	2019 novel Corona Virus N2 RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection	2019 nCoV N2 RNA Ct XXX Qn NAA+probe		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.40	PLT
PLT2325	2019 novel Corona Virus N2 RNA [Presence] in Unspecified specimen by NAA with probe detection	2019 nCoV N2 RNA XXX Ql NAA+probe		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.40	PLT
PLT2330	2019 novel Corona Virus N3 RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection	2019 nCoV N3 RNA Ct XXX Qn NAA+probe		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.40	PLT
PLT2326	2019 novel Corona Virus N3 RNA [Presence] in Unspecified specimen by NAA with probe detection	2019 nCoV N3 RNA XXX Ql NAA+probe		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.40	PLT
PLT2327	2019 novel Corona Virus RNA [Identifier] in Unspecified specimen by NAA with probe detection	2019 nCoV RNA XXX NAA+probe		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.40	PLT
PLT2323	2019 novel Corona Virus RNA in Unspecified Specimen Panel NAA+probe	2019 nCoV RNA XXX Pnl NAA+probe		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.40	PLT
PLT3257	ABCD1 gene mutation found [Identifier] in Dried BloodSpot by Sequencing	ABCD1 gene Mut Anl DBS Seq		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.40	PLT
