Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Manufacturers of vaccines (MVX)	PHVS_ManufacturersOfVaccinesMVX_CDC_NIP	2.16.840.1.114222.4.11.826	16	The CDC's National Immunization Program (NIP) maintains the HL7 external code set MVX. HL7 version 2.x Manufacturers of vaccines (code=MVX) used in chapter(s) 4. 	Published	07/19/2023	v16: Based on 11/1/22 update of MVX code system

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
AB	Abbott Laboratories	Abbott Laboratories		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
ACA	Acambis, Inc	Acambis, Inc		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
AD	Adams Laboratories, Inc.	Adams Laboratories, Inc.		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
AKR	Akorn, Inc	Akorn, Inc		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
ALP	Alpha Therapeutic Corporation	Alpha Therapeutic Corporation		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
AR	Armour	Armour		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
ASZ	AstraZeneca	AstraZeneca		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
AVB	Aventis Behring L.L.C.	Aventis Behring L.L.C.		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
AVI	Aviron	Aviron		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
BRR	Barr Laboratories	Barr Laboratories		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
BN	Bavarian Nordic A/S	Bavarian Nordic A/S		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
BAH	Baxter Healthcare Corporation	Baxter Healthcare Corporation		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
BA	Baxter Healthcare Corporation-inactive	Baxter Healthcare Corporation-inactive		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
BAY	Bayer Corporation	Bayer Corporation		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
BP	Berna Products	Berna Products		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
BPC	Berna Products Corporation	Berna Products Corporation		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
BBI	Bharat Biotech International Limited	Bharat Biotech International Limited		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
CSL	bioCSL	bioCSL		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
BTP	Biotest Pharmaceuticals Corporation	Biotest Pharmaceuticals Corporation		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
CNJ	Cangene Corporation	Cangene Corporation		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
CAN	CanSino Biologics, Inc	CanSino Biologics, Inc		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
CMP	Celltech Medeva Pharmaceuticals	Celltech Medeva Pharmaceuticals		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
CEN	Centeon L.L.C.	Centeon L.L.C.		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
CHI	Chiron Corporation	Chiron Corporation		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
CON	Connaught	Connaught		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
CRU	Crucell	Crucell		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
DSI	Dispensing Solutions	Dispensing Solutions		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
DYN	Dynaport	Dynaport		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
DVX	Dynavax, Inc.	Dynavax, Inc.		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
DVC	DynPort Vaccine Company, LLC	DynPort Vaccine Company, LLC		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
MIP	Emergent BioSolutions	Emergent BioSolutions		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
PAX	Emergent Travel Health, Inc (Formerly PaxVax)	Emergent Travel Health, Inc (Formerly PaxVax)		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
EVN	Evans Medical Limited	Evans Medical Limited		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
GEO	GeoVax Labs, Inc.	GeoVax Labs, Inc.		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
SKB	GlaxoSmithKline	GlaxoSmithKline		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
GRE	Greer Laboratories, Inc.	Greer Laboratories, Inc.		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
GRF	Grifols	Grifols		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
IDB	ID Biomedical	ID Biomedical		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
IAG	Immuno International AG	Immuno International AG		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
IUS	Immuno-U.S., Inc.	Immuno-U.S., Inc.		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
INT	Intercell Biomedical	Intercell Biomedical		2.16.840.1.113883.12.227	Manufacturers of vaccines (MVX)	PH_ManufacturersOfVaccinesMVX_CDC_NIP	20221101	MVX
