Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Marital Status HL7	PHVS_MaritalStatus_HL7	2.16.840.1.114222.4.11.8070	1	Marital Status is the domestic partnership status of a person.	Published	08/30/2022	This value set version reflects HL7's Version 4 (4.0.1)

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
A	Annulled	Annulled		2.16.840.1.113883.5.2	MaritalStatus	PH_MaritalStatus_HL7_V3	2.0.0	HITSP-CS-2
D	Divorced	Divorced		2.16.840.1.113883.5.2	MaritalStatus	PH_MaritalStatus_HL7_V3	2.0.0	HITSP-CS-2
T	Domestic partner	Domestic partner		2.16.840.1.113883.5.2	MaritalStatus	PH_MaritalStatus_HL7_V3	2.0.0	HITSP-CS-2
I	Interlocutory	Interlocutory		2.16.840.1.113883.5.2	MaritalStatus	PH_MaritalStatus_HL7_V3	2.0.0	HITSP-CS-2
L	Legally Separated	Legally Separated		2.16.840.1.113883.5.2	MaritalStatus	PH_MaritalStatus_HL7_V3	2.0.0	HITSP-CS-2
M	Married	Married		2.16.840.1.113883.5.2	MaritalStatus	PH_MaritalStatus_HL7_V3	2.0.0	HITSP-CS-2
S	Never Married	Never Married		2.16.840.1.113883.5.2	MaritalStatus	PH_MaritalStatus_HL7_V3	2.0.0	HITSP-CS-2
P	Polygamous	Polygamous		2.16.840.1.113883.5.2	MaritalStatus	PH_MaritalStatus_HL7_V3	2.0.0	HITSP-CS-2
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
U	unmarried	unmarried		2.16.840.1.113883.5.2	MaritalStatus	PH_MaritalStatus_HL7_V3	2.0.0	HITSP-CS-2
W	Widowed	Widowed		2.16.840.1.113883.5.2	MaritalStatus	PH_MaritalStatus_HL7_V3	2.0.0	HITSP-CS-2
