Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Medication Administered (Anthrax)	PHVS_MedicationAdministered_Anthrax	2.16.840.1.114222.4.11.7963	1	Name of antibiotic administered to subject/patient for this illness.	Published	10/19/2020	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
723	Amoxicillin	Amoxicillin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
19711	Amoxicillin / Clavulanate	Amoxicillin-Clavulanate		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
733	Ampicillin	Ampicillin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
1009148	Ampicillin / Sulbactam	Ampicillin-Sulbactam		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2180	Cefazolin	Cefazolin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2348	Chloramphenicol	Chloramphenicol		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2551	Ciprofloxacin	Ciprofloxacin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
21212	Clarithromycin	Clarithromycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2582	Clindamycin	Clindamycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
1539239	Dalbavancin	Dalbavancin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
22299	Daptomycin	Daptomycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
3640	Doxycycline	Doxycycline		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2055906	Eravacycline	Eravacycline		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
4056	Erythromycin Ethylsuccinate	Erythromycin-Ethylsuccinate		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
1596450	Gentamicin	Gentamicin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
5690	Imipenem	Imipenem		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
82122	Levofloxacin	Levofloxacin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
190376	Linezolid	Linezolid		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
29561	Meropenem	Meropenem		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
6980	Minocycline	Minocycline		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
7623	Ofloxacin	Ofloxacin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2059269	Omadacycline	Omadacycline		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
7646	Omeprazole	AIG		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
1547611	Oritavancin	Oritavancin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
OTH	Other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
764146007	Penicillin (substance)	penicillin		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
7983	Penicillin G procaine	Procaine Penicillin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
1366567	Raxibacumab	Raxibacumab		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
9384	Rifampin	Rifampin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
10831	Sulfamethoxazole / Trimethoprim	Sulfamethoxazole-Trimethoprim		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
10395	Tetracycline	Tetracycline		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
UNK	Unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
11124	Vancomycin	Vancomycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
