Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Occupation CDC Census 2012	PHVS_Occupation_CDC_Census2012	2.16.840.1.114222.4.11.8026	1	2012 Occupation coding system used by CDC (NIOSH & NCHS) for coding occupation text. Occupation describes a set of activities or tasks that individuals are paid to perform or, if unpaid, define a person’s contribution to a household/family business/community. This code system includes 2012 U.S. Census Bureau occupation codes with modifications made by CDC for unpaid workers and military occupations. The 2012 Census occupation categories are based on the 2010 BLS Standard Occupational Classification (SOC) system. The PH_Industry_CDC_Census2010 code system should be used in conjunction with this occupation code system when coding both industry and occupation. For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at: http://www.cdc.gov/niosh/topics/coding/	Published	03/19/2021	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
0800	Accountants and Auditors	Accountants and Auditors		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
2700	Actors	Actors		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
1200	Actuaries	Actuaries		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
8850	Adhesive Bonding Machine Operators and Tenders	Adhesive Bonding Machine Operators and Tenders		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
0100	Administrative Services Managers	Administrative Services Managers		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
0040	Advertising and Promotions Managers	Advertising and Promotions Managers		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
4800	Advertising Sales Agents	Advertising Sales Agents		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
1320	Aerospace Engineers	Aerospace Engineers		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
0500	Agents and Business Managers Of Artists, Performers, and Athletes	Agents and Business Managers Of Artists, Performers, and Athletes		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
1900	Agricultural and Food Science Technicians	Agricultural and Food Science Technicians		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
1600	Agricultural and Food Scientists	Agricultural and Food Scientists		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
1330	Agricultural Engineers	Agricultural Engineers		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
6010	Agricultural Inspectors	Agricultural Inspectors		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
9040	Air Traffic Controllers and Airfield Operations Specialists	Air Traffic Controllers and Airfield Operations Specialists		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
7140	Aircraft Mechanics and Service Technicians	Aircraft Mechanics and Service Technicians		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
9030	Aircraft Pilots and Flight Engineers	Aircraft Pilots and Flight Engineers		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
7710	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
9110	Ambulance Drivers and Attendants, except Emergency Medical Technicians	Ambulance Drivers and Attendants, except Emergency Medical Technicians		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
6020	Animal Breeders	Animal Breeders		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
3900	Animal Control Workers	Animal Control Workers		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
4340	Animal Trainers	Animal Trainers		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
2800	Announcers	Announcers		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
0810	Appraisers and Assessors Of Real Estate	Appraisers and Assessors Of Real Estate		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
1300	Architects, except Naval	Architects, except Naval		2.16.840.1.114222.4.5.329	Occupation CDC Census 2012	PH_Occupation_CDC_Census2012	20210308	CDCOCCUPATION2012
