Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Occupation CDC Census 2018	PHVS_Occupation_CDC_Census2018	2.16.840.1.114222.4.11.8065	1		Published	07/21/2022	V1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
0800	Accountants and auditors	Accountants and Auditors		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
2700	Actors	Actors		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
1200	Actuaries	Actuaries		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
3261	Acupuncturists	Acupuncturists		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
8850	Adhesive bonding machine operators and tenders	Adhesive Bonding Machine Operators and Tenders		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
0101	Administrative services managers	Administrative Services Managers		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
0040	Advertising and promotions managers	Advertising and Promotions Managers		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
4800	Advertising sales agents	Advertising Sales Agents		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
1320	Aerospace engineers	Aerospace Engineers		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
0500	Agents and business managers of artists, performers, and athletes	Agents and Business Managers of Artists, Performers, and Athletes		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
1900	Agricultural and food science technicians	Agricultural and Food Science Technicians		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
1600	Agricultural and food scientists	Agricultural and Food Scientists		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
1330	Agricultural engineers	Agricultural Engineers		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
6010	Agricultural inspectors	Agricultural Inspectors		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
9040	Air traffic controllers and airfield operations specialists	Air Traffic Controllers and Airfield Operations Specialists		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
7140	Aircraft mechanics and service technicians	Aircraft Mechanics and Service Technicians		2.16.840.1.114222.4.5.339	Occupation CDC Census 2018	PH_Occupation_CDC_Census2018	20220712	CDCOCCUPATION2018
