Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Occupation CDC SOC 2010	PHVS_Occupation_CDC_SOC2010	2.16.840.1.114222.4.11.8028	2	2010 BLS Standard Occupational Classification (SOC) coding system used by the NIOSH Industry and Occupation Computerized Coding System (NIOCCS). Occupation describes a set of activities or tasks that individuals are paid to perform or, if unpaid, define a person’s contribution to a household/family business/community. This code system includes 2010 SOC occupation codes with modifications made by CDC for unpaid workers and military occupations. The PH_Industry_CDC_NAICS2012 code system should be used in conjunction with this occupation code system when coding both industry and occupation. For more information and instructions on using this coding system, see the instruction manual for  CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	06/22/2021	Updated concepts to reflect Occupation SOC 2010 updates

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
13-2011	Accountants and Auditors	Accountants and Auditors		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
27-2011	Actors	Actors		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
15-2011	Actuaries	Actuaries		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
51-9191	Adhesive Bonding Machine Operators and Tenders	Adhesive Bonding Machine Operators and Tenders		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
23-1021	Administrative Law Judges, Adjudicators, and Hearing Officers	Administrative Law Judges, Adjudicators, and Hearing Officers		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
11-3011	Administrative Services Managers	Administrative Services Managers		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
25-3011	Adult Basic and Secondary Education and Literacy Teachers and Instructors	Adult Basic and Secondary Education and Literacy Teachers and Instructors		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
11-2011	Advertising and Promotions Managers	Advertising and Promotions Managers		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
41-3011	Advertising Sales Agents	Advertising Sales Agents		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
17-3021	Aerospace Engineering and Operations Technicians	Aerospace Engineering and Operations Technicians		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
17-2011	Aerospace Engineers	Aerospace Engineers		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
13-1011	Agents and Business Managers Of Artists, Performers, and Athletes	Agents and Business Managers Of Artists, Performers, and Athletes		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
19-4011	Agricultural and Food Science Technicians	Agricultural and Food Science Technicians		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
17-2021	Agricultural Engineers	Agricultural Engineers		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
45-2091	Agricultural Equipment Operators	Agricultural Equipment Operators		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
45-2011	Agricultural Inspectors	Agricultural Inspectors		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
45-2099	Agricultural Workers, All Other	Agricultural Workers, All Other		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
53-2021	Air Traffic Controllers	Air Traffic Controllers		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
53-1011	Aircraft Cargo Handling Supervisors	Aircraft Cargo Handling Supervisors		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
49-3011	Aircraft Mechanics and Service Technicians	Aircraft Mechanics and Service Technicians		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
51-2011	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
53-2022	Airfield Operations Specialists	Airfield Operations Specialists		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
53-2011	Airline Pilots, Copilots, and Flight Engineers	Airline Pilots, Copilots, and Flight Engineers		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
53-3011	Ambulance Drivers and Attendants, Except Emergency Medical Technicians	Ambulance Drivers and Attendants, Except Emergency Medical Technicians		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
39-3091	Amusement and Recreation Attendants	Amusement and Recreation Attendants		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
29-1061	Anesthesiologists	Anesthesiologists		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
45-2021	Animal Breeders	Animal Breeders		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
33-9011	Animal Control Workers	Animal Control Workers		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
19-1011	Animal Scientists	Animal Scientists		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
39-2011	Animal Trainers	Animal Trainers		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
19-3091	Anthropologists and Archeologists	Anthropologists and Archeologists		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
13-2021	Appraisers and Assessors of Real Estate	Appraisers and Assessors of Real Estate		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
23-1022	Arbitrators, Mediators, and Conciliators	Arbitrators, Mediators, and Conciliators		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
17-1011	Architects, Except Landscape and Naval	Architects, Except Landscape and Naval		2.16.840.1.114222.4.5.335	Occupation (SOC 2010)	PH_Occupation_SOC_2010	2010	SOC2010
