Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Occupation ONETSOC Detail (ODH)	PHVS_Occupation_ONETSOC_Detail_ODH	2.16.840.1.114222.4.11.7901	3	The Occupational Data for Health (ODH) occupation value set is derived from the Standard Occupational Classification (SOC) system. SOC is a federal statistical standard used by federal agencies to classify workers into occupational categories for the purpose of collecting, calculating, or disseminating data. This value set includes all codes from the SOC 2018 version release, international codes from the International Standard Classification of Occupations (ISCO) 2008 version release, plus a "Not Coded" concept. ISCO is copyright International Labour Organization (ILO). Terms & Conditions in https://www.ilo.org/rights-and-permissions	Published	05/22/2025	Value Set Name: Healthcare Professional Roles - IPS OID: 2.16.840.1.113883.2.9.6.2.7

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
2411	Accountants	Accountants		2.16.840.1.113883.2.9.6.2.7	International Classification of Occupations (ISCO)-08	PH_International Classification of Occupations_(ISCO)-08	1	
13-2010	Accountants and Auditors	Accountants and Auditors		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
13-2011	Accountants and Auditors	Accountants and Auditors		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
4311	Accounting and Bookkeeping Clerks	Accounting and Bookkeeping Clerks		2.16.840.1.113883.2.9.6.2.7	International Classification of Occupations (ISCO)-08	PH_International Classification of Occupations_(ISCO)-08	1	
3313	Accounting Associate Professionals	Accounting Associate Professionals		2.16.840.1.113883.2.9.6.2.7	International Classification of Occupations (ISCO)-08	PH_International Classification of Occupations_(ISCO)-08	1	
2655	Actors	Actors		2.16.840.1.113883.2.9.6.2.7	International Classification of Occupations (ISCO)-08	PH_International Classification of Occupations_(ISCO)-08	1	
27-2011	Actors	Actors		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
27-2010	Actors, Producers, and Directors	Actors, Producers, and Directors		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
15-2010	Actuaries	Actuaries		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
15-2011	Actuaries	Actuaries		2.16.840.1.114222.4.5.327	Occupational Data for Health (ODH)	PH_OccupationalDataForHealth_ODH	20201030	CDCODH
