Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Organism (CPO)	PHVS_Organism_CPO	2.16.840.1.114222.4.11.8078	1	Genus and species of the organism identified as CPO.	Published	04/11/2024	V1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
91288006	Acinetobacter baumannii (organism)	Acinetobacter baumannii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
1003795002	Acinetobacter baumannii group (organism)	Acinetobacter baumannii complex		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
700398000	Acinetobacter bereziniae (organism)	Acinetobacter bereziniae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
113376007	Acinetobacter calcoaceticus-Acinetobacter baumannii complex (organism)	Acinetobacter calcoaceticus-Acinetobacter baumannii complex		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
13879009	Acinetobacter junii (organism)	Acinetobacter junii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
83088009	Acinetobacter lwoffii (organism)	Acinetobacter lwoffii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
708859003	Acinetobacter nosocomialis (organism)	Acinetobacter nosocomialis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
698244000	Acinetobacter pittii (organism)	Acinetobacter pittii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
113381003	Acinetobacter radioresistens (organism)	Acinetobacter radioresistens		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
424791004	Acinetobacter ursingii (organism)	Acinetobacter ursingii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
113384006	Acinetobacter variabilis (organism)	Acinetobacter variabilis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
2345009	Cedecea lapagei (organism)	Cedecea lapagei		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
55744003	Citrobacter amalonaticus (organism)	Citrobacter amalonaticus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
114262000	Citrobacter braakii (organism)	Citrobacter braakii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
114263005	Citrobacter farmeri (organism)	Citrobacter farmeri		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
6265002	Citrobacter freundii (organism)	Citrobacter freundii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
114264004	Citrobacter koseri (organism)	Citrobacter koseri		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
114442006	Citrobacter werkmanii (organism)	Citrobacter werkmanii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240301	SCT
