Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Outbreak Type (Hepatitis)	PHVS_OutbreakType_Hepatitis	2.16.840.1.114222.4.11.3034	2	Codes specifying the type of outbreak with which the person is associated.	Published	01/14/2025	V2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PHC2372	Community/person-to-person	Community/person-to-person		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20240502	CDCPHINVS
PHC2378	Community/person-to-person among heterosexual sexual partners	Community/person-to-person among heterosexual sexual partners		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20240502	CDCPHINVS
PHC2377	Community/person-to-person among men who have sex with men (MSM)	Community/person-to-person among MSM		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20240502	CDCPHINVS
PHC2376	Community/person-to-person among people who use drugs	Community/person-to-person among people who use drugs		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20240502	CDCPHINVS
PHC2373	Foodborne-associated with an infected food handler	Foodborne-associated with an infected food handler		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20240502	CDCPHINVS
PHC2374	Foodborne-associated with contaminated food	Foodborne-associated with contaminated food		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20240502	CDCPHINVS
PHC2375	Foodborne-undetermined whether associated with an infected food handler or contaminated food	Foodborne-undetermined whether associated with an infected food handler or contaminated food		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20240502	CDCPHINVS
408678008	Healthcare associated infectious disease (disorder)	Healthcare-associated		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
OTH	other	Other (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC305	Source not identified	Source not identified		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20240502	CDCPHINVS
418117003	Water-borne transmission (qualifier value)	Waterborne		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
