Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Preferred Language	PHVS_PreferredLangauge_NNDSS	2.16.840.1.114222.4.5.341	1	Comprehensive list of codes included in the NHSN Abridged Primary Language List	Published	06/20/2025	1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
abk	Abkhazian	Abkhazian		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
ace	Achinese	Achinese		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
ach	Acoli	Acoli		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
aar	Afar	Afar		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
afg	Afghan Sign Language	Afghan Sign Language		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
aka	Akan	Akan		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
akl	Aklanon	Aklanon		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
mim	Alacatlatzala Mixtec	Alacatlatzala Mixtec		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
sqi	Albanian	Albanian		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
sqk	Albanian Sign Language	Albanian Sign Language		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
xta	Alcozauca Mixtec	Alcozauca Mixtec		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
arq	Algerian Arabic	Algerian Arabic		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
aao	Algerian Saharan Arabic	Algerian Saharan Arabic		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
asp	Algerian Sign Language	Algerian Sign Language		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
ase	American Sign Language	American Sign Language		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
amh	Amharic	Amharic		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
mbz	Amoltepec Mixtec	Amoltepec Mixtec		1.0.639.3	ISO 639-3 Language	PH_Language_ISO_639-3	20240123	ISO6393
