Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Patient Epidemiological Risk Factors (Hepatitis)	PHVS_PtRiskFactors_Hepatitis	2.16.840.1.114222.4.11.8086	2	Patient epidemiological risk factors for contracting hepatitis A, B or C	Published	05/30/2025	V2: Updated map for value 'Non-injection drug not prescribed'

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PHC2356	Contact with a confirmed or suspected case	Contact with confirmed or suspected case		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20250519	CDCPHINVS
PHC2388	Contact with confirmed or suspected case, sexual partner	Contact with confirmed or suspected case, sexual partner		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20250519	CDCPHINVS
PHC2359	Contact with drug sharing partner	Contact with confirmed or suspected case, drug sharing partner		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20250519	CDCPHINVS
302497006	Hemodialysis (procedure)	Hemodialysis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20250301	SCT
413141003	History of needle stick injury (situation)	Accidental stick with contaminated blood		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20250301	SCT
32911000	Homeless (finding)	Homeless		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20250301	SCT
PHC300	Household member (non-sexual)	Contact with confirmed or suspected case, nonsexual household member		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20250519	CDCPHINVS
45361006	Imprisonment (finding)	Incarcerated		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20250301	SCT
226034001	Injecting drug user (finding)	Inject nonprescription drugs		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20250301	SCT
PHC2379	Medical worker, public safety	Medical worker, public safety		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20250519	CDCPHINVS
PHC2361	Men who have sex with men (MSM)	Men who have sex with men		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20250519	CDCPHINVS
225516002	Multiple sexual contacts (finding)	Multiple sexual partners		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20250301	SCT
PHC926	Non-injection drugs not prescribed	Noninjection drugs not prescribed		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20250519	CDCPHINVS
PHC1304	Other Contact Type	Contact with confirmed or suspected case, other		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20250519	CDCPHINVS
276551001	Perinatal hepatitis (disorder)	Perinatally exposed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20250301	SCT
72483009	Sex related disease (finding)	STI diagnosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20250301	SCT
341000119102	Tattoo of skin (finding)	Tattoo		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20250301	SCT
77465005	Transplantation (procedure)	Organ or tissue transplant		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20250301	SCT
