Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Qual Lab Result Negative (Reportable Conditions)	PHVS_QLRNeg_ReportableConditions	2.16.840.1.114222.4.11.7235	2	Coded values for negative test results in the OBX-5 field, such as Not detected, No growth, Non-reactive, etc.	Published	11/15/2022	V2: Preferred Names corrected to standard format without SNOMED hierarchy tags

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
272519000	Absence findings (qualifier value)	Absence findings		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
2667000	Absent (qualifier value)	Absent		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
281297005	Analyte not detected (qualifier value)	Analyte not detected		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
260385009	Negative (qualifier value)	Negative		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
373067005	No (qualifier value)	No		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
264868006	No growth (qualifier value)	No growth		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
27863008	No organisms seen (finding)	No organisms seen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
260389003	No reaction (qualifier value)	No reaction		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
131194007	Non-Reactive (qualifier value)	Non-Reactive		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
17621005	Normal (qualifier value)	Normal		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
23506009	Normal flora (finding)	Normal flora		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
260394003	Normal limits (qualifier value)	Normal limits		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
260395002	Normal range (qualifier value)	Normal range		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
280413001	Normal result (qualifier value)	Normal result		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
260415000	Not detected (qualifier value)	Not detected		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
264887000	Not isolated (qualifier value)	Not isolated		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
47492008	Not seen (qualifier value)	Not seen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
371928007	Not significant (qualifier value)	Not significant		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
