Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Related Person Relationship Type (NCHS)	PHVS_RelatedPersonRelationshipType_NCHS	2.16.840.1.114222.4.11.8018	1	To reflect information on the relationship between the decedent and the person providing demographic information for the decedent. The chosen value set for this relationship follows the PHIR value set used to record possible patient contact relationships in order to maintain consistency between this IG and the death reporting FHIR IG. That value set includes concepts drawn from the V3 role code and the V2 contact relationship value sets.	Published	02/10/2021	v1: Added to support decedent contact types

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
CHLDADOPT	adopted child	adopted child		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
DAUADOPT	adopted daughter	adopted daughter		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
SONADOPT	adopted son	adopted son		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
ADOPTF	adoptive father	adoptive father		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
ADOPTM	adoptive mother	adoptive mother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
ADOPTP	adoptive parent	adoptive parent		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
AUNT	aunt	aunt		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
BRO	brother	brother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
BROINLAW	brother-in-law	brother-in-law		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
CHILD	child	child		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
CHLDINLAW	child-in-law	child-in-law		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
COUSN	cousin	cousin		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
DAUC	daughter	daughter		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
DAUINLAW	daughter in-law	daughter in-law		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
DOMPART	domestic partner	domestic partner		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
C	Emergency Contact	Emergency Contact		2.16.840.1.113883.12.131	Contact Role (HL7)	PH_ContactRole_HL7_2x	HL7 v2.5	HL70131
E	Employer	Employer		2.16.840.1.113883.12.131	Contact Role (HL7)	PH_ContactRole_HL7_2x	HL7 v2.5	HL70131
EXT	extended family member	extended family member		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
FAMMEMB	family member	family member		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
FTH	father	father		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
FTHINLAW	father-in-law	father-in-law		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
F	Federal Agency	Federal Agency		2.16.840.1.113883.12.131	Contact Role (HL7)	PH_ContactRole_HL7_2x	HL7 v2.5	HL70131
FMRSPS	former spouse	former spouse		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
CHLDFOST	foster child	foster child		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
DAUFOST	foster daughter	foster daughter		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
FTHFOST	foster father	foster father		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
MTHFOST	foster mother	foster mother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
PRNFOST	foster parent	foster parent		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
SONFOST	foster son	foster son		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
FTWIN	fraternal twin	fraternal twin		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
FTWINBRO	fraternal twin brother	fraternal twin brother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
FTWINSIS	fraternal twin sister	fraternal twin sister		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
GESTM	gestational mother	gestational mother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
GRNDCHILD	grandchild	grandchild		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
GRNDDAU	granddaughter	granddaughter		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
GRFTH	grandfather	grandfather		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
GRMTH	grandmother	grandmother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
GRPRN	grandparent	grandparent		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
GRNDSON	grandson	grandson		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
GGRFTH	great grandfather	great grandfather		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
GGRMTH	great grandmother	great grandmother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
GGRPRN	great grandparent	great grandparent		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
HBRO	half-brother	half-brother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
HSIB	half-sibling	half-sibling		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
HSIS	half-sister	half-sister		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
HUSB	husband	husband		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
ITWIN	identical twin	identical twin		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
ITWINBRO	identical twin brother	identical twin brother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
ITWINSIS	identical twin sister	identical twin sister		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
INLAW	inlaw	inlaw		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
I	Insurance Company	Insurance Company		2.16.840.1.113883.12.131	Contact Role (HL7)	PH_ContactRole_HL7_2x	HL7 v2.5	HL70131
MAUNT	maternal aunt	maternal aunt		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
MCOUSN	maternal cousin	maternal cousin		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
MGRFTH	maternal grandfather	maternal grandfather		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
MGRMTH	maternal grandmother	maternal grandmother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
MGRPRN	maternal grandparent	maternal grandparent		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
MGGRFTH	maternal great-grandfather	maternal great-grandfather		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
MGGRMTH	maternal great-grandmother	maternal great-grandmother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
MGGRPRN	maternal great-grandparent	maternal great-grandparent		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
MUNCLE	maternal uncle	maternal uncle		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
MTH	mother	mother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
MTHINLAW	mother-in-law	mother-in-law		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
NBRO	natural brother	natural brother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
NCHILD	natural child	natural child		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
DAU	natural daughter	natural daughter		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
NFTH	natural father	natural father		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
NFTHF	natural father of fetus	natural father of fetus		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
NMTH	natural mother	natural mother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
NMTHF	natural mother of fetus	natural mother of fetus		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
NPRN	natural parent	natural parent		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
NSIB	natural sibling	natural sibling		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
NSIS	natural sister	natural sister		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
SON	natural son	natural son		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
NBOR	neighbor	neighbor		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
NEPHEW	nephew	nephew		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
N	Next-of-Kin	Next-of-Kin		2.16.840.1.113883.12.131	Contact Role (HL7)	PH_ContactRole_HL7_2x	HL7 v2.5	HL70131
NIECE	niece	niece		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
NIENEPH	niece/nephew	niece/nephew		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
O	Other	Other		2.16.840.1.113883.12.131	Contact Role (HL7)	PH_ContactRole_HL7_2x	HL7 v2.5	HL70131
PRN	parent	parent		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
PRNINLAW	parent in-law	parent in-law		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
PAUNT	paternal aunt	paternal aunt		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
PCOUSN	paternal cousin	paternal cousin		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
PGRFTH	paternal grandfather	paternal grandfather		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
PGRMTH	paternal grandmother	paternal grandmother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
PGRPRN	paternal grandparent	paternal grandparent		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
PGGRFTH	paternal great-grandfather	paternal great-grandfather		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20201211	ROLECODE
