Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Risk Factor (COVID-19)	PHVS_RiskFactor_COVID-19	2.16.840.1.114222.4.11.7947	3	Underlying medical conditions and/or risk behaviors.	Published	09/15/2022	V3: Updated risk factors consistent with 2022 CDC website

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
406506008	Attention deficit hyperactivity disorder (disorder)	Attention deficit hyperactivity disorder		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
85828009	Autoimmune disease (disorder)	Autoimmune condition		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
12295008	Bronchiectasis (disorder)	Bronchiectasis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
67569000	Bronchopulmonary dysplasia of newborn (disorder)	Bronchopulmonary dysplasia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
85898001	Cardiomyopathy (disorder)	Cardiomyopathy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
49601007	Cardiovascular disease (disorder)	Cardiovascular disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
128188000	Cerebral palsy (disorder)	Cerebral palsy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
230690007	Cerebrovascular accident (disorder)	Stroke		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
62914000	Cerebrovascular disease (disorder)	Cerebrovascular disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
367336001	Chemotherapy (procedure)	Chemotherapy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
63480004	Chronic bronchitis (disorder)	Chronic bronchitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
328383001	Chronic liver disease (disorder)	Chronic liver disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
413839001	Chronic lung disease (disorder)	Chronic lung disease (asthma/emphysema/COPD)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
13645005	Chronic obstructive lung disease (disorder)	Chronic obstructive pulmonary disease (COPD)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
709044004	Chronic renal disease (disorder)	Chronic renal disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
41040004	Complete trisomy 21 syndrome (disorder)	Down syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
13213009	Congenital heart disease (disorder)	Congenital heart disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
53741008	Coronary arteriosclerosis (disorder)	Coronary artery disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
190905008	Cystic fibrosis (disorder)	Cystic fibrosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
52448006	Dementia (disorder)	Dementia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
95919007	Dependence on corticoids (disorder)	Long term corticosteroid use		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
35489007	Depressive disorder (disorder)	Depression		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
1855002	Developmental academic disorder (disorder)	Learning disability		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
129104009	Developmental mental disorder (disorder)	Intellectual and developmental disability		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
73211009	Diabetes mellitus (disorder)	Diabetes Mellitus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
21134002	Disability (finding)	Disability		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
276720006	Dysmorphism (disorder)	Birth defects		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
8517006	Ex-smoker (finding)	Former smoker		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
84114007	Heart failure (disorder)	Heart failure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
