Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Severe Weather Type (Leptospirosis)	PHVS_SevereWeatherType_Leptospirosis	2.16.840.1.114222.4.11.7998	2	Type of severe weather during/as result of exposure	Published	04/06/2023	v2: Added additional severe weather events and 'other severe weather' as an option

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
48071004	Cyclone (event)	Cyclone		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
8766005	Earthquake (event)	Earthquake		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
111056004	Flood (event)	Flooding		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
35314007	Hurricane (event)	Hurricane		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
102406006	Mud slide (event)	Mudslides		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
OTH	other	Other severe weather (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
88644004	Tornado (event)	Tornado		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
24454008	Torrential rain (event)	Heavy Rainfall		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
C2350591	Typhoons	Typhoon		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20210608	UML
90569008	Wind (event)	Windstorm		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20220901	SCT
