Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Sick Animal Type (Leptospirosis)	PHVS_SickAnimalType_Leptospirosis	2.16.840.1.114222.4.11.7965	1	Sick animal type that has Leptospirosis
	Published	11/19/2020	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
125097000	Capra hircus (organism)	Goat		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
35354009	Equus caballus (organism)	Horse		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
106969009	Family Canidae (organism)	Dog		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
107003000	Family Cervidae (organism)	Deer		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
388768001	Family Herpestidae (organism)	Mongoose		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
388517001	Family Mephitidae (organism)	Skunk		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
106996007	Family Suidae (organism)	Domestic pig		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
388168008	Genus Bos (organism)	Cow		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
82968002	Mouse (organism)	Mice		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
OTH	other	Other sick animal type (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
125099002	Ovis aries (organism)	Sheep		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
388595008	Procyon lotor (organism)	Raccoon		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
371565004	Rattus norvegicus (organism)	Rats		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
78678003	Sus scrofa (organism)	Wild pig		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201026	SCT
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
