Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Specimen Source Site (Anthrax)	PHVS_SpecimenSourceSite_Anthrax	2.16.840.1.114222.4.3.20	1	Specimen source site for Anthrax infection	Published	12/03/2020	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
87612001	Blood (substance)	Blood		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
80891009	Heart structure (body structure)	Heart structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
39607008	Lung structure (body structure)	Lung structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
45206002	Nasal structure (body structure)	Nasal structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
71836000	Nasopharyngeal structure (body structure)	Nasopharyngeal structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
OTH	other	Other specimen source site (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
54066008	Pharyngeal structure (body structure)	Pharyngeal structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
3120008	Pleural membrane structure (body structure)	Pleural membrane structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
2748008	Spinal cord structure (body structure)	Spinal cord structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
281778006	Structure of intrathoracic lymphatic system (body structure)	Intrathoracic lymphatic structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201118	SCT
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
