Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Specimen	PHVS_Specimen_CDC	2.16.840.1.114222.4.11.946	13	Specimen based on SNOMED hierarchy (123038009) Keyword: Specimen Source, Specimen Type	Published	11/07/2024	V13: added concept code OTH

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
442043001	2 hour urine specimen (specimen)	2 hour urine specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
276833005	24 hour urine specimen (specimen)	24 hour urine specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
442166002	a.m. serum specimen (specimen)	a.m. serum specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
442524009	a.m. specimen (specimen)	a.m. specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
258497007	Abscess swab (specimen)	Abscess swab (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
258407001	Abscess tissue (specimen)	Abscess tissue (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
110904004	Accessory sinus cytologic material (specimen)	Accessory sinus cytologic material (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
122592007	Acellular blood (serum or plasma) specimen (specimen)	Acellular blood (serum or plasma) specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
258590006	Acidified serum specimen (specimen)	Acidified serum specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
866034009	Acute phase serum specimen (specimen)	Acute phase serum specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
258662004	Adhesive slide specimen (specimen)	Adhesive slide specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
258414004	Adipose tissue specimen (specimen)	Adipose tissue specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
309142006	Adrenal biopsy specimen (specimen)	Adrenal biopsy specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
309141004	Adrenal gland specimen (specimen)	Adrenal gland specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
303247002	Adrenal tissue specimen (specimen)	Adrenal tissue specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
446302006	Air specimen (specimen)	Air specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
33631000087102	Allogeneic bone graft material submitted as specimen (specimen)	Allogeneic bone graft material submitted as specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
410729004	Amniocentesis fluid specimen (specimen)	Amniocentesis fluid specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
110967008	Amnion cytologic material (specimen)	Amnion cytologic material (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
258563002	Amniotic cell specimen (specimen)	Amniotic cell specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
119373006	Amniotic fluid specimen (specimen)	Amniotic fluid specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
309494003	Ampulla of Vater biopsy specimen (specimen)	Ampulla of Vater biopsy specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
116155002	Ampulla of Vater cytologic material (specimen)	Ampulla of Vater cytologic material (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
309265008	Anal biopsy specimen (specimen)	Anal biopsy specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
110963007	Anal cytologic material (specimen)	Anal cytologic material (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
309266009	Anal polyp specimen (specimen)	Anal polyp specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
309267000	Anal resection specimen (specimen)	Anal resection specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
16216371000119105	Anal smear specimen (specimen)	Anal smear specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
258527002	Anal swab (specimen)	Anal swab (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
704243004	Animal head specimen (specimen)	Animal head specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
167875003	Ankle joint synovial fluid (specimen)	Ankle joint synovial fluid (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
697989009	Anterior nares swab (specimen)	Anterior nares swab (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
309489003	Anterior resection of rectum specimen (specimen)	Anterior resection of rectum specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
16216611000119108	Aortic valve specimen obtained by lavage (specimen)	Aortic valve specimen obtained by lavage (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
456721000124102	Apheresis fluid (specimen)	Apheresis fluid (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
309222007	Appendix specimen (specimen)	Appendix specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
258444001	Aqueous humor specimen (specimen)	Aqueous humor specimen (specimen)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20240901	SCT
