Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Travel Purpose (CDC)	PHVS_TravelPurpose_CDC	2.16.840.1.114222.4.11.8064	1	The purpose or reason for travel	Published	04/29/2022	V1. 

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PHC917	Airline/ship crew	Airline/ship crew		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20211027	CDCPHINVS
390790000	Asylum seeker (person)	Asylum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
PHC386	Business	Business		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20211027	CDCPHINVS
PHC1310	Immigrant	Immigration		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20211027	CDCPHINVS
C0175800	Intercountry adoption	International adoption		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20210608	UML
C3841750	Mass gathering	Mass gathering		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20210608	UML
C2718027	Medical tourism	Medical tourism		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20210608	UML
PHC1501	Medical/Relief response	Medical/relief response		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20211027	CDCPHINVS
PHC64	Military (environment)	Military		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20211027	CDCPHINVS
PHC918	Missionary	Missionary		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20211027	CDCPHINVS
OTH	other	Other travel purpose (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
C0030733	Peace Corps	Peace Corps		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20210608	UML
446654005	Refugee (person)	Refugee/Newcomer resettlement program		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
769038007	Researcher (occupation)	Research		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
PHC2382	Routine land border crossing	Routine land border crossing		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20211027	CDCPHINVS
PHC920	Student/teacher	Student/Teacher		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20211027	CDCPHINVS
PHC2383	Temporary work	Temporary work		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20211027	CDCPHINVS
C0683587	Tourism	Tourism		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20210608	UML
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC916	Visiting friends / relatives	Visiting friends/relatives		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20211027	CDCPHINVS
