Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Treatment Type (COVID-19)	PHVS_TreatmentType_COVID-19	2.16.840.1.114222.4.11.7949	2	Type of medical intervention or treatment.	Published	09/14/2022	v2: Added Paxlovid and other treatment options

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
40617009	Artificial respiration (procedure)	Mechanical ventilation/intubation		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
2047232	baricitinib	baricitinib		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20220404	RXNORM
2592360	bebtelovimab	bebtelovimab		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20220404	RXNORM
3264	dexamethasone	dexamethasone		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20220404	RXNORM
2587313	EVUSHELD 2 vial carton (cilgavimab 150 MG per 1.5 ML, tixagevimab 150 MG per 1.5 ML) (EUA)	Evusheld		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20220404	RXNORM
233573008	Extracorporeal membrane oxygenation (procedure)	ECMO		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
81839001	Medicinal product acting as anticoagulant agent (product)	anticoagulation		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
2587901	molnupiravir	molnupiravir		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20220404	RXNORM
OTH	other	Other (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
1162245	oxygen Inhalant Product	supplemental oxygen		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20220404	RXNORM
2599543	Paxlovid 150 MG /100 MG Dose Pack (EUA)	Paxlovid		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20220404	RXNORM
108807002	Product containing monoclonal antibody (product)	monoclonal antibodies		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20210322	SCT
2284718	remdesivir	remdesivir		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20220404	RXNORM
1923319	sarilumab	sarilumab		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20220404	RXNORM
612865	tocilizumab	tocilizumab		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20220404	RXNORM
1357536	tofacitinib	tofacitinib		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20220404	RXNORM
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
