Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
VIS Bar Codes (IIS)	PHVS_VISBarcodes_IIS	2.16.840.1.114222.4.11.6041	47	The purpose of the barcode on the bottom of the Vaccine Information Statement (VIS) is to provide an opportunity to electronically capture the VIS document type (e.g. influenza, MMR) and the edition date of the VIS, as required by the National Childhood Vaccine Injury Act (NCVIA). For more information, please visit - http://www.cdc.gov/vaccines/pubs/vis/vis-barcodes.htm	Published	07/13/2023	Updated to correlate with NCIRD 01/31/25 and 05/29/25 update


Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
253088698300001111200108	Adenovirus Vaccine VIS	Adenovirus Vaccine VIS		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300001111110714	Adenovirus VIS	Adenovirus VIS		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300001111140611	Adenovirus VIS	Adenovirus VIS		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300002811180321	Anthrax Vaccine VIS	Anthrax Vaccine VIS		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300002811200108	Anthrax Vaccine VIS	Anthrax Vaccine VIS		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300002811100310	Anthrax VIS	Anthrax VIS		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300031811241017	Cholera Vaccine VIS	Cholera Vaccine VIS		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300031811170706	Cholera Vaccine VIS	Cholera Vaccine VIS		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300031811191030	Cholera Vaccine VIS	Cholera Vaccine VIS		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300031811250131	Cholera Vaccine VIS	Cholera Vaccine VIS		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300035611210201	COVID-19 AstraZeneca Vaccine EUA Recipient-Caregiver Fact Sheet	COVID-19 AstraZeneca Vaccine EUA Recipient-Caregiver Fact Sheet		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300036311210201	COVID-19 Janssen Vaccine EUA Recipient-Caregiver Fact Sheet	COVID-19 Janssen Vaccine EUA Recipient-Caregiver Fact Sheet		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300061511240801	COVID-19 Moderna EUA Recipient-Caregiver Fact Sheet - 6 months through 11 years	COVID-19 Moderna EUA Recipient-Caregiver Fact Sheet - 6 months through 11 years		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300061511230901	COVID-19 Moderna EUA Recipient-Caregiver Fact Sheet - 6 months through 11 years	COVID-19 Moderna EUA Recipient-Caregiver Fact Sheet - 6 months through 11 years		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300059211230401	COVID-19 Moderna EUA Recipient-Caregiver Fact Sheet - all ages 6 months and older	COVID-19 Moderna EUA Recipient-Caregiver Fact Sheet - all ages 6 months and older		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
253088698300051611220501	COVID-19 Moderna EUA Recipient-Caregiver Fact Sheet - Pediatric 6mo to <6yrs	COVID-19 Moderna EUA Recipient-Caregiver Fact Sheet - Pediatric 6mo to <6yrs		2.16.840.1.114222.4.5.307	CDC GS1 VIS BarCodes	PH_CDCGS1_VIS	20231207	cdcgs1vis
