Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Vaccine Not Given Reason	PHVS_VaccineNotGivenReasons_CDC	2.16.840.1.114222.4.11.931	3	Reasons vaccine was not given	Published	01/29/2021	Added new concept "Vaccine not available"

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PHC1313	Foreign Visitor	Foreign Visitor		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
PHC1310	Immigrant	Immigrant		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
PHC82	Lab evidence of previous disease	Lab evidence of previous disease		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
PHC83	MD diagnosis of previous disease	MD diagnosis of previous disease		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
397745006	Medical contraindication	Medical contraindication		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20201211	SCT
PHC1311	Missed opportunity in medical setting	Missed opportunity in medical setting		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
OTH	Other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC94	Parent/Patient forgot to vaccinate	Parent/Patient forgot to vaccinate		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
PHC95	Parent/Patient refusal	Parental/Patient Refusal		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
PHC93	Parent/patient report of previous disease	Parent/patient report of previous disease		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
PHC1314	Parent/Patient unaware of recommendation	Parent/Patient unaware of recommendation		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
PHC92	Philosophical objection	Philosophical objection		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
PHC96	Religious exemption	Religious exemption		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
PHC1312	Too Young	Too Young		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
C4698055	Vaccine not available	Vaccine not available		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20201217	UML
PHC1315	Vaccine record incomplete/unavailable	Vaccine record incomplete/unavailable		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20201221	CDCPHINVS
