Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Vaccines administered (CVX)	PHVS_VaccinesAdministeredCVX_CDC_NIP	2.16.840.1.114222.4.11.934	29	Vaccine Name Keyword: Clinical Vaccines, Vaccine Names	Published	03/04/2026	v29: Value set contains all February 2026 CVX codes that were added since the June 2024 update


Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
143	Adenovirus types 4 and 7	Adenovirus, type 4 and type 7, live, oral		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
54	adenovirus, type 4	adenovirus vaccine, type 4, live, oral		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
55	adenovirus, type 7	adenovirus vaccine, type 7, live, oral		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
82	adenovirus, unspecified formulation	adenovirus vaccine, unspecified formulation		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
181	anthrax immune globulin	anthrax immune globulin		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
319	Anthrax vaccine, unspecified	Anthrax vaccine, unspecified		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
318	Anthrax, post-exposure prophylaxis	Anthrax vaccine, adsorbed, adjuvanted, post-exposure prophylaxis		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
24	Anthrax, pre-exposure prophylaxis, post-exposure prophylaxis	Anthrax vaccine, adsorbed, pre-exposure and post-exposure prophylaxis		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
801	AS03 Adjuvant	AS03 Adjuvant		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
19	BCG	Bacillus Calmette-Guerin vaccine		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
27	botulinum antitoxin	botulinum antitoxin		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
317	Chikungunya live attenuated vaccine, 0.5 mL, PF	Chikungunya, live attenuated vaccine, 0.5 mL, preservative free		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
173	cholera, BivWC	cholera, BivWC		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
174	cholera, live attenuated	cholera, live attenuated		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
26	cholera, unspecified formulation	cholera vaccine, unspecified formulation		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
172	cholera, WC-rBS	cholera, WC-rBS		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
29	CMVIG	cytomegalovirus immune globulin, intravenous		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
516	COV-2 COVID-19 Inactivated Non-US Vaccine Product (Minhai Biotechnology Co, KCONVAC)	SARS-COV-2 COVID-19 Inactivated Non-US Vaccine Product (Minhai Biotechnology Co, KCONVAC)		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
518	COVID-19 Inactivated, Non-US Vaccine (VLA2001, Valneva)	SARS-COV-2 COVID-19 Inactivated, Non-US Vaccine (VLA2001, Valneva)		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
510	COVID-19 IV Non-US Vaccine (BIBP, Sinopharm)	SARS-COV-2 COVID-19 Inactivated Virus Non-US Vaccine Product (BIBP, Sinopharm)		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
511	COVID-19 IV Non-US Vaccine (CoronaVac, Sinovac)	SARS-COV-2 COVID-19 Inactivated Virus Non-US Vaccine Product (CoronaVac,Sinovac)		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
502	COVID-19 IV Non-US Vaccine (COVAXIN)	SARS-COV-2 COVID-19 Inactivated Virus Non-US Vaccine Product (COVAXIN)		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20251126	CVX
