View Name	View Description	View Version	Status Date
All Value Sets	All the value sets in PHIN VADS. 	7	05/16/2011 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Abnormal Chest X-ray Condition Status	PHVS_XRayBasedPatientCondition_NND	2.16.840.1.114222.4.11.1060	1	Patient's condition based on abnormal Chest X-ray results	Published	10/22/2008	Initial Load VADS 3.0
Abnormal Chest X-Ray Finding (TB)	PHVS_AbnormalChestXRayFinding_TB	2.16.840.1.114222.4.11.957	1	Indicates whether any of the x-rays done at any time during this episode of tuberculosis showed a cavity or cavities, was noncavitary consistent with tuberculosis, or was noncavitary inconsistent with tuberculosis. 	Published	10/22/2008	Initial Load VADS 3.0
Abnormal Flag (HL7 27)	PHVS_AbnormalFlag_HL7_27	2.16.840.1.114222.4.11.3343	1	Abnormal Flag (HL7 Version 2.7). Few concepts were added for HL7 v2.7	Published	08/13/2010	Updated value set based on HL7 2.7 Abnormal Flag code system.
Abnormal Flag (HL7)	PHVS_AbnormalFlag_HL7_2x	2.16.840.1.114222.4.11.800	1	HL7 version 2.5 User-Defined Table 0078 Abnormal Flags used for laboratory result interpretation	Published	10/22/2008	Initial Load VADS 3.0
Accept Application Acknowledgment Conditions (HL7)	PHVS_AcceptApplicationAcknowledgmentConditions_HL7	2.16.840.1.114222.4.11.3344	1	Accept Application Acknowledgment Conditions (HL7) based on HL7 2.5 table 0155.	Published	12/12/2017	Based on HL7 v2.5
Acknowledgment Code (HL7)	PHVS_AcknowledgmentCode_HL7_2x	2.16.840.1.114222.4.11.958	1	Acknowledgment code indicating receipt of message.  (See message processing rules.  Refer to HL7 Table 0008 - Acknowledgment code for valid values.)  Null flavors are not allowed.	Published	10/22/2008	Initial Load VADS 3.0
Acute Convalescent IgG Difference (VPD)	PHVS_AcuteConvalescentIgGDiff_VPD	2.16.840.1.114222.4.11.3119	1	Answer list of interpretative results of the difference between the values for the acute and convalescent IgG tests	Published	10/22/2008	Initial Load VADS 3.0
Acute Illness Complications (Pediatric Flu)	PHVS_AcuteIllnessComplications_PediatricFlu	2.16.840.1.114222.4.11.3268	1	Listing of complications as related to the condition/illness	Published	10/29/2009	Acute Illness Complications (Pediatric Flu)
Additional Site of Disease (TB)	PHVS_AdditionalDiseaseSite_TB	2.16.840.1.114222.4.11.959	1	Other body sites where Tuberculosis found	Published	10/22/2008	Initial Load VADS 3.0
Address Type	PHVS_AddressType_CDC	2.16.840.1.114222.4.11.961	1	HL7 version 2.5 Table 0190 Address Type codes.  Information regarding the type of address being passed in the message (e.g., Mailing, Home, Business).	Published	10/22/2008	Initial Load VADS 3.0
Address Type (HL7)	PHVS_AddressType_HL7_2x	2.16.840.1.114222.4.11.801	1	Address Type	Published	06/04/2018	Initial Load VADS 3.0
Administration Device (HL7)	PHVS_AdministrationDevice_HL7_2x	2.16.840.1.114222.4.11.802	1	HL7 version 2.5 Table 0164 Administration Device codes used for Substance Administration	Published	10/22/2008	Initial Load VADS 3.0
Administration Method (HL7)	PHVS_AdministrationMethod_HL7_2x	2.16.840.1.114222.4.11.803	1	HL7 version 2.5 Table 0165 Administration Method codes used for Substance Administration	Published	10/22/2008	Initial Load VADS 3.0
Administrative Gender (HL7 V3)	PHVS_AdministrativeGender_HL7_V3	2.16.840.1.113883.1.11.1	1	Administrative Gender based upon HL7 V3 vocabulary. This value set contains only male, female and undifferentiated concepts.	Published	02/23/2019	CDA Public Health Case Report New Value Set
