View Name	View Description	View Version	Status Date
Binational Infectious Disease Surveillance (BIDS) Enteric Case Notification	Value Sets associated with Binational Infectious Disease Surveillance (BIDS) Enteric Message Mapping Guide	2	12/13/2013 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Binational Reporting Criteria (BIDS)	PHVS_BinationalReportingCriteria_BIDS	2.16.840.1.114222.4.11.7166	1	Defines criteria for Binational Reporting	Published	11/08/2013	Initial Import for : 13DD9F94-7248-E311-8CC9-0017A477041A
Campylobacter Nonculture Test Type (BIDS)	PHVS_CampylobacterNoncultureTestType_BIDS	2.16.840.1.114222.4.11.7174	1	Defines Campylobacter Nonculture Test Types of interest	Published	11/08/2013	Initial Import for : 1379CBC1-7348-E311-8CC9-0017A477041A
Campylobacter Species (BIDS)	PHVS_CampylobacterSpecies_BIDS	2.16.840.1.114222.4.11.7173	1	Defines Campylobacter Culture Isolation Species of interest	Published	11/08/2013	Initial Import for : C3566E91-7348-E311-8CC9-0017A477041A
Case Transmission Mode (BIDS)	PHVS_CaseTransmissionMode_BIDS	2.16.840.1.114222.4.11.7167	1	Defines if there is an Outbreak, how was it transmitted	Published	11/08/2013	Initial Import for : 5337C1BA-7248-E311-8CC9-0017A477041A
E. coli Culture Isolate Id Serotype (BIDS)	PHVS_EcoliCultureIsolateIdSerotype_BIDS	2.16.840.1.114222.4.11.7175	1	Defines E. coli Culture Isolate Serotypes of interest	Published	11/08/2013	Initial Import for : A34CBB22-7448-E311-8CC9-0017A477041A
E. coli Shiga Toxin (BIDS)	PHVS_EcoliShigaToxin_BIDS	2.16.840.1.114222.4.11.7178	1	Defines E. coli Shiga Toxins of interest	Published	11/08/2013	Initial Import for : 73EA918D-7448-E311-8CC9-0017A477041A
E. coli Shiga Toxin Test Type (BIDS)	PHVS_EcoliShigaToxinTestType_BIDS	2.16.840.1.114222.4.11.7177	1	Defines E. coli Shiga Toxin Test Types of interest	Published	11/08/2013	Initial Import for : 1302276E-7448-E311-8CC9-0017A477041A
Listeria Culture Species (BIDS)	PHVS_ListeriaCultureSpecies_BIDS	2.16.840.1.114222.4.11.7183	1	Defines Listeria Culture Species of interest	Published	11/08/2013	Initial Import for : 63F8653D-7548-E311-8CC9-0017A477041A
Mexican Health Jurisdictions (BIDS)	PHVS_MexicanHealthJurisdictions_BIDS	2.16.840.1.114222.4.11.7159	1	Defines Mexican Health Jurisdictions	Published	11/07/2013	Initial Import for : 53422B33-EA47-E311-8CC9-0017A477041A
Notifiable Event Disease Condition (BIDS)	PHVS_NotifiableEventDiseaseCondition_BIDS	2.16.840.1.114222.4.11.7168	1	Defines the Notifiable Event Disease Condition for this investigation	Published	11/08/2013	Initial Import for : 93C76EDD-7248-E311-8CC9-0017A477041A
PHIN Questions (BIDS)	PHVS_PHINQuestions_BIDS	2.16.840.1.114222.4.11.7213	1	Data elements associated with the Binational Infectious Disease Surveillance (BIDS) Enteric Message Mapping Guide	Published	12/02/2013	Initial Import for : 5D07F96F-D34B-E311-8CC9-0017A477041A
Salmonella Serogroup (BIDS)	PHVS_SalmonellaSerogroup_BIDS	2.16.840.1.114222.4.11.7171	1	Defines Salmonella Serogroups of interest	Published	11/08/2013	Initial Import for : 571B4246-7348-E311-8CC9-0017A477041A
Shigella Serogroup (BIDS)	PHVS_ShigellaSerogroup_BIDS	2.16.840.1.114222.4.11.7172	1	Defines Shigella Serogroups of interest	Published	11/08/2013	Initial Import for : 532B086B-7348-E311-8CC9-0017A477041A
Specimen Site (BIDS)	PHVS_SpecimenSite_BIDS	2.16.840.1.114222.4.11.7170	1	Defines a limited set of Specimen Sites	Published	11/08/2013	Initial Import for : 63ED9B28-7348-E311-8CC9-0017A477041A
STEC Nonculture Test Type (BIDS)	PHVS_STECNoncultureTestType_BIDS	2.16.840.1.114222.4.11.7176	1	Defines STEC Nonculture Test Types of interest	Published	11/08/2013	Initial Import for : 683F5747-7448-E311-8CC9-0017A477041A
US Mexico States (BIDS)	PHVS_USMexicoStates_BIDS	2.16.840.1.114222.4.11.7169	1	Defines US Mexico States	Published	11/08/2013	Initial Import for : B3253502-7348-E311-8CC9-0017A477041A
Vibrio Biotype (BIDS)	PHVS_VibrioBiotype_BIDS	2.16.840.1.114222.4.11.7181	1	Defines Vibrio Biotypes of interest	Published	11/08/2013	Initial Import for : B30837F3-7448-E311-8CC9-0017A477041A
Vibrio Cholera Toxin Test Type (BIDS)	PHVS_VibrioCholeraToxinTestType_BIDS	2.16.840.1.114222.4.11.7182	1	Defines Vibrio Cholera Toxin Test Types of interest	Published	11/08/2013	Initial Import for : 53084414-7548-E311-8CC9-0017A477041A
Vibrio Culture Species (BIDS)	PHVS_VibrioCultureSpecies_BIDS	2.16.840.1.114222.4.11.7179	1	Defines Vibrio Culture Species of interest	Published	11/08/2013	Initial Import for : 833E62B3-7448-E311-8CC9-0017A477041A
Vibrio Serotype (BIDS)	PHVS_VibrioSerotype_BIDS	2.16.840.1.114222.4.11.7180	1	Defines Vibrio Serotypes of interest	Published	11/08/2013	Initial Import for : B3C091D1-7448-E311-8CC9-0017A477041A
