View Name	View Description	View Version	Status Date
BioSense	Value sets associated with BioSense HL7 2.5.1 Messaging Guide	6	12/11/2010 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Abnormal Flag (HL7)	PHVS_AbnormalFlag_HL7_2x	2.16.840.1.114222.4.11.800	1	HL7 version 2.5 User-Defined Table 0078 Abnormal Flags used for laboratory result interpretation	Published	10/22/2008	Initial Load VADS 3.0
Administrative Sex (HL7)	PHVS_AdministrativeSex_HL7_2x	2.16.840.1.114222.4.11.927	1	HL7 version 2.5 User-Defined Table 0001 Administrative sex code	Published	10/22/2008	Initial Load VADS 3.0
Admission Level of Care (HL7)	PHVS_AdmissionLevelOfCareCode_HL7_2x	2.16.840.1.114222.4.11.912	1	HL7 version 2.5 User-Defined Table 0432 Admission Level of Care codes used in ADT messages	Published	10/22/2008	Initial Load VADS 3.0
Admission Source (HL7)	PHVS_AdmitSource_HL7_2x	2.16.840.1.114222.4.11.918	1	A user defined set of codes that can be used to indicate from where the patient came in.	Published	04/25/2019	Initial Load VADS 3.0
Admission Type (HL7)	PHVS_AdmissionType_HL7_2x	2.16.840.1.114222.4.11.913	1	HL7 version 2.5 User-Defined Table 0007 Admit Type codes used in ADT messages	Published	10/22/2008	Initial Load VADS 3.0
Age unit	PHVS_AgeUnit_UCUM	2.16.840.1.114222.4.11.878	1	Units of measure for age	Published	08/20/2015	Initial Load VADS 3.0
BioSense Observations	PHVS_BioSenseRTObservations_CDC	2.16.840.1.114222.4.11.954	1	Value set for observations used for BioSense RT	Published	10/22/2008	Initial Load VADS 3.0
Blood Pressure Unit	PHVS_BloodPressureUnit_UCUM	2.16.840.1.114222.4.11.920	1	Units of measure for Blood Pressure	Published	10/22/2008	Initial Load VADS 3.0
Body site	PHVS_BodySite_CDC	2.16.840.1.114222.4.11.967	5	Body site from which specimen taken or where disease or injury occurs. This is based on the SNOMED hierarchy (Anatomical Structure - 91723000) .	Published	09/01/2020	Update based on July 31st 2010 SNOMED Version
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	1	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	Initial Load VADS 3.0
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	1	Codes representing county of origin, address county, reporting county. 	Published	01/17/2024	Initial Load VADS 3.0
Diagnosis (ICD-9 CM)	PHVS_AdministrativeDiagnosis_CDC_ICD-9CM	2.16.840.1.114222.4.11.856	3	ICD-9 CM Administrative Diagnosis Codes used for billing purposes, Reason for Study, DG1 Diagnosis segments Keyword: ICD-9 Vol 1 & 2.	Published	08/16/2010	Update based upon ICD-9 CM FY 2011 (Effective Oct 1st 2010)
Diagnosis Priority (HL7)	PHVS_DiagnosisPriority_HL7_2x	2.16.840.1.114222.4.11.914	1	The number from HL7 Table 0359 - Diagnosis Priority that identifies the significance or priority of the diagnosis code, with 1 being the Primary diagnosis, etc.	Published	10/22/2008	Initial Load VADS 3.0
Diagnosis Type (HL7)	PHVS_DiagnosisType_HL7_2x	2.16.840.1.114222.4.11.827	1	A code from HL7 2.5 User-defined Table 0052 - Diagnosis Type that identifies the type of diagnosis being sent (Admitting, Working, Final).	Published	10/22/2008	Initial Load VADS 3.0
