View Name	View Description	View Version	Status Date
COVID-19 Case Notification	Value Sets associated with COVID-19 Case Notification Message Mapping Guide.	17	03/28/2024 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Animal Type (COVID-19)	PHVS_AnimalType_COVID-19	2.16.840.1.114222.4.11.7946	1	The type or species of animal with confirmed or suspected COVID-19.	Published	05/27/2020	v1
Case Probable Reason (COVID-19)	PHVS_CaseProbableReason_COVID-19	2.16.840.1.114222.4.11.7937	1	Rationale for classifying a case as probable	Published	05/27/2020	V1
Clinical Finding (COVID-19)	PHVS_ClinicalFinding_COVID-19	2.16.840.1.114222.4.11.7945	1	Clinical finding associated with COVID-19.	Published	05/27/2020	v1
Contact Type (COVID-19)	PHVS_ContactType_COVID-19	2.16.840.1.114222.4.11.7936	1	Type of contact if the contact was with a known COVID-19 case	Published	05/27/2020	V1
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	6	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	v6: Based on ISO 3166-1 standard as of 12/01/2019
Critical Infrastructure Sector (NND)	PHVS_CriticalInfrastructureSector_NND	2.16.840.1.114222.4.11.7953	1	Critical infrastructure sectors identified by the Cybersecurity and Infrastructure Security Agency (CISA) .	Published	06/21/2020	v1
Data Reporting Source (COVID-19)	PHVS_DataReportingSource_COVID-19	2.16.840.1.114222.4.11.7943	1	Sources used to collect information for COVID-19.	Published	05/27/2020	v1
Detection Method (COVID-19)	PHVS_DetectionMethod_COVID-19	2.16.840.1.114222.4.11.7938	2	Process by which the case first identified.	Published	05/27/2020	Added autospy
Exposure Setting (COVID-19)	PHVS_ExposureSetting_COVID-19	2.16.840.1.114222.4.11.7942	2	Exposure setting.	Published	06/20/2020	Added child day care center
Healthcare Occupation (COVID-19)	PHVS_HealthcareOccupation_COVID-19	2.16.840.1.114222.4.11.7940	2	Type of healthcare occupation.	Published	06/19/2020	v2
Industry CDC Census 2010	PHVS_Industry_CDC_Census2010	2.16.840.1.114222.4.11.7187	1	2010 Industry coding system used by CDC (NIOSH & NCHS) for coding industry text.  Industry describes an economic/business sector comprised of businesses/ enterprises concerned with the output of a specified category of products or services (e.g., the construction industry or the agriculture industry).  This industry code system includes  2007 U.S. Census Bureau industry codes  and  three additional codes developed by CDC for unpaid workers.  The 2010 Census industry categories  are based on the 2007 North American Industry Classification System (NAICS).  The PH_Occupation_CDC_Census2010  code system should be used in conjunction with this industry code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	Initial Import for : 981F6E94-1A0C-E311-81F2-0017A477041A
Job Setting (COVID-19)	PHVS_JobSetting_COVID-19	2.16.840.1.114222.4.11.7941	1	Types of workplace settings for healthcare personnel.	Published	05/27/2020	V1
Lab Test Interpretation (VPD)	PHVS_LabTestInterpretation_VPD	2.16.840.1.114222.4.11.3301	7	Epidemiologic interpretation of the results of the tests performed for Vaccine Preventable Disease (VPD).	Published	02/17/2022	v7: Updated the DEPRECATED SNOMED codes for Alpha, Beta and Gamma variants and updated PLR codes for SARS-CoV-2 variants to replace those codes.  Added two new codes for Delta and Omicron variants.
Lab Test Type (COVID-19)	PHVS_LabTestType_COVID-19	2.16.840.1.114222.4.11.7948	9	Epidemiologic interpretation of the type of test(s) performed for this case. Used in COVID-19 MMG.	Published	09/14/2021	Updated to include SARS-CoV-2 N IgG SerPl Ql IA, SARS-CoV-2 S IgG SerPl Ql IA, SARS-CoV-2 IFN-g Bld-Imp
Language	PHVS_Language_ISO_639-2_Alpha3	2.16.840.1.114222.4.11.831	3	Primary spoken language	Published	06/21/2020	Added "Other language" concept  to represent coded and non coded languages not included in this value set. 
Manufacturers of vaccines (MVX)	PHVS_ManufacturersOfVaccinesMVX_CDC_NIP	2.16.840.1.114222.4.11.826	16	The CDC's National Immunization Program (NIP) maintains the HL7 external code set MVX. HL7 version 2.x Manufacturers of vaccines (code=MVX) used in chapter(s) 4. 	Published	07/19/2023	v16: Based on 11/1/22 update of MVX code system
Occupation CDC Census 2010	PHVS_Occupation_CDC_Census2010	2.16.840.1.114222.4.11.7186	1	2010 Occupation coding system used by CDC (NIOSH & NCHS) for coding occupation text.  Occupation describes a set of activities or tasks that individuals are paid to perform or, if unpaid, define a person’s contribution to a household/family business/community.  This code system includes  2010 U.S. Census Bureau occupation codes with modifications made by CDC for unpaid workers and military occupations.  The 2010 Census occupation categories  are based on the 2010 BLS Standard Occupational Classification (SOC) system.  The PH_Industry_CDC_Census2010  code system should be used in conjunction with this occupation code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	v1
Performing Laboratory Type (VPD)	PHVS_PerformingLaboratoryType_VPD	2.16.840.1.114222.4.11.7330	1	Type of laboratory performing lab tests.	Published	07/08/2020	Initial version
Pregnancy Trimester	PHVS_PregnancyTrimester_CDC	2.16.840.1.114222.4.11.1026	2	Although HL7 Table 0038 - Order status contains many of the same values contained in HL7 Table 0119 -	Published	10/22/2008	v2
Reason for Test (COVID-19)	PHVS_ReasonForTest_COVID-19	2.16.840.1.114222.4.11.7951	1	Values specifying the reason(s) the patient was tested for COVID-19.	Published	06/21/2020	v1
Residence Type (COVID-19)	PHVS_ResidenceType_COVID-19	2.16.840.1.114222.4.11.7939	1	Type of residence the patient was staying at the time of illness onset.	Published	05/27/2020	v1
Risk Factor (COVID-19)	PHVS_RiskFactor_COVID-19	2.16.840.1.114222.4.11.7947	3	Underlying medical conditions and/or risk behaviors.	Published	09/15/2022	V3: Updated risk factors consistent with 2022 CDC website
Signs and Symptoms (COVID-19)	PHVS_SignsSymptoms_COVID-19	2.16.840.1.114222.4.11.7944	2	Signs and symptoms related to COVID-19.This value set is used to populate OBX-3 Observation Identifier in the message.	Published	08/11/2021	Added new confusion, change in mental status, persistent pressure in chest, pale, gray, or blue-colored skin, lips, or nail beds, depending on skin, inability to wake and inability to stay awake

State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Treatment Type (COVID-19)	PHVS_TreatmentType_COVID-19	2.16.840.1.114222.4.11.7949	2	Type of medical intervention or treatment.	Published	09/14/2022	v2: Added Paxlovid and other treatment options
Tribe Name (NND)	PHVS_TribeName_NND	2.16.840.1.114222.4.11.7952	2	Names of federally recognized tribes. Tribe codes/concepts were extracted from the CDC race and ethnicity code system. If tribe is not represented in this list, use "Other tribe" to specify the tribe. 	Published	03/09/2023	V2: Added 1599-0 Wind River Shoshone
Units of Measure	PHVS_UnitsOfMeasure_CDC	2.16.840.1.114222.4.11.838	5	Units of Measure based on UCUM std which also includes dimension	Published	03/20/2024	V5: Added Cycle threshold value
Vaccine Event Information Source (NND)	PHVS_VaccineEventInformationSource_NND	2.16.840.1.114222.4.11.7450	3	Identifies the source of information for this immunization record or, more generically, whether the immunization being reported has just been administered (new) or came from other records (historical) 	Published	05/29/2019	Added new values: Primary Care Provider and Medical Chart
Vaccine Not Given Reason	PHVS_VaccineNotGivenReasons_CDC	2.16.840.1.114222.4.11.931	3	Reasons vaccine was not given	Published	01/29/2021	Added new concept "Vaccine not available"
Vaccine Type (NND)	PHVS_VaccineType_NND	2.16.840.1.114222.4.11.7448	13	Type of vaccine administered for the condition being reported.	Published	10/11/2023	V13: Added 6 new COVID vaccines and 2 RSV codes: COVID-19, mRNA, LNP-S, PF, tris-sucrose, 30 mcg/0.3 mL, COVID-19, mRNA, LNP-S, PF, tris-sucrose, 3 mcg/0.3 mL, COVID-19, mRNA, LNP-S, PF, tris-sucrose, 10 mcg/0.3 mL, COVID-19, mRNA, LNP-S, PF, 25 mcg/0.25 mL, COVID-19, mRNA, LNP-S, PF, 50 mcg/0.5 mL COVID-19, subunit, rS-nanoparticle, adjuvanted, PF, 5 mcg/0.5 mL, Respiratory syncytial virus (RSV) vaccine, unspecified, and Respiratory syncytial virus (RSV) monoclonal antibody (MAB), unspecified
VPD Specimen Type	SpecimenTypeVPD	2.16.840.1.114222.4.11.7104	6	speicmen type terms used for VPD project.	Published	06/20/2020	Added Dried blood specimen and Respiratory specimen.
Yes No Unknown (YNU)	PHVS_YesNoUnknown_CDC	2.16.840.1.114222.4.11.888	1	Value set used to respond to any question that can be answered Yes, No, or Unknown.	Published	10/22/2008	Initial Load VADS 3.0
Yes No Unknown NA (NND)	PHVS_YesNoUnkNA_NND	2.16.840.1.114222.4.11.7950	1	Value set used to respond to any question that can be answered Yes, No, Unknown, and not applicable.	Published	06/20/2020	v1
