View Name	View Description	View Version	Status Date
CRA Other Treatment	Vocabulary for the PHIN Countermeasure Administration Other Treatment message that is available in the PHIN Historical Archives.	1	11/10/2008 11:47:06

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Address Type	PHVS_AddressType_CDC	2.16.840.1.114222.4.11.961	1	HL7 version 2.5 Table 0190 Address Type codes.  Information regarding the type of address being passed in the message (e.g., Mailing, Home, Business).	Published	10/22/2008	Initial Load VADS 3.0
Administrative Sex (HL7)	PHVS_AdministrativeSex_HL7_2x	2.16.840.1.114222.4.11.927	1	HL7 version 2.5 User-Defined Table 0001 Administrative sex code	Published	10/22/2008	Initial Load VADS 3.0
Adverse Event Previously Reported	PHVS_AdverseEventPreviouslyReported_CDC	2.16.840.1.114222.4.11.964	1	Indicates whether Adverse Event previously reporting, and to whom (Manufacturer, Health Department, Doctor)	Published	10/22/2008	Initial Load VADS 3.0
Consequence of Adverse Event	PHVS_AdverseEventConsequence_CDC	2.16.840.1.114222.4.11.963	1	Adverse event consequence [adapted from HL7-defined Table 0240]	Published	10/22/2008	Initial Load VADS 3.0
Contact Role	PHVS_ContactRole_CDC	2.16.840.1.114222.4.11.977	1	Role played by the contact person	Published	10/22/2008	Initial Load VADS 3.0
Countermeasure Encounter Purpose	PHVS_EncounterPurpose_CRA	2.16.840.1.114222.4.11.988	1	List of Countermeasure Response Administration encounter reasons	Published	10/22/2008	Initial Load VADS 3.0
Countermeasure Encounter Type	PHVS_EncounterType_CRA	2.16.840.1.114222.4.11.989	1	List of Countermeasure Response Administration encounter types	Published	10/22/2008	Initial Load VADS 3.0
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	1	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	Initial Load VADS 3.0
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	1	Codes representing county of origin, address county, reporting county. 	Published	01/17/2024	Initial Load VADS 3.0
Degree License Certification (HL7)	PHVS_DegreeLicenseCertificate_HL7_2x	2.16.840.1.114222.4.11.808	1	The standard classification awarded upon completion of a unified program of study.  HL7 2.5 User-defined Table 0360 - Degree.	Published	10/22/2008	Initial Load VADS 3.0
Ethnicity group	PHVS_EthnicityGroup_CDC	2.16.840.1.114222.4.11.837	1	Whether the patient is hispanic or not	Published	10/22/2008	Initial Load VADS 3.0
History Source (CRA)	PHVS_HistorySource_CRA	2.16.840.1.114222.4.11.996	1	CRA-specific source of medical history	Published	10/22/2008	Initial Load VADS 3.0
Identifier Type	PHVS_IdentifierType_CDC	2.16.840.1.114222.4.11.999	1	Identifier type codes.  Builds on HL7 Table 0203 Identifier Type	Published	10/22/2008	Initial Load VADS 3.0
Language	PHVS_Language_ISO_639-2_Alpha3	2.16.840.1.114222.4.11.831	1	Primary spoken language	Published	06/21/2020	Initial Load VADS 3.0
Marital Status (HL7)	PHVS_MaritalStatus_HL7_2x	2.16.840.1.114222.4.11.809	1	HL7 Table 0002 Marital Status codes	Published	10/22/2008	Initial Load VADS 3.0
Name Type (HL7)	PHVS_NameType_HL7_2x	2.16.840.1.114222.4.11.810	1	HL7 table 0200 contains types of person names, including Maiden and Alias.	Published	08/31/2011	Initial Load VADS 3.0
Observation Result Status (HL7)	PHVS_ObservationResultStatus_HL7_2x	2.16.840.1.114222.4.11.811	1	The status of the observation. This field is required when the OBX segment is contained in a message.  Uses HL7 2.5 Table 0085-Observation Result Status.	Published	10/22/2008	Initial Load VADS 3.0
Previous Vaccine History	PHVS_PreviousVaccinationHistory_CDC	2.16.840.1.114222.4.11.1027	1	Order control codes and their meaning, the purpose is different. Order status may typically be used in a	Published	10/22/2008	Initial Load VADS 3.0
Production Class (HL7)	PHVS_ProductionClass_HL7_2x	2.16.840.1.114222.4.11.812	1	User-defined table 0429 contains the code and description that indicates the primary use for which the living subject was bred or grown.	Published	10/22/2008	Initial Load VADS 3.0
Race Category	PHVS_RaceCategory_CDC	2.16.840.1.114222.4.11.836	1	General race category reported by the patient - subject may have more than one	Published	10/22/2008	Initial Load VADS 3.0
Relationship (HL7)	PHVS_Relationship_HL7_2x	2.16.840.1.114222.4.11.813	1	Relationship codes as specified by HL7.
v2: Added 'Household' concept	Published	08/12/2015	Initial Load VADS 3.0
Religion (HL7)	PHVS_Religion_HL7_2x	2.16.840.1.114222.4.11.814	1	User-defined table 0006 contains a list of religions.	Published	10/22/2008	Initial Load VADS 3.0
