View Name	View Description	View Version	Status Date
CRA Substance Administration	Vocabulary for the PHIN Countermeasure Response Substance Administration Message that is available in the Historical Archives.	4	03/16/2010 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Address Type	PHVS_AddressType_CDC	2.16.840.1.114222.4.11.961	1	HL7 version 2.5 Table 0190 Address Type codes.  Information regarding the type of address being passed in the message (e.g., Mailing, Home, Business).	Published	10/22/2008	Initial Load VADS 3.0
Administration Device (HL7)	PHVS_AdministrationDevice_HL7_2x	2.16.840.1.114222.4.11.802	1	HL7 version 2.5 Table 0164 Administration Device codes used for Substance Administration	Published	10/22/2008	Initial Load VADS 3.0
Administration Method (HL7)	PHVS_AdministrationMethod_HL7_2x	2.16.840.1.114222.4.11.803	1	HL7 version 2.5 Table 0165 Administration Method codes used for Substance Administration	Published	10/22/2008	Initial Load VADS 3.0
Administrative Sex (HL7)	PHVS_AdministrativeSex_HL7_2x	2.16.840.1.114222.4.11.927	1	HL7 version 2.5 User-Defined Table 0001 Administrative sex code	Published	10/22/2008	Initial Load VADS 3.0
Allergen	PHVS_Allergen_CDC	2.16.840.1.114222.4.11.834	4	List of specific drug, food and environmental allergens (e.g. Peanut, Penicillin, Pollen)	Published	10/22/2008	SNOMED Update 01/31/2010
Allergen Type (HL7)	PHVS_AllergenType_HL7_2x	2.16.840.1.114222.4.11.806	1	HL7 version 2.5 User-Defined Table 0127 Allergen Type codes	Published	10/22/2008	Initial Load VADS 3.0
Allergy Severity (HL7)	PHVS_AllergySeverity_HL7_2x	2.16.840.1.114222.4.11.807	1	HL7 version 2.5 User-Defined Table 0128 Allergy Severity codes	Published	10/22/2008	Initial Load VADS 3.0
Body site	PHVS_BodySite_CDC	2.16.840.1.114222.4.11.967	4	Body site from which specimen taken or where disease or injury occurs. This is based on the SNOMED hierarchy (Anatomical Structure - 91723000).	Published	09/05/2025	SNOMED Update 01/31/2010
Consequence of Adverse Event	PHVS_AdverseEventConsequence_CDC	2.16.840.1.114222.4.11.963	1	Adverse event consequence [adapted from HL7-defined Table 0240]	Published	10/22/2008	Initial Load VADS 3.0
Countermeasure Encounter Type	PHVS_EncounterType_CRA	2.16.840.1.114222.4.11.989	1	List of Countermeasure Response Administration encounter types	Published	10/22/2008	Initial Load VADS 3.0
