View Name	View Description	View Version	Status Date
Carbon Monoxide (CO) Poisoning Case Notification	List of value sets for the set of coded data elements used to communicate information to meet the requirements for Carbon Monoxide (CO) Poisoning Case Notifications to CDC.	2	03/28/2024 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Data Reporting Source  (CO)	PHVS_DataReportingSource_CO	2.16.840.1.114222.4.11.7891	2	This value set is to identify the facility reporting the data or the data source for case ascertainment. 	Published	10/30/2019	Updated value set to add Worker's Compensation Record.
Education (CO)	PHVS_Education_CO	2.16.840.1.114222.4.11.7880	1	This value set is to Indicate the highest degree or level of of school completed at the time of the carbon monoxide event.	Published	03/06/2019	This value set is to Indicate the highest degree or level of of school completed at the time of the carbon monoxide event.
Exposure Site Category (CO)	PHVS_ExposureSiteCategory_CO	2.16.840.1.114222.4.11.7884	3	This value set is to categorize the location of the carbon monoxide exposure.	Published	02/15/2022	Added ' Work site' and updated preferred names for Industrial and Public site.
Exposure Source (CO)	PHVS_ExposureSource_CO	2.16.840.1.114222.4.11.7878	3	This value set is to identify If the patient was physically and temporally associated with a CO-emitting source, specify the source.	Published	03/15/2019	v3
Extreme Weather Type (CO)	PHVS_ExtremeWeatherType_CO	2.16.840.1.114222.4.11.7877	4	This value set is to identify the extreme weather event occurring when the patient was exposed to carbon monoxide.	Published	07/05/2022	Updated Preferred Names for Severe cold and Severe heat concepts
Generator Distance (CO)	PHVS_GeneratorDistance_CO	2.16.840.1.114222.4.11.7882	3	This value set is to determined how far, in feet,  the generator was placed from the (house/attached garage/detached garage or other location of event)?	Published	05/23/2019	Updated sequence of value set. 
Generator Location (CO)	PHVS_GeneratorLocation_CO	2.16.840.1.114222.4.11.7881	4	This value set is to determine if the exposure source was a generator, where was it placed while it was running?	Published	11/20/2019	v4: Added concept "unknown" to the value set.

ICD Codes List (CO)	PHVS_ICDCodesList_CO	2.16.840.1.114222.4.11.7889	3	This value set provides a list of ICD-10 and ICD-10 CM codes related to the carbon monoxide exposure or poisoning.
	Published	11/26/2019	v3: Added Concept Code T58 back per the program.
