View Name	View Description	View Version	Status Date
Electronic Laboratory Reporting (ELR) to Public Health - HL7 Version 2.5.1	Electronic Laboratory Reporting (ELR) to Public Health - HL7 Version 2.5.1. This implementation guide has been referenced in the Stage 1 Meaningful Use (MU) measure for Population Health.	8	10/11/2012 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Abnormal Flag (HL7 27)	PHVS_AbnormalFlag_HL7_27	2.16.840.1.114222.4.11.3343	1	Abnormal Flag (HL7 Version 2.7). Few concepts were added for HL7 v2.7	Published	08/13/2010	Updated value set based on HL7 2.7 Abnormal Flag code system.
Accept Application Acknowledgment Conditions (HL7)	PHVS_AcceptApplicationAcknowledgmentConditions_HL7	2.16.840.1.114222.4.11.3344	1	Accept Application Acknowledgment Conditions (HL7) based on HL7 2.5 table 0155.	Published	12/12/2017	Based on HL7 v2.5
Acknowledgment Code (HL7)	PHVS_AcknowledgmentCode_HL7_2x	2.16.840.1.114222.4.11.958	1	Acknowledgment code indicating receipt of message.  (See message processing rules.  Refer to HL7 Table 0008 - Acknowledgment code for valid values.)  Null flavors are not allowed.	Published	10/22/2008	Initial Load VADS 3.0
Address Type (HL7)	PHVS_AddressType_HL7_2x	2.16.840.1.114222.4.11.801	1	Address Type	Published	06/04/2018	Initial Load VADS 3.0
Administrative Sex (HL7)	PHVS_AdministrativeSex_HL7_2x	2.16.840.1.114222.4.11.927	1	HL7 version 2.5 User-Defined Table 0001 Administrative sex code	Published	10/22/2008	Initial Load VADS 3.0
Admission Level of Care (HL7)	PHVS_AdmissionLevelOfCareCode_HL7_2x	2.16.840.1.114222.4.11.912	1	HL7 version 2.5 User-Defined Table 0432 Admission Level of Care codes used in ADT messages	Published	10/22/2008	Initial Load VADS 3.0
Admission Source (HL7)	PHVS_AdmitSource_HL7_2x	2.16.840.1.114222.4.11.918	1	A user defined set of codes that can be used to indicate from where the patient came in.	Published	04/25/2019	Initial Load VADS 3.0
Admission Type (HL7)	PHVS_AdmissionType_HL7_2x	2.16.840.1.114222.4.11.913	1	HL7 version 2.5 User-Defined Table 0007 Admit Type codes used in ADT messages	Published	10/22/2008	Initial Load VADS 3.0
Alternate Character Set Handling Scheme (HL7)	PHVS_AlternateCharacterSetHandlingScheme_HL7_2x	2.16.840.1.114222.4.11.3350	1	HL7 version 2.x Alternate character set handling scheme used in chapter(s) 2; HL7 table 0356	Published	08/14/2010	HL7 v2.5
Alternate Character Sets (HL7)	PHVS_AlternateCharacterSets_HL7_2x	2.16.840.1.114222.4.11.3347	1	HL7 version 2.x Alternate character sets used in chapter(s) 2; HL7 table 0211	Published	08/14/2010	HL7 v2.5
Animal	PHVS_Animal_CDC	2.16.840.1.114222.4.11.1074	5	Animal Keyword: Animal Type based on SNOMED domain (387961004)	Published	08/14/2010	Update based on July 31st, 2010 SNOMED version
Authorization Mode (HL7)	PHVS_AuthorizationMode_HL7_2x	2.16.840.1.114222.4.11.3355	1	HL7 version 2.x Authorization Mode used in chapter(s) 4; HL7 table 0483	Published	08/14/2010	HL7 v2.5
Birth Country	PHVS_BirthCountry_CDC	2.16.840.1.114222.4.11.3200	1	Country of Birth value set includes current countries as well as historical countries (eg. USSR). This value set is based upon ISO 3166-1, Alpha-3 codes (current countries), ISO 3166-3 (retired countries) and FIPS 10-4 (US Territories, Countries that are not found in ISO 3166)	Published	12/10/2019	CDA Public Health Case Report New Value Set
Body Site Value Set	PHVS_BodySite_HITSP	2.16.840.1.113883.3.88.12.3221.8.9	3	Contains values descending from the SNOMED CT® Anatomical Structure (91723000) hierarchy or Acquired body structure (body structure) (280115004) or Anatomical site notations for tumor staging (body structure) (258331007) or Body structure, altered from its original anatomical structure (morphologic abnormality) (118956008) or Physical anatomical entity (body structure) (91722005) This indicates the anatomical site.	Published	01/15/2015	Initial Import for : 075E48CA-166B-DE11-9B52-0015173D1785
Check Digit Scheme (HL7)	PHVS_CheckDigitScheme_HL7_2x	2.16.840.1.114222.4.11.3339	1	HL7 version 2.x Check digit scheme used in chapter(s) 2; HL7 table 061	Published	08/08/2010	Initial Import for Check Digit Scheme
