View Name	View Description	View Version	Status Date
FDD Case Notification	The vocabulary used for FDD Case Notification messages to CDC.	8	03/28/2024 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Animal Type (FDD)	PHVS_AnimalType_FDD	2.16.840.1.114222.4.11.3072	3	Animal contact answer list for Foodborne and Diarrheal Diseases	Published	10/22/2008	v3
Antacids (FDD)	PHVS_Antacids_FDD	2.16.840.1.114222.4.11.7620	1	Antacids answer list for FDD MMG	Published	11/16/2017	Antacids answer list for FDD MMG
Antibiotics (FDD)	PHVS_Antibiotics_FDD	2.16.840.1.114222.4.11.7619	5	Antibiotics answer list	Published	08/05/2018	Updated to include Cefepime, Ciprodex, Clindamycin, Rocephin, Sulfamethoxazole, Vancomycin, and Zosyn. 
Condition Status (FDD)	PHVS_ConditionStatus_FDD	2.16.840.1.114222.4.11.7779	2	Patient's outcome following illness	Published	01/27/2020	Removed "patient recovered" and added "patient alive".
Contact Type (FDD)	PHVS_ContactType_FDD	2.16.840.1.114222.4.11.7851	1	Contact type answer list	Published	10/19/2018	v1
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	6	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	v6: Based on ISO 3166-1 standard as of 12/01/2019
Day Care Setting (FDD)	PHVS_DayCareSetting_FDD	2.16.840.1.114222.4.11.7633	1	Day care setting for FDD MMG	Published	11/16/2017	Day care setting for FDD MMG
Drinking Water (FDD)	PHVS_DrinkingWater_FDD	2.16.840.1.114222.4.11.7630	1	Drinking water answer list	Published	11/16/2017	Drinking water answer list
Fresh Berries (FDD)	PHVS_FreshBerries_FDD	2.16.840.1.114222.4.11.3085	2	Fresh berries consumed answer list	Published	10/19/2018	v2-- Added additional values to the value set
Fresh Herbs (FDD)	PHVS_FreshHerbs_FDD	2.16.840.1.114222.4.11.3086	2	Fresh herbs consumed answer list	Published	10/19/2018	v2-- Added additional values to the value set
Fresh Produce (FDD)	PHVS_FreshProduce_FDD	2.16.840.1.114222.4.11.3087	2	Fresh produce consumed answer list	Published	10/19/2018	v2-- Added additional values to the value set
H Antigens (FDD)	PHVS_HAntigen_FDD	2.16.840.1.114222.4.11.7741	1	H antigens for E. coli serotyping.	Published	02/23/2018	v1
Harvest Classification (FDD)	PHVS_HarvestClassification_FDD	2.16.840.1.114222.4.11.7642	1	Harvest classification answer list for FDD MMG	Published	11/16/2017	Harvest classification answer list for FDD MMG
Improper Handling Storage (FDD)	PHVS_ImproperHandlingStorage_FDD	2.16.840.1.114222.4.11.7640	1	Improper handling storage answer list for FDD MMG	Published	11/16/2017	Improper handling storage answer list for FDD MMG
Industry CDC Census 2010	PHVS_Industry_CDC_Census2010	2.16.840.1.114222.4.11.7187	1	2010 Industry coding system used by CDC (NIOSH & NCHS) for coding industry text.  Industry describes an economic/business sector comprised of businesses/ enterprises concerned with the output of a specified category of products or services (e.g., the construction industry or the agriculture industry).  This industry code system includes  2007 U.S. Census Bureau industry codes  and  three additional codes developed by CDC for unpaid workers.  The 2010 Census industry categories  are based on the 2007 North American Industry Classification System (NAICS).  The PH_Occupation_CDC_Census2010  code system should be used in conjunction with this industry code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	Initial Import for : 981F6E94-1A0C-E311-81F2-0017A477041A
Interview Status	PHVS_InterviewStatus_CDC	2.16.840.1.114222.4.11.3089	1	Answer list for status of patient interview for international travel history	Published	10/22/2008	Initial Load VADS 3.0
Lettuce Type (FDD)	PHVS_LettuceType_FDD	2.16.840.1.114222.4.11.3090	2	Type of lettuce consumed answer list	Published	10/19/2018	v2-- Added Additional values to the value set
Medical History (FDD)	PHVS_MedicalHistory_FDD	2.16.840.1.114222.4.11.7636	1	Medical history answer list for FDD MMG	Published	11/16/2017	Medical history answer list for FDD MMG
O Antigen (FDD)		PHVS_OAntigen_FDD	2.16.840.1.114222.4.11.7742	3	O antigens for E. coli serotyping	Published	03/06/2020	Removed PHC1738, PHC1658, PHC1647, PHC1646, PHC1750, PHC1753, PHC1766, PHC1657. Added O17/O77, O28/O42, O50/O2, O118/O151, O153/O178, O13/O135, O17/O44, O123/O186, O169/O183, 458110000, 407226001, 407230003, 407210002, 407181000, 457991003
Occupation CDC Census 2010	PHVS_Occupation_CDC_Census2010	2.16.840.1.114222.4.11.7186	1	2010 Occupation coding system used by CDC (NIOSH & NCHS) for coding occupation text.  Occupation describes a set of activities or tasks that individuals are paid to perform or, if unpaid, define a person’s contribution to a household/family business/community.  This code system includes  2010 U.S. Census Bureau occupation codes with modifications made by CDC for unpaid workers and military occupations.  The 2010 Census occupation categories  are based on the 2010 BLS Standard Occupational Classification (SOC) system.  The PH_Industry_CDC_Census2010  code system should be used in conjunction with this occupation code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	v1
Organism (FDD)	PHVS_Organism_FDD	2.16.840.1.114222.4.11.7617	6	Organism answer list for FDD	Published	03/12/2020	Added, deleted and updated new codes in value set.  
