View Name	View Description	View Version	Status Date
Generic Case Notification MMG - Version 2	Generic Case Notification - v2 MMG vocabulary view provides all the value sets associated with Generic Case Notification Message Mapping Guide version 2.0.	16	01/08/2021 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Age unit	PHVS_AgeUnit_UCUM	2.16.840.1.114222.4.11.878	2	Units of measure for age	Published	08/20/2015	v2
Binational Reporting Criteria	PHVS_BinationalReportingCriteria_CDC	2.16.840.1.114222.4.11.7157	2	For cases meeting the binational criteria, select all the criteria which are met.	Published	05/07/2013	changes based on CSTE Position Statement 13-SI-02
Birth Country	PHVS_BirthCountry_CDC	2.16.840.1.114222.4.11.3200	7	Country of Birth value set includes current countries as well as historical countries (eg. USSR). This value set is based upon ISO 3166-1, Alpha-3 codes (current countries), ISO 3166-3 (retired countries) and FIPS 10-4 (US Territories, Countries that are not found in ISO 3166)	Published	12/10/2019	v7: Updated Retired Countries to reflect latest version of ISO 3166-3
Case Classification Status	PHVS_CaseClassStatus_NND	2.16.840.1.114222.4.11.968	1	Indicates how the Nationally Notifiable Disease case was classified at its close	Published	10/22/2008	Initial Load VADS 3.0
Case Transmission Mode	PHVS_CaseTransmissionMode_NND	2.16.840.1.114222.4.11.3027	2	Codes specifying the mechanism by which disease or condition was acquired.	Published	01/14/2019	v2-- Added Droplet transmission.

City	PHVS_City_USGS_GNIS	2.16.840.1.114222.4.11.973	9	US Geological Survey Geographic Names Information System - location codes	Published	09/15/2020	Value set version 9 updated based U.S. Board on Geographic Names (USGS - GNIS) 01-September-2020 release
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	6	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	v6: Based on ISO 3166-1 standard as of 12/01/2019
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	6	Codes representing county of origin, address county, reporting county. 	Published	01/17/2024	v6: Added new codes 02158 and 46102 based on the March 2018 release and included OTH code for cases when county needed is not listed in this value set. [Up to date as of 09/01/20]
Data Elements (NND Gen V2)	PHVS_DataElements_NND_GenV2	2.16.840.1.114222.4.11.7268	2	Data Elements present in Generic v 2.0 Message Mapping Guide.	Published	07/08/2020	Stage III (final) Released 1; 3/31/2016
Disease Acquired Jurisdiction	PHVS_DiseaseAcquiredJurisdiction_NND	2.16.840.1.114222.4.11.3030	3	Codes specifying where the disease/condition was likely acquired.	Published	09/15/2014	v3 - No changes from v2

Duration Unit	PHVS_DurationUnit_CDC	2.16.840.1.114222.4.11.7265	2	Value set containing concepts to describe duration of an event, in various units of time.	Published	07/07/2020	v2
Ethnicity Group including Unknown	PHVS_EthnicityGroup_CDC_Unk	2.16.840.1.114222.4.11.3015	2	Ethnicity Group including Unknown	Published	10/22/2008	Added "Other" value set concept so that it will trigger adding the free text entry "Other Ethnicity" in surveillance system
National Reporting Jurisdiction	PHVS_NationalReportingJurisdiction_NND	2.16.840.1.114222.4.11.3236	1	National jurisdiction reporting the notification to CDC	Published	06/29/2009	Initial Load of Value Set
Race Category including Null Flavor	PHVS_RaceCategory_CDC_NullFlavor	2.16.840.1.114222.4.11.7205	1	Based on CDC Race Category Value Set but includes selected Null Flavor concepts.	Published	10/23/2013	version 1
Reporting Source Type	PHVS_ReportingSourceType_NND	2.16.840.1.114222.4.11.3036	2	Codes specifying the type of facility or provider associated with the source of information sent to Public Health.	Published	10/22/2008	added concepts
Result Status (NND)	PHVS_ResultStatus_NND	2.16.840.1.114222.4.11.7231	1	Status of case notification.	Published	07/08/2020	v1
Sex (MFU)	PHVS_Sex_MFU	2.16.840.1.114222.4.11.1038	1	Constrained list of sex codes in use by public health. Keyword: Administrative Sex.	Published	12/27/2017	Initial Load VADS 3.0
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
State or Province of Exposure	PHVS_StateProvinceOfExposure_CDC	2.16.840.1.114222.4.11.7158	1	Indicates the state in which the disease was potentially acquired.	Published	05/07/2013	Initial Import for : C6739A65-1DB7-E211-A070-0017A477041A
Yes No Unknown (YNU)	PHVS_YesNoUnknown_CDC	2.16.840.1.114222.4.11.888	1	Value set used to respond to any question that can be answered Yes, No, or Unknown.	Published	10/22/2008	Initial Load VADS 3.0
