View Name	View Description	View Version	Status Date
H1N1 Flu Case Report Form	Based on H1N1 Flu (Swine Flu) Case Report Form. Please visit http://www.cdc.gov/h1n1flu/ for the latest H1N1 Flu case report form.	3	03/16/2010 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Case Classification Status	PHVS_CaseClassStatus_NND	2.16.840.1.114222.4.11.968	1	Indicates how the Nationally Notifiable Disease case was classified at its close	Published	10/22/2008	Initial Load VADS 3.0
Case Confirmation Method	PHVS_CaseConfirmationMethod_NND	2.16.840.1.114222.4.11.3025	1	Codes specifying  the mechanism by which a case was classified, providing information about how the case classification status was derived.	Published	10/22/2008	Initial Load VADS 3.0
Case Detection Method	PHVS_CaseDetectionMethod_NND	2.16.840.1.114222.4.11.3026	1	Codes specifying the method by which the public health department was made aware of the case.	Published	10/22/2008	Initial Load VADS 3.0
Case Investigation Status	PHVS_CaseInvestigationStatus_NND	2.16.840.1.114222.4.11.970	1	The current status of the investigation (open or closed)	Published	10/22/2008	Initial Load VADS 3.0
Case Transmission Mode	PHVS_CaseTransmissionMode_NND	2.16.840.1.114222.4.11.3027	1	Codes specifying the mechanism by which disease or condition was acquired.	Published	01/14/2019	Initial Load VADS 3.0
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	1	Codes representing county of origin, address county, reporting county. 	Published	01/17/2024	Initial Load VADS 3.0
Detailed Ethnicity	PHVS_Ethnicity_CDC	2.16.840.1.114222.4.11.877	1	List of detailed ethnicity codes reported on a limited basis	Published	10/22/2008	Initial Load VADS 3.0
Detailed Race	PHVS_Race_CDC	2.16.840.1.114222.4.11.876	1	Specific race codes reported on a limited basis	Published	10/22/2008	Initial Load VADS 3.0
Diagnosis (ICD-9 CM)	PHVS_AdministrativeDiagnosis_CDC_ICD-9CM	2.16.840.1.114222.4.11.856	2	ICD-9 CM Administrative Diagnosis Codes used for billing purposes, Reason for Study, DG1 Diagnosis segments Keyword: ICD-9 Vol 1 & 2.	Published	08/16/2010	Based on ICD9 updates 10/01/2009
Disease	PHVS_Disease_CDC	2.16.840.1.114222.4.11.909	4	Disease or Disorder - 64572001 SNOMED Domain	Published	09/01/2020	SNOMED Update 01/31/2010
Drug Susceptibility Test Result Name	PHVS_DrugSusceptibilityTestResultName_CDC	2.16.840.1.114222.4.11.1071	3	Drug / Antimicrobial Test Result Name	Published	10/22/2008	Updates for LOINC Release January 2010
Ethnicity group	PHVS_EthnicityGroup_CDC	2.16.840.1.114222.4.11.837	1	Whether the patient is hispanic or not	Published	10/22/2008	Initial Load VADS 3.0
Fever Syndrome (BT)	PHVS_Fever_Syndrome_BT	2.16.840.1.114222.4.11.1090	1	ACUTE potentially febrile illness of origin not specified. INCLUDES fever and septicemia not otherwise specified. INCLUDES unspecified viral illness even though unknown if fever is present. EXCLUDE entry in this syndrome category if more specific diagnostic code is present allowing same patient visit to be categorized as respiratory, neurological or gastrointestinal illness syndrome	Published	10/22/2008	Initial Load VADS 3.0
Flu Signs and Symptoms	PHVS_SignsSymptoms_Flu	2.16.840.1.114222.4.11.3240	1	Signs and Symptoms of  Flu	Published	07/02/2009	H1N1 Flu Vocabulary
Lab Test Finding (Flu)	PHVS_LabTestFinding_Flu	2.16.840.1.114222.4.11.3243	1	General lab diagnostic findings related to Flu	Published	07/02/2009	H1N1 Flu Vocabulary
Lab Test Interpretation	PHVS_LabTestInterpretation_CDC	2.16.840.1.114222.4.11.3048	1	Codes specifying qualitative lab test interpretation.	Published	10/22/2008	Initial Load VADS 3.0
Lab Test Order (PHLIP Flu)	PHVS_LabTestOrder_PHLIP_Flu	2.16.840.1.114222.4.11.3016	2	Lab Test orderables that could be used in OBRsegment (PHLIP Flu)	Published	12/18/2019	Updates necessary for H1N1 Flu
Lab Test Result (PHLIP Flu)	PHVS_LabTestResult_PHLIP_Flu	2.16.840.1.114222.4.11.3017	2	Lab Test Result that could be used in OBX-5  (PHLIP Flu)	Published	12/18/2019	Updates necessary for H1N1 Flu
Manufacturers of vaccines (MVX)	PHVS_ManufacturersOfVaccinesMVX_CDC_NIP	2.16.840.1.114222.4.11.826	1	The CDC's National Immunization Program (NIP) maintains the HL7 external code set MVX. HL7 version 2.x Manufacturers of vaccines (code=MVX) used in chapter(s) 4. 	Published	07/19/2023	Initial Load VADS 3.0
Medication Treatment (Flu)	PHVS_MedicationTreatment_Flu	2.16.840.1.114222.4.11.3244	2	List of Medications related to Flu	Published	07/02/2009	Added Concept Other to Value Set
Microbiology Test Result Name	PHVS_MicrobiologyLabTestResultName_CDC	2.16.840.1.114222.4.11.1073	3	List of Microbiology test result names	Published	10/22/2008	Updates for LOINC Release January 2010
Microorganism	PHVS_Microorganism_CDC	2.16.840.1.114222.4.11.1009	4	Microorganisms/infectious agents	Published	10/28/2024	SNOMED Update 01/31/2010
Modifier or Qualifier	PHVS_ModifierOrQualifier_CDC	2.16.840.1.114222.4.11.1014	4	Qualitatitve codes used for laboratory test results. This uses SNOMED hierarchy (362981000). These codes need to be used appropriately using SNOMED post-coordination rules.	Published	08/13/2010	SNOMED Update 01/31/2010
Nationally Notifiable Disease Surveillance System (NNDSS) & Other Conditions of Public Health Importance	PHVS_NotifiableEvent_Disease_Condition_CDC_NNDSS	2.16.840.1.114222.4.11.1015	3	List of notifiable events, which includes infectious and non-infectious diseases or conditions. This list includes events that are notifiable at the state and national level.	Published	03/10/2025	New Version based on NND Code System Release January 2010
Notifiable Event Condition (Flu)	PHVS_NotifiableEventCondition_Flu	2.16.840.1.114222.4.11.3241	1	List of CDC Notifiable Event Conditions related to Flu	Published	07/02/2009	H1N1 Flu Vocabulary
Null Flavor (HL7 V3)	PHVS_NullFlavor_HL7_V3	2.16.840.1.114222.4.11.875	1	HL7 V3 coding system with codes to indicate the null responses (e.g. unknown, other, not present)	Published	10/22/2008	Initial Load VADS 3.0
Observation Method	PHVS_LabTestMethods_CDC	2.16.840.1.114222.4.11.1003	1	Laboratory test method identifiers	Published	05/21/2025	Based on HL7 V3 - 2008 version
Occupation	PHVS_Occupation_CDC	2.16.840.1.114222.4.11.887	1	Occupations or job codes	Published	10/22/2008	Initial Load VADS 3.0
Race Category	PHVS_RaceCategory_CDC	2.16.840.1.114222.4.11.836	1	General race category reported by the patient - subject may have more than one	Published	10/22/2008	Initial Load VADS 3.0
Radiology Lab Test (Flu)	PHVS_RadiologyLabTest_Flu	2.16.840.1.114222.4.11.3245	1	List of radiology lab tests related to Flu	Published	07/02/2009	H1N1 Flu Vocabulary
Reporting Lab Type	PHVS_ReportingLabType_NND	2.16.840.1.114222.4.11.3159	1	Type of laboratory reporting the result	Published	10/22/2008	Initial Load VADS 3.0
Reporting Source Type	PHVS_ReportingSourceType_NND	2.16.840.1.114222.4.11.3036	1	Codes specifying the type of facility or provider associated with the source of information sent to Public Health.	Published	10/22/2008	Initial Load VADS 3.0
Respiratory Syndrome (BT)	PHVS_Respiratory_Syndrome_BT	2.16.840.1.114222.4.11.1097	1	ACUTE infection of the upper and/ or lower respiratory tract (from the oropharynx to the lungs, includes otitis media). SPECIFIC diagnosis of acute respiratory tract infection (RTI) such as pneumonia due to parainfluenza virus.ACUTE non-specific diagnosis of RTI such as sinusitis, pharyngitis, laryngitis.ACUTE non-specific symptoms of RTI such as cough, stridor, shortness of breath, throat pain.EXCLUDES chronic conditions such as chronic bronchitis, asthma without acute exacerbation, chronic sinusitis, allergic conditions (Note: INCLUDE acute exacerbation of chronic illnesses)	Published	10/22/2008	Initial Load VADS 3.0
Resulted Lab Test Name (PHLIP Flu)	PHVS_ResultedLabTestName_PHLIP_Flu	2.16.840.1.114222.4.11.3019	2	Resulted lab test name that could be used in OBX-3 (PHLIP Flu)	Published	12/18/2019	Updates necessary for H1N1 Flu
Risk Factor (Flu)	PHVS_RiskFactor_Flu	2.16.840.1.114222.4.11.3242	1	List of conditions that are considered as risk factors for Flu	Published	07/02/2009	H1N1 Flu Vocabulary
Sex (MFU)	PHVS_Sex_MFU	2.16.840.1.114222.4.11.1038	1	Constrained list of sex codes in use by public health. Keyword: Administrative Sex.	Published	12/27/2017	Initial Load VADS 3.0
Specimen (Flu)	PHVS_Specimen_Flu	2.16.840.1.114222.4.11.3246	2	List of specimen sources related to Flu.	Published	07/14/2009	Added Concept PHC837 (Chest Fluid) to Value Set
Specimen Source (PHLIP)	PHVS_SpecimenSource_PHLIP	2.16.840.1.114222.4.11.3020	2	Specimen Source from HL7 Table 0070. PHLIP is migrating to use of SNOMED as specimen source - need to review if doable with next release or the release after that	Published	10/22/2008	Updates necessary for H1N1 Flu
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Travel Mode	PHVS_TravelMode_CDC	2.16.840.1.114222.4.11.3107	1	Mode of travel answer list	Published	10/22/2008	Initial Load VADS 3.0
Units of Measure	PHVS_UnitsOfMeasure_CDC	2.16.840.1.114222.4.11.838	1	Units of Measure based on UCUM std which also includes dimension	Published	04/17/2025	Initial Load VADS 3.0
Vaccines administered (CVX)	PHVS_VaccinesAdministeredCVX_CDC_NIP	2.16.840.1.114222.4.11.934	3	Vaccine Name Keyword: Clinical Vaccines, Vaccine Names	Published	03/04/2026	Added Influenza High dose seasonal vaccine
Yes No Unknown (YNU)	PHVS_YesNoUnknown_CDC	2.16.840.1.114222.4.11.888	1	Value set used to respond to any question that can be answered Yes, No, or Unknown.	Published	10/22/2008	Initial Load VADS 3.0
