View Name	View Description	View Version	Status Date
HAI MDRO Case Notification	List of value sets for the set of coded data elements used to communicate information to meet the requirements for HAI MDRO Case Notifications.	6	09/24/2024 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	6	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	v6: Based on ISO 3166-1 standard as of 12/01/2019
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	7	Codes representing county of origin, address county, reporting county. 	Published	01/17/2024	V7: Added new codes 09110, 09120, 09130, 09140, 09150, 09160, 09170, 09180, 09190 for Connecticut’s transition to using county equivalents (i.e., Planning Regions).
Gene Name (CPO)	PHVS_GeneName_CPO	2.16.840.1.114222.4.11.8080	1	Gene Name for CPO	Published	04/11/2024	V1
Industry CDC Census 2010	PHVS_Industry_CDC_Census2010	2.16.840.1.114222.4.11.7187	1	2010 Industry coding system used by CDC (NIOSH & NCHS) for coding industry text.  Industry describes an economic/business sector comprised of businesses/ enterprises concerned with the output of a specified category of products or services (e.g., the construction industry or the agriculture industry).  This industry code system includes  2007 U.S. Census Bureau industry codes  and  three additional codes developed by CDC for unpaid workers.  The 2010 Census industry categories  are based on the 2007 North American Industry Classification System (NAICS).  The PH_Occupation_CDC_Census2010  code system should be used in conjunction with this industry code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	Initial Import for : 981F6E94-1A0C-E311-81F2-0017A477041A
Lab Test Method (MDRO)	PHVS_LabTestMethod_MDRO	2.16.840.1.114222.4.11.7866	3	Lab Test Method	Published	04/10/2023	V3: Added NG CARBA 5, Broth microdilution, Automated AST/ID instrument (ATI), and Streck ARM-D beta lactamase kit
Lab Test Type (C. auris)	PHVS_LabTestType_C.auris 	2.16.840.1.114222.4.11.7863	3	Epidemiologic interpretation of the type of test(s) performed for this case.	Published	04/17/2023	V3: Reverted back to V1 and removed inadvertent content
Lab Test Type (CPO)	PHVS_LabTestType_CPO	2.16.840.1.114222.4.11.8079	1	Epidemiologic interpretation of the type of CPO test(s) performed for this case.	Published	04/11/2024	V1
Occupation CDC Census 2010	PHVS_Occupation_CDC_Census2010	2.16.840.1.114222.4.11.7186	1	2010 Occupation coding system used by CDC (NIOSH & NCHS) for coding occupation text.  Occupation describes a set of activities or tasks that individuals are paid to perform or, if unpaid, define a person’s contribution to a household/family business/community.  This code system includes  2010 U.S. Census Bureau occupation codes with modifications made by CDC for unpaid workers and military occupations.  The 2010 Census occupation categories  are based on the 2010 BLS Standard Occupational Classification (SOC) system.  The PH_Industry_CDC_Census2010  code system should be used in conjunction with this occupation code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	v1
Organism (CPO)	PHVS_Organism_CPO	2.16.840.1.114222.4.11.8078	1	Genus and species of the organism identified as CPO.	Published	04/11/2024	V1
Specimen	PHVS_Specimen_CDC	2.16.840.1.114222.4.11.946	12	Specimen based on SNOMED hierarchy (123038009) Keyword: Specimen Source, Specimen Type	Published	08/15/2024	V12: Updated to SNOMED US Edition March 2024 specimen hierarchy content.
Specimen Collection Setting Type (C. auris)	PHVS_SpecimenCollectionSettingType_C.auris	2.16.840.1.114222.4.11.7869	2	The physical location type of the patient when the specimen was collected.	Published	02/04/2019	v2
Specimen Source (C. auris)	PHVS_SpecimenSource_C.auris	2.16.840.1.114222.4.11.7864	1	Screening/Colonization C. auris Only: If specimen type is unspecified swab, please provide anatomical site of swab.	Published	02/04/2019	v1
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Test Result (C. auris)	PHVS_TestResult_C.auris	2.16.840.1.114222.4.11.7867	2	Epidemiologic interpretation of the results of the test(s) performed for this case. This is a qualitative test result. (e.g, positive, detected, negative).	Published	03/07/2019	v2
Test Result (CPO)	PHVS_TestResult_CPO	2.16.840.1.114222.4.11.8077	1	Result of diagnostic test for CPO	Published	04/11/2024	V1
Type of Co-infection (C. auris)	PHVS_TypeCoInfection_C.auris	2.16.840.1.114222.4.11.7870	2	Type of co-infections	Published	04/10/2023	V2: Added Candida auris and ESBL
Type of Long Term Care Facility (C. auris)	PHVS_LongTermCareFacilityType_C.auris	2.16.840.1.114222.4.11.7868	1	If patient had a stay in a long-term care facility in the 90 days before specimen collection date, indicate the type of long-term care facility.	Published	01/10/2019	v1
Yes No Unknown (YNU)	PHVS_YesNoUnknown_CDC	2.16.840.1.114222.4.11.888	1	Value set used to respond to any question that can be answered Yes, No, or Unknown.	Published	10/22/2008	Initial Load VADS 3.0
