View Name	View Description	View Version	Status Date
HITSP C80 Terminology (Public Health Subset)	List of HITSP C80 value sets used by public health HL7 or CDA implementation guides (IG). Many of the HITSP value sets already exists in PHIN VADS and used by public health HL7 IG’s since 2004. HITSP Value Set ID is included in PHIN VADS value set.	3	09/05/2010 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Administrative Gender (HL7 V3)	PHVS_AdministrativeGender_HL7_V3	2.16.840.1.113883.1.11.1	1	Administrative Gender based upon HL7 V3 vocabulary. This value set contains only male, female and undifferentiated concepts.	Published	02/23/2019	CDA Public Health Case Report New Value Set
Admission Source (HL7)	PHVS_AdmitSource_HL7_2x	2.16.840.1.114222.4.11.918	1	A user defined set of codes that can be used to indicate from where the patient came in.	Published	04/25/2019	Initial Load VADS 3.0
Admission Type (HL7)	PHVS_AdmissionType_HL7_2x	2.16.840.1.114222.4.11.913	1	HL7 version 2.5 User-Defined Table 0007 Admit Type codes used in ADT messages	Published	10/22/2008	Initial Load VADS 3.0
Advance Directive Type Value Set	PHVS_AdvanceDirectiveType_HL7_CCD	2.16.840.1.113883.1.11.20.2	1	This identifies the type of the Advance Directive. Uses the AdvanceDirectiveTypeCode vocabulary defined by CCD.	Published	07/23/2009	HITSP Public Health Vocabulary
Allergy/Adverse Event Type Value Set	PHVS_AllergyOrAdverseEventType_HITSP	2.16.840.1.113883.3.88.12.3221.6.2	1	This describes the type of product and intolerance suffered by the patient	Published	07/23/2009	HITSP Public Health Vocabulary
Body Site Value Set	PHVS_BodySite_HITSP	2.16.840.1.113883.3.88.12.3221.8.9	3	Contains values descending from the SNOMED CT® Anatomical Structure (91723000) hierarchy or Acquired body structure (body structure) (280115004) or Anatomical site notations for tumor staging (body structure) (258331007) or Body structure, altered from its original anatomical structure (morphologic abnormality) (118956008) or Physical anatomical entity (body structure) (91722005) This indicates the anatomical site.	Published	01/15/2015	Initial Import for : 075E48CA-166B-DE11-9B52-0015173D1785
Contact Type Value Set	PHVS_ContactType_HL7_V3	2.16.840.1.113883.3.88.12.3221.3.2	1	The HL7 Version 3 Role Class Vocabulary has been limited by HITSP to the value set and represents the type of individual support provided, such as immediate emergency contacts, next of kin, family relations, guardians, agents, et cetera	Published	07/23/2009	HITSP Public Health Vocabulary
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	1	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	Initial Load VADS 3.0
Coverage Role Type Value Set	PHVS_CoverageRoleType_HL7_V3	2.16.840.1.113883.1.11.18877	1	This specifies if the patient is the subscriber or dependent within the context of the specified health plan	Published	07/23/2009	HITSP Public Health Vocabulary
Detailed Ethnicity	PHVS_Ethnicity_CDC	2.16.840.1.114222.4.11.877	1	List of detailed ethnicity codes reported on a limited basis	Published	10/22/2008	Initial Load VADS 3.0
Diagnosis Priority (HL7)	PHVS_DiagnosisPriority_HL7_2x	2.16.840.1.114222.4.11.914	1	The number from HL7 Table 0359 - Diagnosis Priority that identifies the significance or priority of the diagnosis code, with 1 being the Primary diagnosis, etc.	Published	10/22/2008	Initial Load VADS 3.0
Diagnosis Type (HL7)	PHVS_DiagnosisType_HL7_2x	2.16.840.1.114222.4.11.827	1	A code from HL7 2.5 User-defined Table 0052 - Diagnosis Type that identifies the type of diagnosis being sent (Admitting, Working, Final).	Published	10/22/2008	Initial Load VADS 3.0
Discharge Disposition (HL7)	PHVS_DischargeDisposition_HL7_2x	2.16.840.1.114222.4.11.915	1	The disposition of the patient at time of discharge (i.e., discharged to home, expired, etc.). Uses User-defined Table 0112 - Discharge Disposition; this field is used on UB92 FL22.	Published	05/03/2021	Initial Load VADS 3.0
Document Class Value Set	PHVS_DocumentClass_HITSP	2.16.840.1.113883.3.88.12.80.46	1	This is the code specifying the particular kind of document (e.g., Prescription, Discharge Summary, Report, etc.). It is suggested that the XDS Affinity Domain draws these values from a coding scheme providing a coarse level of granularity (about 10 to 100 entries)	Published	07/23/2009	HITSP Public Health Vocabulary
Document Type Value Set	PHVS_DocumentType_HITSP	2.16.840.1.113883.3.88.12.80.47	2	This is the code specifying the precise type of document (e.g., Pulmonary History and Physical, Discharge Summary, Ultrasound Report, etc.). It is suggested that the XDS Affinity Domain draw these values from a coding scheme providing a fine level of granularity	Published	07/23/2009	Updates for LOINC Release January 2010
Drug Active Ingredients	PHVS_DrugActiveIngredients_FDA_SRS_UNII	2.16.840.1.114222.4.11.1102	3	Drug Active Ingredients from FDA SRS. This also includes ingredients for combination drugs.	Published	10/22/2008	FDA UNII Code System Release 01/22/2010
Drug Product (NDC)	PHVS_DrugProduct_FDA_NDC	2.16.840.1.114222.4.11.1105	1	Commercial Drug  Products	Published	10/22/2008	Initial Load VADS 3.0
Family Member Value Set	PHVS_FamilyMember_HL7_V3	2.16.840.1.113883.1.11.19579	1	Family Relationships record the familial relationship of a person to another person. This value set is to be used when it is necessary to record family relationships (e.g., next of kin, or blood relations). This is a subset of the value set used for personal relationships	Published	07/23/2009	HITSP Public Health Vocabulary
Financially Responsible Party Type Value Set	PHVS_FinanciallyResponsibleParty_HL7_V3	2.16.840.1.113883.1.11.10416	1	A relationship between two entities that is formally recognized, frequently by a contract or similar agreement. This identifies the party that has responsibility for all or a portion of the patient’s healthcare.	Published	07/23/2009	HITSP Public Health Vocabulary
Healthcare Provider Taxonomy (HIPAA)	PHVS_HealthcareProviderTaxonomy_HIPAA	2.16.840.1.114222.4.11.1066	1	The Health Care Provider Taxonomy code set is a collection of unique alphanumeric codes, ten characters in length. The code set is structured into three distinct Levels including Provider Type, Classification, and Area of Specialization. The Health Care Provider Taxonomy code set allows a single provider (individual, group, or institution) to identify their specialty category. Providers may have one or more than one value associated to them. When determining what value or valuess to associate with a provider, the user needs to review the requirements of the trading partner with which the value(s) are being used.	Retired	10/22/2008	Replaced by NUCC provider codes - NHSN Clincial Specialty value set.
Immunization Information Source	PHVS_ImmunizationInformationSource_HITSP	2.16.840.1.113883.3.88.12.80.39	2	This identifies the source of information for this immunization record or, more generically, whether the immunization being reported has just been administered (new) or came from other records (historical)	Published	07/23/2009	Immunization HL7 2.5.1 IG - Release 1.1
Immunization Service Funding Eligibility Value Set	PHVS_ImmunizationServiceFundingEligibility_HL7_2x	2.16.840.1.114222.4.5.301	1	Identifies the Immunization Service Funding Eligibility assigned to the patient for the purpose of identifying sources of reimbursement. See User Defined Table 0064 Financial Class in Appendix 1 in CDC Implementation Guide for Immunization Data Transactions.	Published	07/23/2009	HITSP Public Health Vocabulary
Lab Test Result Name	PHVS_LabTestName_CDC	2.16.840.1.114222.4.11.1002	4	Laboratory Resulted Test identifiers and names - LOINC is the starter set	Published	03/27/2025	Value set update based on LOINC 2.32 July 2010 release
Lab Test Result Qualitative	PHVS_LabTestResultQualitative_CDC	2.16.840.1.114222.4.11.3049	1	Codes specifying non-microorganism qualitative lab test results including coded comments. Subset of lab test related Modifier or Qualifier concepts from SNOMED CT.	Published	08/22/2024	Initial Load VADS 3.0
LanguageAbilityMode Value Set	PHVS_LanguageAbilityMode_HL7_V3	2.16.840.1.113883.1.11.12249	1	This identifies the language ability of the individual. A value representing the method of expression of the language.	Published	07/23/2009	HITSP Public Health Vocabulary
Manufacturers of vaccines (MVX)	PHVS_ManufacturersOfVaccinesMVX_CDC_NIP	2.16.840.1.114222.4.11.826	2	The CDC's National Immunization Program (NIP) maintains the HL7 external code set MVX. HL7 version 2.x Manufacturers of vaccines (code=MVX) used in chapter(s) 4. 	Published	07/19/2023	Based on May 28th, 2010 version.
Marital Status Value Set	PHVS_MaritalStatus_HL7_V3	2.16.840.1.113883.1.11.12212	1	Marital Status is the domestic partnership status of a person.	Published	07/23/2009	HITSP Public Health Vocabulary
Medication Brand Name Value Set	PHVS_MedicationBrandName_HITSP	2.16.840.1.113883.3.88.12.80.16	2	This identifies the product brand name of drugs, such as Tylenol, Claritin, etc. Shall contain RxNorm normal forms for concepts type of ?Brand Name? or Brand Name Packs.	Published	01/16/2026	Update to RxNorm 02/01/2010
Medication Clinical Drug Name Value Set	PHVS_MedicationClinicalDrugName_HITSP	2.16.840.1.113883.3.88.12.80.17	2	Shall contain RxNorm normal forms for concepts type of “Ingredient Name” or Generic Packs. The ingredient name concepts can be found in the RxNORM file RXCONSO.RRF selecting all terms where SAB=RXNORM (selecting the normal forms), and TTY=SCD (selecting the ingredient names) or TTY=GPCK (selecting the generic packs)	Published	01/16/2026	Update to RxNorm 02/01/2010
Medication Drug Class Value Set	PHVS_MedicationDrugClass_HITSP	2.16.840.1.113883.3.88.12.80.18	1	This identifies the pharmacological drug class, such as Cephalosporins. Shall contain a value descending from the NDF-RT concept types of “Mechanism of Action - N0000000223”, “Physiologic Effect - N0000009802” or “Chemical Structure - N0000000002”`. NUI will be used as the concept code.	Published	07/23/2009	HITSP Public Health Vocabulary
Medication Fill Status Value Set	PHVS_MedicationFillStatus_HITSP	2.16.840.1.113883.3.88.12.80.64	1	The HL7 ActStatus has been limited by HITSP. This identifies whether the medication has been fulfilled, such as completed and aborted	Published	07/23/2009	HITSP Public Health Vocabulary
Medication Product Form Value Set	PHVS_MedicationProductForm_HITSP	2.16.840.1.113883.3.88.12.3221.8.11	1	This is the physical form of the product as presented to the individual. For example: tablet, capsule, liquid or ointment. NCI concept code for pharmaceutical dosage form: C42636	Published	09/15/2014	HITSP Public Health Vocabulary
Medication Route FDA Value Set	PHVS_MedicationRoute_FDA	2.16.840.1.113883.3.88.12.3221.8.7	1	Route of Administration value set is based upon FDA Drug Registration and Listing Database (FDA Orange Book) which are used in FDA structured product and labelling (SPL).	Published	09/15/2014	CDA Public Health Case Report New Value Set
Medication Type Value Set	PHVS_MedicationType_HITSP	2.16.840.1.113883.3.88.12.3221.8.19	1	This is a classification based on how the medication is marketed (e.g., prescription, over the counter drug)	Published	07/23/2009	HITSP Public Health Vocabulary
Medication Vehicle Value Set	PHVS_MedicationVehicle_HITSP	2.16.840.1.113883.3.88.12.80.21	1	This indicates non-active ingredient(s), or substances not of therapeutic interest, in which the active ingredients are dispersed. Most often applied to liquid products where the major fluid Component is considered the vehicle	Published	07/23/2009	HITSP Public Health Vocabulary
No Immunization Reason Value Set	PHVS_ActNoImmunizationReason_HL7_V3	2.16.840.1.113883.1.11.19717	1	This identifies the reason why the immunization did not occur	Published	07/23/2009	HITSP Public Health Vocabulary
Non-Laboratory Intervention and Procedure	PHVS_NonLabInterventionProcedure_CDC	2.16.840.1.114222.4.11.3204	2	This value set includes medical and surgical procedures performed on human body. This is based upon the concepts descending from the SNOMED CT Procedures (71388002) hierarchy. This value set does not include administrative billing procedure or laboratory procedure.	Published	07/07/2009	Updated based on SNOMED 1/31/2010 Release
Ordered Test	PHVS_LabTestOrderables_CDC	2.16.840.1.114222.4.11.1004	4	Lab test orderables that could be used in OBR segment. This value set also includes panels from LOINC. Keywords: Lab Test Orderables, Lab Test Order	Published	03/27/2025	Update based on July 30th, 2010 release of LOINC 2.32
Patient Class Value Set	PHVS_PatientClass_HITSP_HL7_V3	2.16.840.1.113883.3.88.12.80.66	1	This is used to categorize patients by site where encounter occurred	Published	07/23/2009	HITSP Public Health Vocabulary
Personal Relationship Role Type Value Set	PHVS_PersonalRelationshipRoleType_HL7_V3	2.16.840.1.113883.1.11.19563	1	A Personal Relationship records the role of a person in relation to another person. This value set is to be used when recording the relationships between different people who are not necessarily related by family ties, but also includes family relationships	Published	10/01/2014	HITSP Public Health Vocabulary
Problem Severity	PHVS_ProblemSeverity_HITSP	2.16.840.1.113883.3.88.12.3221.6.8	1	This is a description of the level of the severity of the problem.	Published	12/02/2013	HITSP Public Health Vocabulary
Problem Type Value Set	PHVS_ProblemType_HITSP	2.16.840.1.113883.3.88.12.3221.7.2	1	The SNOMED CT® has been limited by HITSP to the value set reproduced below in Table 2-60 Problem Type Value Set Definition. This indicates the level of medical judgment used to determine the existence of a problem	Published	07/23/2009	HITSP Public Health Vocabulary
Problem Value Set	PHVS_ProblemList_HITSP	2.16.840.1.113883.3.88.12.3221.7.4	1	This describes the problem. Diagnosis/Problem List is broadly defined as a series of brief statements that catalog a patient’s medical, nursing, dental, social, preventative and psychiatric events and issues that are relevant to that patient’s healthcare (e.g., signs, symptoms, and defined conditions). Contains descendants of SNOMED CT codes 404684003 (Signs and Symptoms) and 243796009 (Situation with explicit context).	Published	04/15/2019	HITSP Public Health Vocabulary
Provider Role Value Set	PHVS_ProviderRole_HITSP	2.16.840.1.113883.3.88.12.3221.4.2	1	This classifies providers according to the role they play in the healthcare of the individual. See HL7 Table 0443 in Appendix A of HL7 2.5.1 Specification.	Published	07/23/2009	HITSP Public Health Vocabulary
Race Value Set	PHVS_Race_HL7_V3	2.16.840.1.113883.1.11.14914	1	Concepts in the race value set include the OMB minimum categories, 5 races, along with a sixth race category, Other race, and a more detailed set of race categories used by the Bureau of Census. 	Published	07/07/2009	CDA Public Health Case Report New Value Set
Religious Affiliation Value Set	PHVS_ReligiousAffiliation_HL7_V3	2.16.840.1.113883.1.11.19185	1	This reflects the spiritual faith affiliation	Published	07/23/2009	HITSP Public Health Vocabulary
Result status (HL7)	PHVS_ResultStatus_HL7_2x	2.16.840.1.114222.4.11.815	1	The status of the results. This field is required when the OBR segment is contained in a message.  Uses HL7 2.5 Table 0123-Result Status.	Published	10/22/2008	Initial Load VADS 3.0
Route of Administration (HL7)	PHVS_RouteOfAdministration_HL7_2x	2.16.840.1.114222.4.11.816	1	User-defined table 0162 contains a list of the routes of administration of a drug or treatment.	Published	10/22/2008	Initial Load VADS 3.0
Semantic Clinical Drug (Ingredient plus strength and dose form)	PHVS_SemanticClinicalDrug_RxNORM	2.16.840.1.114222.4.11.1103	3	Semantic Clinical Drug E.g. Amoxicillin 750 MG Oral Tablet	Published	04/03/2020	Update to RxNorm 02/01/2010
Semantic Clinical Drug Form (Ingredient plus dose form)	PHVS_SemanticClinicalDrugForm_RxNORM	2.16.840.1.114222.4.11.1104	3	Semantic Clinical Drug Form . E.g. Amoxicillin Oral Tablet	Published	04/03/2020	Update to RxNorm 02/01/2010
Social History Type Value Set	PHVS_SocialHistoryType_HITSP	2.16.840.1.113883.3.88.12.80.60	1	This indicates the type of social history observation	Published	07/23/2009	HITSP Public Health Vocabulary
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Units of Measure	PHVS_UnitsOfMeasure_CDC	2.16.840.1.114222.4.11.838	1	Units of Measure based on UCUM std which also includes dimension	Published	04/17/2025	Initial Load VADS 3.0
V3 Result Status Value Set	PHVS_ResultStatus_HITSP_HL7_V3	2.16.840.1.113883.3.88.12.80.65	1	This identifies the status for the results (observation)	Published	07/23/2009	HITSP Public Health Vocabulary
Vaccines administered (CVX)	PHVS_VaccinesAdministeredCVX_CDC_NIP	2.16.840.1.114222.4.11.934	4	Vaccine Name Keyword: Clinical Vaccines, Vaccine Names	Published	03/04/2026	Update description for CVX code 33 to "Pneumococcal polysaccharide vaccine, 23 valent"
Vital Sign Result Value Set	PHVS_VitalSignResult_HITSP	2.16.840.1.113883.3.88.12.80.62	1	This identifies the vital sign result type	Published	11/06/2017	HITSP Public Health Vocabulary
