View Name	View Description	View Version	Status Date
HL7 Implementation Guide for CDA Release 2: Birth & Fetal Death Report, DSTU R1	The HL7 CDA R2 Vital Records Death Reporting specification covers birth and fetal death reporting data to the applicable jurisdictional vital records reporting agency within the U.S. using the HL7 CDA standard. This is a US realm specification.	2	03/19/2015 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Apgar Assessments (NCHS)	PHVS_ApgarAssessments_NCHS	2.16.840.1.114222.4.11.7210	1	The value set contains systematic measures as to the question for evaluating the physical condition of the infant at specific intervals following birth.	Published	05/07/2015	Initial Import for : 80BDD27A-5D37-E411-8D91-0017A477041A
Autopsy Examination (NCHS)	PHVS_AutopsyExamination_NCHS	2.16.840.1.114222.4.11.7137	1	The value set contains the list of values used to indicate whether or not an autopsy was performed.	Published	11/06/2018	Initial Import for : 0B4F19BC-5F37-E411-8D91-0017A477041A
Birth and Fetal Death Financial Class (NCHS)	PHVS_BirthAndFetalDeathFinancialClass_NCHS	2.16.840.1.114222.4.11.7163	1	The value set contains the list of values used to indicate  the principle source of payment for the labor and delivery. Note, the Public Health Data Consortium Source of Payment Typology is being used as the primary source for codes within the value set.	Published	01/27/2014	v1
Birth Attendant Titles (NCHS)	PHVS_BirthAttendantTitles_NCHS	2.16.840.1.114222.4.11.7111	3	The value set contains the list of titles used by persons (attendant) responsible for delivering a child/fetus. The attendant at birth/delivery is defined as the individual physically present at the delivery who is responsible for the delivery.	Published	03/16/2015	Initial Import for : DE7CBD27-9C7B-E211-87A9-0017A477041A
Birth or Delivery Occurred (NCHS)	PHVS_BirthDeliveryOccurred_NCHS	2.16.840.1.114222.4.11.7124	2	The value set contains the list of values used to indicate the type of place where birth or delivery occurred.	Published	03/16/2015	Initial Import for : FF3604D5-73A7-E211-A4E6-0017A477041A
Certifier Titles (NCHS)	PHVS_CertifierTitles_NCHS	2.16.840.1.114222.4.11.7212	2	To reflect the title used by death certifier to denote professional role.	Published	05/06/2014	Initial Import for : CFB42CD1-8D87-E311-AE2A-0017A477041A
Delivery Routes (NCHS)	PHVS_DeliveryRoutes_NCHS	2.16.840.1.114222.4.11.7118	2	The value set contains the list of the possible routes by which the infant or fetus may be delivered.	Published	02/17/2016	Initial Import for : F06504B6-F7A1-E211-89A9-0017A477041A
Fetal Death Cause or Condition (NCHS)	PHVS_FetalDeathCauseOrCondition_NCHS	2.16.840.1.114222.4.11.7422	1	The value sets contains the list of values used to report initiating cause or condition or other significant causes or conditions contributing to fetal death.	Published	12/12/2017	Initial Import for : BF0388D1-16CC-E411-8970-0017A477041A
Fetal Death Time Points (NCHS)	PHVS_FetalDeathTimePoints_NCHS	2.16.840.1.114222.4.11.7112	1	The value set contains a list of items to indicate when the fetus died with respect to labor and assessment.	Published	09/08/2014	Initial Import for : A1B865C2-6037-E411-8D91-0017A477041A
Fetal Presentations (NCHS)	PHVS_FetalPresentations_NCHS	2.16.840.1.114222.4.11.7113	2	The value set contains the list of the different presentations (orientations within the mother's womb) that a fetus may be in prior to delivery.	Published	12/12/2017	Initial Import for : 16E4382D-2BA1-E211-89A9-0017A477041A
Histological Placental Examination (NCHS)	PHVS_HistologicalPlacentalExamination_NCHS	2.16.840.1.114222.4.11.7138	1	The value set contains the list of values used to indicate whether or not a histological placental examination was performed.	Published	06/28/2013	Initial Import for : 7F5BDE11-37A8-E211-A4E6-0017A477041A
