View Name	View Description	View Version	Status Date
HL7 Version 2.5.1 Implementation Guide: Birth & Fetal Death Reporting, R1 DSTU	Covers the provision of birth and fetal death reporting data to the applicable jurisdictional vital records reporting agency within the United States utilizing the HL7 V2.5.1 standard. This is a US realm specification.	3	02/16/2016 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Accept Application Acknowledgment Conditions (HL7)	PHVS_AcceptApplicationAcknowledgmentConditions_HL7	2.16.840.1.114222.4.11.3344	1	Accept Application Acknowledgment Conditions (HL7) based on HL7 2.5 table 0155.	Published	12/12/2017	Based on HL7 v2.5
Acknowledgment Code (HL7)	PHVS_AcknowledgmentCode_HL7_2x	2.16.840.1.114222.4.11.958	1	Acknowledgment code indicating receipt of message.  (See message processing rules.  Refer to HL7 Table 0008 - Acknowledgment code for valid values.)  Null flavors are not allowed.	Published	10/22/2008	Initial Load VADS 3.0
Administrative Sex (HL7)	PHVS_AdministrativeSex_HL7_2x	2.16.840.1.114222.4.11.927	1	HL7 version 2.5 User-Defined Table 0001 Administrative sex code	Published	10/22/2008	Initial Load VADS 3.0
Apgar Assessments (NCHS)	PHVS_ApgarAssessments_NCHS	2.16.840.1.114222.4.11.7210	2	The value set contains systematic measures as to the question for evaluating the physical condition of the infant at specific intervals following birth.	Published	05/07/2015	Initial Import for : 80BDD27A-5D37-E411-8D91-0017A477041A
Autopsy Examination (NCHS)	PHVS_AutopsyExamination_NCHS	2.16.840.1.114222.4.11.7137	1	The value set contains the list of values used to indicate whether or not an autopsy was performed.	Published	11/06/2018	Initial Import for : 0B4F19BC-5F37-E411-8D91-0017A477041A
Birth and Fetal Death Financial Class (NCHS)	PHVS_BirthAndFetalDeathFinancialClass_NCHS	2.16.840.1.114222.4.11.7163	1	The value set contains the list of values used to indicate  the principle source of payment for the labor and delivery. Note, the Public Health Data Consortium Source of Payment Typology is being used as the primary source for codes within the value set.	Published	01/27/2014	v1
Birth and Fetal Death Report Event Reason (NCHS)	PHVS_BirthAndFetalDeathReportEventReason_NCHS	2.16.840.1.114222.4.11.7164	1	The value set contains the list of values used to indicate whether the report refers to a live birth or to a fetal death.	Published	11/03/2014	Initial Import for : ED75F39B-9A63-E411-A174-0017A477041A
Birth Attendant Titles (NCHS)	PHVS_BirthAttendantTitles_NCHS	2.16.840.1.114222.4.11.7111	3	The value set contains the list of titles used by persons (attendant) responsible for delivering a child/fetus. The attendant at birth/delivery is defined as the individual physically present at the delivery who is responsible for the delivery.	Published	03/16/2015	Initial Import for : DE7CBD27-9C7B-E211-87A9-0017A477041A
Birth or Delivery Occurred (NCHS)	PHVS_BirthDeliveryOccurred_NCHS	2.16.840.1.114222.4.11.7124	2	The value set contains the list of values used to indicate the type of place where birth or delivery occurred.	Published	03/16/2015	Initial Import for : FF3604D5-73A7-E211-A4E6-0017A477041A
Certifier Titles (NCHS)	PHVS_CertifierTitles_NCHS	2.16.840.1.114222.4.11.7212	2	To reflect the title used by death certifier to denote professional role.	Published	05/06/2014	Initial Import for : CFB42CD1-8D87-E311-AE2A-0017A477041A
Coding System HL7 2x Table 0396	PHVS_CodingSystem_HL7_2x_Table0396	2.16.840.1.114222.4.11.3338	3	HL7 Table 0396 defines the standard coding systems recognized by HL7. The table defines a mechanism by which locally defined codes can be transmitted. Any code/coding system not defined in HL7 Table 0396 is considered a local coding system from the HL7 perspective. Coding systems that are identified in this implementation guide will be identified according to the recommended HL7 nomenclature from table 0396 as 99DR-zzz where zzz represents a string identifying the specific non-standard coding system. It is strongly suggested that implementers instead adopt the use of 99zz approach to identifying local coding systems since HL7 has indicated that use of "L" for local coding systems is retained only for backwards compatibility, and its use may be withdrawn in a subsequent 2.x version. Note that the local use of 99zzz should not collide with any of the locally defined coding systems identified in this implementation guide.	Published	10/01/2019	Updated based on HL70396 in HL7 v2.8.2; Added HCPTNUCC to support legacy implementation guides. HCPT was set up for use in HL7 V3.  Later HL7 decided to have this be an external code table (not maintained by HL7) so it was abandoned for V2.  The plan was to set up HCPTNUCC for this purpose but that activity was not completed.  

Country (GEC)	PHVS_Country_GEC	2.16.840.1.114222.4.11.7162	1	A Country value set includes current countries as well as historical countries based on Geopolitical Entities and Codes (GEC). This list will be used for coding of birth, fetal death, and death certificates from 2014 onwards. A few codes appear more than once in the list alphabetized under commonly used variants of the official name. Note that codes are not available for countries that ceased to exist prior to June 15, 1970. list of country codes to be used within addresses PHIN VADS Reference: PHVS_Country_ISO_3166-1.	Published	10/01/2019	Initial Import for : 872D11D5-4CD5-E311-8F3C-0017A477041A
Degree License Certification (HL7)	PHVS_DegreeLicenseCertificate_HL7_2x	2.16.840.1.114222.4.11.808	1	The standard classification awarded upon completion of a unified program of study.  HL7 2.5 User-defined Table 0360 - Degree.	Published	10/22/2008	Initial Load VADS 3.0
Delivery Routes (NCHS)	PHVS_DeliveryRoutes_NCHS	2.16.840.1.114222.4.11.7118	3	The value set contains the list of the possible routes by which the infant or fetus may be delivered.	Published	02/17/2016	Initial Import for : F06504B6-F7A1-E211-89A9-0017A477041A
Error Severity (HL7)	PHVS_ErrorSeverity_HL7_2x	2.16.840.1.114222.4.11.993	1	Identifies severity of an application error when messaging. Knowing if something is Error, Warning, or Information is intrinsic to how an application handles the content contained in the message. Uses HL7 Table 0516.	Published	06/14/2018	Initial Load VADS 3.0
Fetal Death Cause or Condition (NCHS)	PHVS_FetalDeathCauseOrCondition_NCHS	2.16.840.1.114222.4.11.7422	1	The value sets contains the list of values used to report initiating cause or condition or other significant causes or conditions contributing to fetal death.	Published	12/12/2017	Initial Import for : BF0388D1-16CC-E411-8970-0017A477041A
Fetal Death Time Points (NCHS)	PHVS_FetalDeathTimePoints_NCHS	2.16.840.1.114222.4.11.7112	1	The value set contains a list of items to indicate when the fetus died with respect to labor and assessment.	Published	09/08/2014	Initial Import for : A1B865C2-6037-E411-8D91-0017A477041A
Fetal Presentations (NCHS)	PHVS_FetalPresentations_NCHS	2.16.840.1.114222.4.11.7113	2	The value set contains the list of the different presentations (orientations within the mother's womb) that a fetus may be in prior to delivery.	Published	12/12/2017	Initial Import for : 16E4382D-2BA1-E211-89A9-0017A477041A
Histological Placental Examination (NCHS)	PHVS_HistologicalPlacentalExamination_NCHS	2.16.840.1.114222.4.11.7138	1	The value set contains the list of values used to indicate whether or not a histological placental examination was performed.	Published	06/28/2013	Initial Import for : 7F5BDE11-37A8-E211-A4E6-0017A477041A
Identifier Type	PHVS_IdentifierType_CDC	2.16.840.1.114222.4.11.999	3	Identifier type codes.  Builds on HL7 Table 0203 Identifier Type	Published	10/22/2008	Version 2 content
Infections During Pregnancy - Live Birth (NCHS)	PHVS_InfectionsDuringPregnancyLiveBirth_NCHS	2.16.840.1.114222.4.11.6070	3	Infections present and/or treated during this pregnancy for live birth as required by the National US Standards. Note: Genital herpes simplex (SNOMED code 33839006) is only a Michigan state-specific requirement. 	Published	12/12/2017	Initial Import for : CF0E03C9-0960-E211-9A66-001A4BE7FA90
