View Name	View Description	View Version	Status Date
Hepatitis Case Notification	Value Sets associated with Hepatitis Case Notification Message Mapping Guide	7	03/28/2024 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Abnormal Flag (HL7 27)	PHVS_AbnormalFlag_HL7_27	2.16.840.1.114222.4.11.3343	1	Abnormal Flag (HL7 Version 2.7). Few concepts were added for HL7 v2.7	Published	08/13/2010	Updated value set based on HL7 2.7 Abnormal Flag code system.
Birth Country	PHVS_BirthCountry_CDC	2.16.840.1.114222.4.11.3200	6	Country of Birth value set includes current countries as well as historical countries (eg. USSR). This value set is based upon ISO 3166-1, Alpha-3 codes (current countries), ISO 3166-3 (retired countries) and FIPS 10-4 (US Territories, Countries that are not found in ISO 3166)	Published	12/10/2019	Updated names for 'VENEZUELA', 'HOLY SEE (VATICAN CITY STATE)', 
 'PALESTINIAN TERRITORY, OCCUPIED', and 'SWAZILAND' base on ISO version 11262018
Blood Contact Frequency (Hepatitis)	PHVS_BloodContactFrequency_Hepatitis	2.16.840.1.114222.4.11.3024	1	Codes indicating general levels of frequency.	Published	10/22/2008	Initial Load VADS 3.0
Body site	PHVS_BodySite_CDC	2.16.840.1.114222.4.11.967	7	Body site from which specimen taken or where disease or injury occurs. This is based on the SNOMED hierarchy (Anatomical Structure - 91723000).	Published	09/05/2025	Value set updated based on the March 1, 2019 US Edition of SNOMED CT
Contact Type (Hepatitis A)	PHVS_ContactType_HepatitisA	2.16.840.1.114222.4.11.3028	2	Codes specifying the type of contact  with another person.  This value set or answer list is specific to Hepatitis A.	Published	10/22/2008	Added "Other Contact Type" - To be used as a data element identifier
Contact Type (Hepatitis B and C)	PHVS_ContactType_HepatitisBandC	2.16.840.1.114222.4.11.3029	2	Codes specifying the type of contact  with another person.  This value set or answer list is specific to Hepatitis B and or to Hepatitis C.	Published	10/22/2008	Added Other Contact Type as data element
Ethnicity Group including Unknown	PHVS_EthnicityGroup_CDC_Unk	2.16.840.1.114222.4.11.3015	2	Ethnicity Group including Unknown	Published	10/22/2008	Added "Other" value set concept so that it will trigger adding the free text entry "Other Ethnicity" in surveillance system
Incarceration Type (Hepatitis)	PHVS_IncarcerationType_Hepatitis	2.16.840.1.114222.4.11.3031	1	Codes specifying the types of incarceration or jail-type facilities.	Published	10/22/2008	Initial Load VADS 3.0
Lab Test Result Name	PHVS_LabTestName_CDC	2.16.840.1.114222.4.11.1002	7	Laboratory Resulted Test identifiers and names - LOINC is the starter set	Published	03/27/2025	Updated for Release LOINC Release 2.66
Lab Test Result Qualitative	PHVS_LabTestResultQualitative_CDC	2.16.840.1.114222.4.11.3049	1	Codes specifying non-microorganism qualitative lab test results including coded comments. Subset of lab test related Modifier or Qualifier concepts from SNOMED CT.	Published	08/22/2024	Initial Load VADS 3.0
Lab Test Type (Hepatitis)	PHVS_LabTestType_Hepatitis	2.16.840.1.114222.4.11.6013	5	Lab Test Type (Hepatitis)	Published	07/19/2022	Using LOINC Codes including LOINC Part Hierarchy codes
Lab Test Type Enzymes (Hepatitis)	PHVS_LabTestTypeEnzymes_Hepatitis	2.16.840.1.114222.4.11.6014	1	Lab Test Type Enzymes (Hepatitis)	Published	02/24/2012	1
Microorganism	PHVS_Microorganism_CDC	2.16.840.1.114222.4.11.1009	9	Microorganisms/infectious agents	Published	10/28/2024	Value set updated based on the March 1, 2019 US Edition of SNOMED CT 
Observation Method	PHVS_LabTestMethods_CDC	2.16.840.1.114222.4.11.1003	1	Laboratory test method identifiers	Published	05/21/2025	Based on HL7 V3 - 2008 version
Observation Result Status (HL7)	PHVS_ObservationResultStatus_HL7_2x	2.16.840.1.114222.4.11.811	1	The status of the observation. This field is required when the OBX segment is contained in a message.  Uses HL7 2.5 Table 0085-Observation Result Status.	Published	10/22/2008	Initial Load VADS 3.0
Ordered Test	PHVS_LabTestOrderables_CDC	2.16.840.1.114222.4.11.1004	6	Lab test orderables that could be used in OBR segment. This value set also includes panels from LOINC. Keywords: Lab Test Orderables, Lab Test Order	Published	03/27/2025	LOINC R2.66
Positive Negative Unknown	PHVS_PosNegUnk_CDC	2.16.840.1.114222.4.11.3265	1	Qualitative interpretation of  testing performed on the specimen identified by Specimen Type (LAB203)	Published	10/29/2009	Positive Negative Unknown
Race Category	PHVS_RaceCategory_CDC	2.16.840.1.114222.4.11.836	1	General race category reported by the patient - subject may have more than one	Published	10/22/2008	Initial Load VADS 3.0
Reason For Test (Hepatitis)	PHVS_ReasonForTest_Hepatitis	2.16.840.1.114222.4.11.3035	2	Codes specifying the reason(s) the patient was tested for hepatitis.	Published	10/22/2008	added concept: Year of birth (1945-1965)
Result status (HL7)	PHVS_ResultStatus_HL7_2x	2.16.840.1.114222.4.11.815	1	The status of the results. This field is required when the OBR segment is contained in a message.  Uses HL7 2.5 Table 0123-Result Status.	Published	10/22/2008	Initial Load VADS 3.0
Sexual Preference (NETSS)	PHVS_SexualPreference_NETSS	2.16.840.1.114222.4.11.3418	1		Published	01/06/2011	NETSS related data elements
Specimen	PHVS_Specimen_CDC	2.16.840.1.114222.4.11.946	9	Specimen based on SNOMED hierarchy (123038009) Keyword: Specimen Source, Specimen Type	Published	11/07/2024	Value set updated based on the March 1, 2019 US Edition of SNOMED CT
Specimen Action Code (HL7)	PHVS_SpecimenActionCode_HL7_2x	2.16.840.1.114222.4.11.3340	1	HL7 version 2.x Specimen action code used in chapter(s) 4; HL7 table 065	Published	08/09/2010	Initial Import for Specimen Action Code
Specimen Role	PHVS_SpecimenRole_CDC	2.16.840.1.114222.4.11.1046	1	The role of the sample. If this field is not populated, then the specimen described has no special, or specific, role other than serving as the focus of the observation.  Refers to User-defined Table 0369   Specimen role.	Published	10/22/2008	Initial Load VADS 3.0
Tattoo Obtained From (Hepatitis)	PHVS_TattooObtainedFrom_Hepatitis	2.16.840.1.114222.4.11.3037	2	Codes specifying the type of location(s) or organizations where people often go to get tatoos or piercings.	Published	08/27/2013	changed preferred name from Penal institution to Correctional facility
Travel Reason (Hepatitis A)	PHVS_TravelReason_HepatitisA	2.16.840.1.114222.4.11.7188	1		Published	08/27/2013	version 1
Units of Measure	PHVS_UnitsOfMeasure_CDC	2.16.840.1.114222.4.11.838	5	Units of Measure based on UCUM std which also includes dimension	Published	04/17/2025	V5: Added Cycle threshold value
Yes No Unknown (YNU)	PHVS_YesNoUnknown_CDC	2.16.840.1.114222.4.11.888	1	Value set used to respond to any question that can be answered Yes, No, or Unknown.	Published	10/22/2008	Initial Load VADS 3.0
