View Name	View Description	View Version	Status Date
IHE QRPH Birth & Fetal Death Reporting - Enhanced (BFDR-E)	Value sets for vital records birth and fetal death reporting (US realm) based upon Integrating the Healthcare Enterprise (IHE) Quality, Research and Public Health (QRPH) Birth and Fetal Death Reporting - Enhanced  (BFDR-E).	4	09/21/2015 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
10 Min Apgar Score (NCHS)	PHVS_ApgarScore10Min_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.13	2	To Reflect the question as to the 10 Min Apgar Score	Published	09/24/2014	v2
5 Min Apgar Score (NCHS)	PHVS_ApgarScore5Min_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.12	3	To Reflect the question as to the 5 Min Apgar Score	Published	09/24/2014	v3
Anencephaly of the Newborn (NCHS)	PHVS_AnencephalyOfTheNewborn_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.53	2	To Reflect Anencephaly of the Newborn as an anomality of the newborn	Published	10/29/2014	Initial Import for : 1648C666-03C8-DF11-AB08-0015173D1785
Antibiotic Administration Procedure (NCHS)	PHVS_AntibioticAdministrationProcedure_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.178	1	To Reflect Antibiotic Administration Procedure during labor and delivery	Published	06/28/2013	IHE MCH – Version 1.0
Antibiotics (NCHS)	PHVS_Antibiotics_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.3	2	To Reflect that antibiotics were administered.	Published	02/10/2015	Initial Import for : 7F843D33-1EC0-DF11-9BDD-0015173D1785
Artificial or Intrauterine Insemination (NCHS)	PHVS_ArtificialOrIntrauterineInsemination_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.145	3	To Reflect the Artificial or Intrauterine Insemination  as a Risk Factor in Pregnancy	Published	09/22/2014	Initial Import for : BD3C8656-31C5-DF11-AB08-0015173D1785
Assisted Ventilation (NCHS)	PHVS_AssistedVentilation_NCHS	2.16.840.1.114222.4.11.7156	1	To Reflect that the newborn was provided assisted ventilation reflecting an abnormal condition of the newborn.	Published	09/29/2014	Initial Import for : 419158F4-1048-E411-BB47-0017A477041A
Assistive Reproductive Technology (NCHS)	PHVS_AssistiveReproductiveTechnology_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.146	3	To Reflect the Assistive Reproductive Technology as a Risk Factor in Pregnancy	Published	09/22/2014	Initial Import for : E28D8167-32C5-DF11-AB08-0015173D1785
Augmentation of Labor - Medication (NCHS)	PHVS_AugmentationOfLaborMedication_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.23	2	To reflect a medication used for the Augmentation of Labor	Published	03/12/2015	Initial Import for : F450AD0D-75EC-DF11-A040-00188B39829B
Augmentation of Labor - Procedure (NCHS)	PHVS_AugmentationOfLaborProcedure_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.22	2	To Reflect a procedure of Augmentation of Labor 	Published	03/12/2015	Initial Import for : 6F772CD4-37D0-DF11-AB08-0015173D1785
