View Name	View Description	View Version	Status Date
Influenza Associated Pediatric Mortality Case Notification	The vocabulary used for Influenza Associated Pediatric Mortality Case Notification messages to CDC.	2	03/16/2010 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Acute Illness Complications (Pediatric Flu)	PHVS_AcuteIllnessComplications_PediatricFlu	2.16.840.1.114222.4.11.3268	1	Listing of complications as related to the condition/illness	Published	10/29/2009	Acute Illness Complications (Pediatric Flu)
Age unit	PHVS_AgeUnit_UCUM	2.16.840.1.114222.4.11.878	1	Units of measure for age	Published	08/20/2015	Initial Load VADS 3.0
Body site	PHVS_BodySite_CDC	2.16.840.1.114222.4.11.967	4	Body site from which specimen taken or where disease or injury occurs. This is based on the SNOMED hierarchy (Anatomical Structure - 91723000) .	Published	09/01/2020	SNOMED Update 01/31/2010
Case Classification Status	PHVS_CaseClassStatus_NND	2.16.840.1.114222.4.11.968	1	Indicates how the Nationally Notifiable Disease case was classified at its close	Published	10/22/2008	Initial Load VADS 3.0
Case Confirmation Method	PHVS_CaseConfirmationMethod_NND	2.16.840.1.114222.4.11.3025	1	Codes specifying  the mechanism by which a case was classified, providing information about how the case classification status was derived.	Published	10/22/2008	Initial Load VADS 3.0
Case Investigation Status	PHVS_CaseInvestigationStatus_NND	2.16.840.1.114222.4.11.970	1	The current status of the investigation (open or closed)	Published	10/22/2008	Initial Load VADS 3.0
Case Transmission Mode	PHVS_CaseTransmissionMode_NND	2.16.840.1.114222.4.11.3027	1	Codes specifying the mechanism by which disease or condition was acquired.	Published	01/14/2019	Initial Load VADS 3.0
City	PHVS_City_USGS_GNIS	2.16.840.1.114222.4.11.973	1	US Geological Survey Geographic Names Information System - location codes	Published	09/15/2020	Initial Load VADS 3.0
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	1	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	Initial Load VADS 3.0
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	1	Codes representing county of origin, address county, reporting county. 	Published	12/10/2019	Initial Load VADS 3.0
Death Location (Flu)	PHVS_DeathLocation_Flu	2.16.840.1.114222.4.11.3261	1	Death Location. Where did the subject die?	Published	10/29/2009	Death Location (Flu)
Disease Acquired Jurisdiction	PHVS_DiseaseAcquiredJurisdiction_NND	2.16.840.1.114222.4.11.3030	1	Codes specifying where the disease/condition was likely acquired.	Published	09/15/2014	Initial Load VADS 3.0
Ethnicity group	PHVS_EthnicityGroup_CDC	2.16.840.1.114222.4.11.837	1	Whether the patient is hispanic or not	Published	10/22/2008	Initial Load VADS 3.0
Lab Test Interpretation (Pediatric Flu)	PHVS_LabTestInterpretation_PediatricFlu	2.16.840.1.114222.4.11.3263	1	Epidemiologic interpretation of the results of the tests performed for this case.	Published	10/29/2009	Lab Test Interpretation (Pediatric Flu)
Lab Test Procedure (Pediatric Flu)	PHVS_LabTestProcedure_PediatricFlu	2.16.840.1.114222.4.11.3262	1	Epidemiologic interpretation of the type of test(s) performed for this case.	Published	10/29/2009	Lab Test Procedure (Pediatric Flu)
