View Name	View Description	View Version	Status Date
Influenza Individual Case Notification	The vocabulary used for Influenza Individual Case Notification messages to CDC.	2	03/16/2010 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Age unit	PHVS_AgeUnit_UCUM	2.16.840.1.114222.4.11.878	1	Units of measure for age	Published	08/20/2015	Initial Load VADS 3.0
Case Classification Status	PHVS_CaseClassStatus_NND	2.16.840.1.114222.4.11.968	1	Indicates how the Nationally Notifiable Disease case was classified at its close	Published	10/22/2008	Initial Load VADS 3.0
Case Confirmation Method	PHVS_CaseConfirmationMethod_NND	2.16.840.1.114222.4.11.3025	1	Codes specifying  the mechanism by which a case was classified, providing information about how the case classification status was derived.	Published	10/22/2008	Initial Load VADS 3.0
Case Contact Signs and Symptoms (Flu)	PHVS_CaseContactSignsSymptoms_Flu	2.16.840.1.114222.4.11.3255	1	Flu signs and symptoms of contact, i.e., a contact is anyone who stayed overnight in the household, with the subject, 7 days before to 7 days after the subject's illness onset date. 	Published	10/29/2009	Case Contact Signs and Symptoms (Flu)
Case Investigation Status	PHVS_CaseInvestigationStatus_NND	2.16.840.1.114222.4.11.970	1	The current status of the investigation (open or closed)	Published	10/22/2008	Initial Load VADS 3.0
Case Transmission Mode	PHVS_CaseTransmissionMode_NND	2.16.840.1.114222.4.11.3027	1	Codes specifying the mechanism by which disease or condition was acquired.	Published	01/14/2019	Initial Load VADS 3.0
Chest XRay Result	PHVS_ChestXRayResult_CDC	2.16.840.1.114222.4.11.930	1	Chest X-ray Results	Published	10/22/2008	Initial Load VADS 3.0
City	PHVS_City_USGS_GNIS	2.16.840.1.114222.4.11.973	1	US Geological Survey Geographic Names Information System - location codes	Published	09/15/2020	Initial Load VADS 3.0
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	1	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	Initial Load VADS 3.0
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	1	Codes representing county of origin, address county, reporting county. 	Published	12/10/2019	Initial Load VADS 3.0
Disease Acquired Jurisdiction	PHVS_DiseaseAcquiredJurisdiction_NND	2.16.840.1.114222.4.11.3030	1	Codes specifying where the disease/condition was likely acquired.	Published	09/15/2014	Initial Load VADS 3.0
Employment Status  (Flu)	PHVS_EmploymentStatus_Flu	2.16.840.1.114222.4.11.3254	1	Type of work at the time of hospitalization within 7 days prior to illness onset	Published	10/29/2009	Employment Status  (Flu)
Ethnicity group	PHVS_EthnicityGroup_CDC	2.16.840.1.114222.4.11.837	1	Whether the patient is hispanic or not	Published	10/22/2008	Initial Load VADS 3.0
Flu Signs and Symptoms	PHVS_SignsSymptoms_Flu	2.16.840.1.114222.4.11.3240	1	Signs and Symptoms of  Flu	Published	07/02/2009	H1N1 Flu Vocabulary
Industry (NAICS)	PHVS_Industry_NAICS_2007	2.16.840.1.114222.4.11.1100	1	The North American Industry Classification System (NAICS) consists of a set of six digit codes that classify and categorize industries.  It also organizes the categories on a production/process-oriented basis.  This new, uniform, industry-wide classification system has been designed as the index for statistical reporting of all economic activities of the U.S., Canada, and Mexico.	Published	10/22/2008	Initial Load VADS 3.0
Lab Test Interpretation (Flu)	PHVS_LabTestInterpretation_Flu	2.16.840.1.114222.4.11.3252	1	Epidemiologic interpretation of the results of the tests performed for Influenza Case.	Published	10/29/2009	Lab Test Interpretation (Flu)
Lab Test Procedure (Flu)	PHVS_LabTestProcedure_Flu	2.16.840.1.114222.4.11.3251	1	Epidemiologic interpretation of the type of test(s) performed for Influenza Case.	Published	10/29/2009	Lab Test Procedure (Flu)
Manufacturers of vaccines (MVX)	PHVS_ManufacturersOfVaccinesMVX_CDC_NIP	2.16.840.1.114222.4.11.826	1	The CDC's National Immunization Program (NIP) maintains the HL7 external code set MVX. HL7 version 2.x Manufacturers of vaccines (code=MVX) used in chapter(s) 4. 	Published	12/06/2022	Initial Load VADS 3.0
Medication Treatment (Flu)	PHVS_MedicationTreatment_Flu	2.16.840.1.114222.4.11.3244	2	List of Medications related to Flu	Published	07/02/2009	Added Concept Other to Value Set
Microbiology Test Result Name	PHVS_MicrobiologyLabTestResultName_CDC	2.16.840.1.114222.4.11.1073	3	List of Microbiology test result names	Published	10/22/2008	Updates for LOINC Release January 2010
Microorganism	PHVS_Microorganism_CDC	2.16.840.1.114222.4.11.1009	4	Microorganisms/infectious agents	Published	09/01/2020	SNOMED Update 01/31/2010
Name Type (HL7)	PHVS_NameType_HL7_2x	2.16.840.1.114222.4.11.810	1	HL7 table 0200 contains types of person names, including Maiden and Alias.	Published	08/31/2011	Initial Load VADS 3.0
