View Name	View Description	View Version	Status Date
Influenza Summary Case Notification	The vocabulary used for Influenza Summary Case Notification messages to CDC.	2	02/22/2010 14:04:07

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Age Group (Flu)	PHVS_AgeGroup_Flu	2.16.840.1.114222.4.11.3259	1	Age of subjects being reported inside of a repeating group. Keyword: Age Group	Published	10/29/2009	Age Group (Flu)
Change Pattern	PHVS_ChangePattern_CDC	2.16.840.1.114222.4.11.3258	1	Trend Indicator or Change Pattern (e.g. Increasing, Decreasing, Stable)	Published	10/29/2009	Change Pattern
Count Group Type (Flu)	PHVS_CountGroupType_Flu	2.16.840.1.114222.4.11.3260	1	Type of grouped subjects being reported inside of a repeating group. Keyword: Count Group Type	Published	10/29/2009	Count Group Type (Flu)
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	1	Codes representing county of origin, address county, reporting county. 	Published	12/10/2019	Initial Load VADS 3.0
Name Type (HL7)	PHVS_NameType_HL7_2x	2.16.840.1.114222.4.11.810	1	HL7 table 0200 contains types of person names, including Maiden and Alias.	Published	08/31/2011	Initial Load VADS 3.0
National Reporting Jurisdiction	PHVS_NationalReportingJurisdiction_NND	2.16.840.1.114222.4.11.3236	1	National jurisdiction reporting the notification to CDC	Published	06/29/2009	Initial Load of Value Set
Nationally Notifiable Disease Surveillance System (NNDSS) & Other Conditions of Public Health Importance	PHVS_NotifiableEvent_Disease_Condition_CDC_NNDSS	2.16.840.1.114222.4.11.1015	3	List of notifiable events, which includes infectious and non-infectious diseases or conditions. This list includes events that are notifiable at the state and national level.	Published	11/23/2022	New Version based on NND Code System Release January 2010
Notification Section Header	PHVS_NotificationSectionHeader_CDC	2.16.840.1.114222.4.11.1107	1	List of Notification Section Headers. Type of notification event (Case, Environmental, Lab Report turn-around to CDC)	Published	05/28/2015	Initial Load VADS 3.0
Surveillance Method (Novel Flu)	PHVS_SurveillanceMethod_Flu	2.16.840.1.114222.4.11.3257	1	Methods used for Novel Influenza Surveillance	Published	10/29/2009	Surveillance Method (Novel Flu)
Time Frame (Daily Weekly)	PHVS_TimeFrameDailyWeekly_CDC	2.16.840.1.114222.4.11.3256	1	Interval of grouped subjects being reported inside of a repeating group. Keyword: Count Group Interval	Published	10/29/2009	Time Frame (Daily Weekly)
