View Name	View Description	View Version	Status Date
Lab Result Generic	The vocabulary used for the Unsolicited Specimen-Oriented Laboratory Observation message that is available in the Historical Archives.	4	03/16/2010 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Abnormal Flag (HL7)	PHVS_AbnormalFlag_HL7_2x	2.16.840.1.114222.4.11.800	1	HL7 version 2.5 User-Defined Table 0078 Abnormal Flags used for laboratory result interpretation	Published	10/22/2008	Initial Load VADS 3.0
Address Type	PHVS_AddressType_CDC	2.16.840.1.114222.4.11.961	1	HL7 version 2.5 Table 0190 Address Type codes.  Information regarding the type of address being passed in the message (e.g., Mailing, Home, Business).	Published	10/22/2008	Initial Load VADS 3.0
Administrative Sex (HL7)	PHVS_AdministrativeSex_HL7_2x	2.16.840.1.114222.4.11.927	1	HL7 version 2.5 User-Defined Table 0001 Administrative sex code	Published	10/22/2008	Initial Load VADS 3.0
Amplification and Extraction Kit	PHVS_AmplificationAndExtractionKit_CDC	2.16.840.1.114222.4.11.965	1	Amplification and Extraction Kit	Published	10/22/2008	Initial Load VADS 3.0
Comment Type	PHVS_CommentType_CDC	2.16.840.1.114222.4.11.975	1	Type of comment	Published	10/22/2008	Initial Load VADS 3.0
Contact Role	PHVS_ContactRole_CDC	2.16.840.1.114222.4.11.977	1	Role played by the contact person	Published	10/22/2008	Initial Load VADS 3.0
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	1	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	Initial Load VADS 3.0
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	1	Codes representing county of origin, address county, reporting county. 	Published	01/17/2024	Initial Load VADS 3.0
Data Subtype	PHVS_MIME_MediaSubType_IANA	2.16.840.1.114222.4.11.1011	1	Encoding as defined by MIME (Multipurpose Internet Mail Extensions)	Published	10/22/2008	Initial Load VADS 3.0
Degree License Certification (HL7)	PHVS_DegreeLicenseCertificate_HL7_2x	2.16.840.1.114222.4.11.808	1	The standard classification awarded upon completion of a unified program of study.  HL7 2.5 User-defined Table 0360 - Degree.	Published	10/22/2008	Initial Load VADS 3.0
Diagnostic service section ID (HL7)	PHVS_DiagnosticServiceSectionID_HL7_2x	2.16.840.1.114222.4.11.922	1	The section of the diagnostic service where the observation was performed.  Uses HL7 2.5 Table 0074 - Diagnostic Service Section ID	Published	10/22/2008	Initial Load VADS 3.0
Drug Susceptibility Test Result Name	PHVS_DrugSusceptibilityTestResultName_CDC	2.16.840.1.114222.4.11.1071	3	Drug / Antimicrobial Test Result Name	Published	10/22/2008	Updates for LOINC Release January 2010
Encoding Type (HL7)	PHVS_Encoding_HL7_2x	2.16.840.1.114222.4.11.986	1	The type of encoding used to represent successive octets of binary data as displayable ASCII characters.  HL7 Table 0299 - Encoding for valid values.	Published	10/22/2008	Initial Load VADS 3.0
