View Name	View Description	View Version	Status Date
Lead Environmental Notification	The vocabulary used for the Lead Environmental Investigation Notification message.	2	07/01/2009 15:10:46

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Address Type	PHVS_AddressType_CDC	2.16.840.1.114222.4.11.961	1	HL7 version 2.5 Table 0190 Address Type codes.  Information regarding the type of address being passed in the message (e.g., Mailing, Home, Business).	Published	10/22/2008	Initial Load VADS 3.0
Case investigation closure reason	PHVS_CaseInvestigationClosureReason_NND	2.16.840.1.114222.4.11.969	1	If the value specified in Case Status is Closed, this is the reason why the case was closed	Published	10/22/2008	Initial Load VADS 3.0
City	PHVS_City_USGS_GNIS	2.16.840.1.114222.4.11.973	1	US Geological Survey Geographic Names Information System - location codes	Published	09/15/2020	Initial Load VADS 3.0
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	1	Codes representing county of origin, address county, reporting county. 	Published	12/10/2019	Initial Load VADS 3.0
Dwelling Type	PHVS_DwellingType_NND	2.16.840.1.114222.4.11.984	1	Type of housing	Published	10/22/2008	Initial Load VADS 3.0
Environmental Investigation Reason	PHVS_EnvironmentalInvestigationReason_CDC	2.16.840.1.114222.4.11.991	1	Reasons for initiating an environmental investigation	Published	10/22/2008	Initial Load VADS 3.0
Nationally Notifiable Disease Surveillance System (NNDSS) & Other Conditions of Public Health Importance	PHVS_NotifiableEvent_Disease_Condition_CDC_NNDSS	2.16.840.1.114222.4.11.1015	1	List of notifiable events, which includes infectious and non-infectious diseases or conditions. This list includes events that are notifiable at the state and national level.	Published	11/23/2022	Initial Load VADS 3.0
Non Paint Lead Source	PHVS_NonPaintLeadSource_PB	2.16.840.1.114222.4.11.1018	1	List of non-paint lead exposure sources	Published	10/22/2008	Initial Load VADS 3.0
Notification Section Header	PHVS_NotificationSectionHeader_CDC	2.16.840.1.114222.4.11.1107	1	List of Notification Section Headers. Type of notification event (Case, Environmental, Lab Report turn-around to CDC)	Published	05/28/2015	Initial Load VADS 3.0
Observation Result Status (HL7)	PHVS_ObservationResultStatus_HL7_2x	2.16.840.1.114222.4.11.811	1	The status of the observation. This field is required when the OBX segment is contained in a message.  Uses HL7 2.5 Table 0085-Observation Result Status.	Published	10/22/2008	Initial Load VADS 3.0
Passed Failed Unknown	PHVS_PassFailUnk_CDC	2.16.840.1.114222.4.11.950	1	Values used when the result of an observation is Passed or Failed based on reporting parameters.	Published	10/22/2008	Initial Load VADS 3.0
Processing ID (HL7)	PHVS_ProcessingID_HL7_2x	2.16.840.1.114222.4.11.1028	1	HL7 table 0103 contains values that define whether the message is part of a production, training or debugging system.	Published	10/22/2008	Initial Load VADS 3.0
Processing Mode (HL7)	PHVS_ProcessingMode_HL7_2x	2.16.840.1.114222.4.11.1029	1	HL7 table 0207 contains values that define whether the message is part of an archival process or an initial load.	Published	10/22/2008	Initial Load VADS 3.0
Result status (HL7)	PHVS_ResultStatus_HL7_2x	2.16.840.1.114222.4.11.815	1	The status of the results. This field is required when the OBR segment is contained in a message.  Uses HL7 2.5 Table 0123-Result Status.	Published	10/22/2008	Initial Load VADS 3.0
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Yes No Unknown (YNU)	PHVS_YesNoUnknown_CDC	2.16.840.1.114222.4.11.888	1	Value set used to respond to any question that can be answered Yes, No, or Unknown.	Published	10/22/2008	Initial Load VADS 3.0
